KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
1660.01|4830605|14.092|164.1744534|0.0093211|35.636280703|0.000469228|47.058194|17.84075|0.020697|0.000964|+0.000448|-0.001480|2.00|0.41|+0.65|-0.16|0.5592|0.3658|+0.3929|-0.3387|89.38|4.94053|0.34667|5926|166|163|-169|4.532|0.1355|0.031|-0.24|0.978|0.104|0.091|-0.117|0.887|0.179|0.287|-0.071|0|0|0.2104|537|478.1|37.8|15.6|19.34940|39.96801|0.3573|0.2853|0|0|1.55231|+1.76554|-0.40470|19.62|18.68|-4.83
1661.01|4832197|10.217|137.1299289|0.0001878|0.947732597|0.000000218|2.813224|1.05919|0.380604|0.236341|+0.384072|-0.088610|52.74|14.86|+17.46|-12.26|1.2414|0.2488|+0.4472|-0.0505|63.60|1.74938|0.01129|6302|165.5|158|-173|4.183|0.219|0.233|-0.205|0.895|0.108|0.131|-0.085|1.269|0.357|0.420|-0.295|0|0|0.0182|2321|11465.5|59.7|199.5|19.38254|39.91965|0.2958|0.3022|0|0|0.46892|+0.17655|-0.04491|6862.81|6560.34|-3245.87
1662.01|4844004|13.775|133.3834936|0.0010092|0.784031788|0.000000973|7.714630|2.03525|0.018351|0.000816|+0.000967|-0.000666|1.66|0.32|+0.53|-0.11|0.1121|0.2398|+0.3674|-0.1121|89.38|0.78819|0.05547|5463|165.5|168|-163|4.575|0.1225|0.022|-0.223|0.944|0.0785|0.064|-0.093|0.830|0.159|0.261|-0.057|0|0|0.0163|1720|401.5|21.6|27.5|19.60880|39.98198|0.4636|0.2261|0|0|14.12978|+3.72767|-6.60724|2066.87|1964.24|-478.71
1663.01|4927315|13.541|138.4148013|0.0028505|11.769189996|0.000040075|10.176435|5.07562|0.028355|0.004839|+0.003469|-0.006209|3.20|0.90|+1.51|-0.29|0.9635|0.3311|+0.0215|-0.6407|84.80|3.18941|0.25958|6197|190.5|167|-214|4.449|0.1755|0.046|-0.305|1.096|0.1825|0.231|-0.134|1.035|0.290|0.485|-0.095|0|0|0.1045|860|567.5|25.0|28.0|19.51960|40.07458|0.3275|0.3013|0|0|0.14393|+5.24044|-0.05742|129.47|181.12|-36.68
1664.01|4928119|13.901|156.4510539|0.0002073|44.638974240|0.000010643|96.519993|3.93067|0.441487|0.077537|+0.094807|-0.060267|49.90|14.37|+23.91|-4.82|1.1536|0.0907|+0.1122|-0.0692|89.38|3.05406|0.00973|6197|206|172|-240|4.449|0.181|0.049|-0.313|1.096|0.1895|0.236|-0.143|1.035|0.298|0.496|-0.100|0|0|0.2543|551|40166.5|130.6|495.4|19.53508|40.07305|0.3275|0.3013|0|0|8.53652|+0.34764|-0.20907|21.86|31.52|-6.62
1665.01|4932442|12.664|137.0723583|0.0043510|6.933664760|0.000035370|12.278914|1.13557|0.010401|0.000385|+0.000432|-0.000339|1.28|0.40|+0.66|-0.14|0.1388|0.2232|+0.3076|-0.1388|89.38|4.32244|0.13580|6194|186|155|-217|4.415|0.1775|0.053|-0.302|1.208|0.208|0.226|-0.19|1.129|0.350|0.579|-0.121|0|0|0.0759|1054|128.8|6.9|20.1|19.61141|40.05517|0.3418|0.3014|0|0|0.72847|+0.06737|-0.27803|291.47|444.94|-90.01
1665.02|4932442|12.664|137.1718208|0.0077538|5.913939772|0.000049334|80.719253|28.96565|0.008670|0.002229|+0.002650|-0.001807|1.07|0.34|+0.55|-0.12|0.0896|0.3118|+0.5342|-0.0893|89.95|0.56235|0.50780|6194|186|155|-217|4.415|0.1775|0.053|-0.302|1.208|0.208|0.226|-0.19|1.129|0.350|0.579|-0.121|0|0|0.0682|1112|84.0|23.2|2.8|19.61141|40.05517|0.3418|0.3014|0|0|284.46906|+306.24036|-283.25433|361.00|551.09|-111.49
1666.01|5008501|13.256|131.7562827|0.0009290|0.968025957|0.000001073|9.605731|1.88784|0.013646|0.000431|+0.000538|-0.000323|1.79|0.58|+0.94|-0.23|0.1972|0.2261|+0.2552|-0.1971|88.81|0.76700|0.04074|6444|200.5|174|-227|4.376|0.1825|0.063|-0.302|1.248|0.225|0.237|-0.213|1.200|0.391|0.632|-0.150|0|0|0.0206|2169|212.8|10.2|33.1|19.40131|40.17759|0.3044|0.3117|0|0|17.89265|+3.51649|-6.97262|5236.70|8341.16|-1763.13
1667.01|5015913|11.266|133.3821042|0.0001894|1.179969427|0.000000269|1.773815|0.37521|0.221174|0.140252|+0.170397|-0.110107|64.99|32.01|+28.87|-35.14|1.1834|0.1469|+0.1757|-0.1182|48.13|2.07488|0.01073|5706|162|177|-147|3.710|0.37|0.521|-0.219|1.355|0.346|0.269|-0.423|2.691|1.325|1.195|-1.455|0|0|0.0242|2654|1042.2|5.2|270.8|19.54681|40.17092|0.3945|0.2682|0|0|0.07583|+0.01604|-0.00596|11730.91|15911.64|-9501.44
1668.01|5103942|13.147|131.8068481|0.0018416|10.101766185|0.000023953|10.035120|1.18114|0.080213|0.138295|+0.223417|-0.053173|7.59|1.89|+3.19|-0.59|1.0377|0.1592|+0.2305|-0.0879|84.22|2.32067|0.18574|6058|170|159|-181|4.540|0.1685|0.032|-0.305|0.950|0.1095|0.102|-0.117|0.867|0.216|0.364|-0.068|0|0|0.0900|829|815.4|162.1|35.6|19.54277|40.26230|0.3172|0.3017|0|0|0.18734|+0.02205|-0.07784|111.86|138.27|-27.71
