koi,koi,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands
K00270.02,K00270.02,0.012,27.0,1.26,2.25e-12,1.28e-08,1.1e-11,1.11e-10,4.48e-10,7.95e-06,9.21e-18,4.87e-16,1.82e-29,9.23e-26,1.01e-56,3.16e-53,0.00498,0.991,0.0,0.0,3.32e-07,0.00938,0.00498,0.197,0.991,6528464.0,33.67276962,,CONFIRMED,0.54,0.7,False,False,False,False,40.109295,,True,2.0
K00271.01,K00271.01,0.017,45.0,1.2,0.000293,1.9e-05,1.3e-06,1.82e-10,0.000314,5.78e-05,1.05e-11,1.1e-14,0.000505,1.74e-05,1.13e-14,1.52e-16,0.0,0.0,0.0,0.0,3.2,1.0,3.201,0.209,9.41e-05,9451706.0,48.63038976,,CONFIRMED,1.0,0.97,False,False,False,False,56.084568,,True,3.0
K00271.02,K00271.02,0.017,28.0,0.99,3.27e-05,2.22e-06,2.06e-06,2.03e-10,5.5e-07,1.13e-07,3.23e-11,2.17e-14,3.36e-08,5.1e-10,2.42e-11,2.44e-13,0.0,0.0,0.0,0.0,3.25,1.0,3.25,0.208,2.34e-06,9451706.0,29.39326982,,CONFIRMED,1.0,0.98,False,False,False,False,70.937416,,True,3.0
K00271.03,K00271.03,0.01,20.0,1.2,3.11e-20,2.59e-16,5.2e-10,1.07e-08,6.11e-22,1.56e-17,3.88e-26,2.98e-24,1.45e-298,3.76e-295,5.63e-115,1.02e-111,0.00454,1.0,0.0,0.0,1.64e-13,5.5e-09,0.00454,0.142,1.0,9451706.0,14.43594397,,CONFIRMED,1.0,1.0,False,False,False,False,25.56411,,True,3.0
K00272.01,K00272.01,0.026,47.0,0.5,0.714,0.00273,1.24,0.000628,14.2,0.318,6.11,0.0329,0.568,0.00937,0.0418,0.00042,0.0,0.0,0.0,0.0,1.08,0.636,23.95,0.182,0.364,5716763.0,1.281328525,,FALSE POSITIVE,1.0,1.0,True,False,False,False,26.441498,,True,1.0
K00273.01,K00273.01,0.018,21.0,0.54,0.0279,0.0026,0.00755,3.96e-06,0.134,0.0389,0.0382,0.000161,0.0394,0.000502,3.87e-06,2.73e-08,0.0,0.0,0.0,0.0,1.8,0.958,2.047,0.206,0.0421,3102384.0,10.573757029,,CANDIDATE,1.0,1.0,False,False,False,False,79.76564,,False,1.0
K00274.01,K00274.01,0.008,16.0,1.89,3.22e-23,4.29e-19,5.81e-13,1.99e-11,8.11e-12,3.21e-07,2.53e-28,3.56e-26,7.45e-231,5.45e-227,1.93e-113,8.86e-110,0.00328,0.916,0.0,0.0,1.52e-06,0.0844,0.003282,0.146,0.916,8077137.0,15.08960174,,CONFIRMED,1.0,0.67,False,False,False,False,16.35286,,True,2.0
K00274.02,K00274.02,0.007,21.0,2.16,5.17e-13,6.94e-11,1.35e-11,4.29e-12,4.26e-07,0.000188,1.84e-19,3.97e-19,1.55e-61,1.64e-59,3.6e-30,3.57e-28,0.00457,0.0182,0.0,0.0,0.00178,0.982,0.00635,0.131,0.0184,8077137.0,22.8029808,,CONFIRMED,1.0,0.95,False,False,False,False,11.174345,,True,2.0
K00275.01,K00275.01,0.013,22.0,0.66,9.05e-61,7.23e-57,6.31e-21,1.37e-19,1.5e-39,4.22e-35,3.06e-57,2.04e-55,1.7e-79,9.93e-77,3.15e-63,1.22e-60,0.00461,1.0,0.0,0.0,1.27e-09,7.73e-05,0.00461,0.218,1.0,10586004.0,15.79193725,,CONFIRMED,1.0,1.0,False,False,False,False,48.447308,,True,2.0
K00275.02,K00275.02,0.014,48.0,1.11,1.23e-12,1.57e-12,2.39e-31,4.24e-34,7.36e-07,2.68e-06,1.4e-44,1.2e-46,4.96e-19,2.26e-19,1.3e-18,1.79e-19,0.00428,0.000337,0.0,0.0,0.133,1.0,0.1373,0.213,0.00034,10586004.0,82.2000105,,CONFIRMED,1.0,1.0,False,False,False,False,26.89485,,True,2.0
K00276.01,K00276.01,0.019,27.0,0.5,0.00704,0.000242,1.51e-06,2.18e-10,0.0415,0.00488,1.65e-11,1.26e-14,6.21e-05,1.61e-07,4.4e-08,7.23e-11,0.0,0.0,0.0,0.0,5.52,0.995,5.569,0.21,0.00513,11133306.0,41.74600392,,CANDIDATE,1.0,1.0,False,False,False,False,93.14925,,False,1.0
K00277.01,K00277.01,0.02,17.0,0.5,1.49e-13,9.26e-11,1.27e-13,2.68e-13,9.02e-14,1.79e-10,7.34e-24,5.25e-23,1.6e-97,6.49e-96,3.43e-49,8.83e-48,0.000317,0.00479,0.0,0.0,0.00039,0.995,0.000707,0.126,0.00479,11401755.0,16.23192004,,CONFIRMED,1.0,1.0,False,False,False,False,117.07243,,True,2.0
K00277.02,K00277.02,0.008,16.0,2.13,3.67e-95,3.12e-91,2.84e-30,4.12e-29,3.37e-165,9.59e-161,8.26e-88,1.06e-85,0.0,0.0,0.0,0.0,0.00601,1.0,0.0,0.0,1.46e-20,5.42e-16,0.00601,0.151,1.0,11401755.0,13.84984283,,CONFIRMED,1.0,0.44,False,False,False,False,17.551008,,True,2.0
K00279.01,K00279.01,0.035,67.0,0.5,6.35e-06,3.45e-05,1.06e-09,1.12e-11,2.12e-07,4.04e-06,0.00353,0.000292,1.24e-28,4.06e-29,1.3e-26,2.89e-27,0.0,0.0,0.0,0.0,0.169,1.0,0.1725,0.051,0.00033,12314973.0,28.45492088,,CONFIRMED,1.0,1.0,False,False,False,False,201.29924,,False,2.0
K00279.02,K00279.02,0.015,36.0,0.87,1.68e-06,2.21e-07,0.000683,3.21e-07,1.44e-08,7.1e-09,1.86e-09,6.86e-12,1.7e-05,4.94e-07,9.4e-13,1.6e-14,0.0,0.0,0.0,0.0,1.31,1.0,1.311,0.207,1.04e-06,12314973.0,15.41308581,,CONFIRMED,0.56,1.0,False,False,False,False,44.38735,,False,2.0
K00279.03,K00279.03,0.006,15.0,1.41,1.32e-21,1.65e-18,0.00198,0.00946,2.46e-29,1.17e-25,1.57e-05,0.000483,0.000288,0.201,0.000836,0.427,0.0,0.0,0.000623,0.0154,8.37e-05,0.347,0.003826,0.084,0.653,,,,,0.4,0.44,True,True,True,True,,,False,
K00280.01,K00280.01,0.02,19.0,1.14,0.0263,0.000325,0.00292,1.66e-07,0.253,0.011,1.14e-05,4.25e-09,0.00425,3e-05,4.8e-12,1.98e-14,0.0,0.0,0.0,0.0,12.9,0.989,13.19,0.214,0.0114,4141376.0,11.872900829,,CANDIDATE,1.0,1.0,False,False,False,False,135.63237,,False,1.0
K00281.01,K00281.01,0.016,15.0,0.84,4.49e-15,6.17e-15,4.73e-07,2.95e-09,6.07e-16,3.09e-15,5.68e-15,1.79e-16,7.01e-10,2.66e-10,7.04e-22,1.62e-22,3.16e-05,1.56e-06,0.0,0.0,0.0921,1.0,0.09213,0.208,1.57e-06,4143755.0,19.55659418,,CANDIDATE,1.0,1.0,False,False,False,False,78.70969,,False,1.0
K00282.01,K00282.01,0.024,22.0,0.5,0.000117,6e-06,0.021,3.41e-06,6.93e-06,1.18e-06,4.13e-07,4.64e-10,6.38e-09,3.31e-11,1.21e-17,4.79e-20,0.0,0.0,0.0,0.0,4.7,1.0,4.721,0.186,1.06e-05,5088536.0,27.50867519,,CONFIRMED,1.0,1.0,False,False,False,False,150.55435,,False,3.0
K00282.02,K00282.02,0.008,13.0,0.75,4.11e-10,1.68e-09,0.000248,3.86e-06,1.28e-10,1.91e-09,1.63e-08,2.45e-09,3.14e-06,2.7e-06,1.04e-12,7.92e-13,0.00423,0.000388,0.0,0.0,0.0754,1.0,0.07988,0.1,0.000395,5088536.0,8.45746707,,CONFIRMED,1.0,1.0,False,False,False,False,27.6754,,False,3.0
K00282.03,K00282.03,0.015,71.0,0.99,0.0148,0.0235,0.0736,0.000715,0.0763,0.373,0.132,0.00552,0.095,0.112,0.0405,0.021,0.00162,0.000193,0.0,0.0,0.0638,0.464,0.4976,0.195,0.536,5088536.0,87.5174361,,CONFIRMED,1.0,1.0,False,False,False,False,11.183228,,False,3.0
K00283.01,K00283.01,0.019,27.0,0.84,0.0346,0.00083,0.0472,4.77e-06,0.0904,0.00829,5.68e-05,5.05e-08,0.00183,1.78e-05,2.97e-10,1.82e-12,0.0,0.0,0.0,0.0,6.5,0.991,6.674,0.218,0.00914,5695396.0,16.09197176,,CONFIRMED,1.0,1.0,False,False,False,False,114.52451,,False,3.0
K00283.02,K00283.02,0.007,26.0,1.53,9.24e-08,9.02e-07,0.0633,0.00379,4.02e-12,1.49e-10,0.0158,0.00451,0.0401,0.404,0.0663,0.587,0.0,0.0,0.0,0.0,1.38e-08,2.03e-07,0.1855,0.065,1.0,5695396.0,25.5170646,,CONFIRMED,1.0,1.0,False,False,False,False,13.061132,,False,3.0
K00284.01,K00284.01,0.016,29.0,0.99,0.000318,3.04e-05,0.00471,2.77e-06,0.00708,0.00256,0.000655,3.49e-06,0.0143,0.000447,4.04e-05,6.81e-07,0.0,0.0,0.0,0.0,1.6,0.997,1.627,0.2,0.00305,6021275.0,18.01017554,,CONFIRMED,0.54,1.0,False,False,False,False,35.45138,,False,4.0
K00284.02,K00284.02,0.012,12.0,0.81,2.83e-10,2.08e-11,0.000235,2.2e-07,1.31e-09,4.05e-10,9.07e-07,6.51e-09,7.84e-05,1.45e-06,1.54e-07,1.95e-09,0.000103,2.69e-07,0.0,0.0,1.63,1.0,1.63,0.137,1.95e-06,6021275.0,6.41490515,,CONFIRMED,0.46,1.0,False,False,False,False,40.118763,,False,4.0
K00284.03,K00284.03,0.01,14.0,0.9,2.07e-15,3.72e-17,0.00497,7.5e-07,6.44e-12,4.69e-13,0.000155,2.24e-07,0.0114,6.25e-05,5.53e-06,2.17e-08,0.0,0.0,0.0,0.0,7.96,1.0,7.977,0.117,6.35e-05,6021275.0,6.17828255,,CONFIRMED,0.53,1.0,False,False,False,False,35.59532,,False,4.0
K00284.04,K00284.04,0.012,71.0,1.8,2.31e-05,6.64e-05,2.87e-05,5.34e-07,0.000187,0.00246,1.48e-05,2.18e-06,3.67e-05,7.72e-05,3.82e-06,4.65e-06,0.00369,0.000855,0.0,0.0,0.103,0.997,0.107,0.139,0.00347,6021275.0,110.2869374,,CANDIDATE,0.56,1.0,False,False,False,False,10.010857,,False,4.0
K00285.01,K00285.01,0.02,20.0,0.6,1.84e-10,1.42e-11,1.34e-07,2.67e-11,1.39e-05,3.73e-06,6.88e-15,7.7e-18,1.02e-23,8e-26,3.67e-19,1.65e-21,0.0,0.0,0.0,0.0,3.88,1.0,3.88,0.135,3.73e-06,6196457.0,13.7488263,,CONFIRMED,1.0,1.0,False,False,False,False,113.44834,,False,3.0
K00285.02,K00285.02,0.013,26.0,1.47,1.01e-13,2.27e-12,2.57e-12,1.11e-13,8.91e-09,7.44e-07,2.87e-10,1.06e-10,5.18e-12,7.71e-11,8.52e-18,9.32e-17,8.82e-05,4.7e-05,0.0,0.0,0.0086,1.0,0.008688,0.214,4.78e-05,6196457.0,26.72320599,,CONFIRMED,0.78,1.0,False,False,False,False,43.266685,,False,3.0
K00285.03,K00285.03,0.01,41.0,1.26,1.47e-18,8.25e-17,5.54e-12,8.52e-13,1.07e-10,1.92e-08,5.3e-21,2.13e-21,6.69e-12,3.23e-10,1.29e-52,2.44e-51,0.00534,0.0105,0.0,0.0,0.00396,0.989,0.0093,0.193,0.0105,6196457.0,49.3568849,,CONFIRMED,0.95,1.0,False,False,False,False,21.50377,,False,3.0
K00286.01,K00286.01,0.012,95.0,0.5,6.74e-08,5.64e-05,0.00608,0.02,1.03e-06,0.00316,0.00834,0.138,0.00939,0.808,0.000383,0.0307,0.0,0.0,0.0,0.0,1.4e-08,4.05e-05,0.02419,0.133,1.0,8258171.0,23.62712,,FALSE POSITIVE,2.7e-101,0.67,False,True,True,True,43.254776,,False,1.0
K00287.01,K00287.01,0.112,624.0,1.92,0.0843,0.112,4.06e-13,3.1e-16,0.161,0.778,3.06e-07,3.93e-09,1.29e-05,1.46e-05,4.48e-34,2.61e-34,0.0,0.0,0.0,0.0,1.7,0.11,1.945,0.002,0.89,8703887.0,14.17097115,,FALSE POSITIVE,0.17,0.0,False,True,False,False,953.5831,,False,1.0
K00288.01,K00288.01,0.013,13.0,2.19,5.18e-09,4.83e-10,4.29e-08,8.45e-12,1.07e-06,3.01e-07,9.76e-19,1.3e-21,3.95e-21,5e-22,2.55e-18,1.67e-19,0.0,0.0,0.0,0.0,2.13,1.0,2.13,0.192,3.01e-07,9592705.0,10.27531708,,FALSE POSITIVE,1.0,0.95,False,True,False,False,68.854675,,False,1.0
K00289.01,K00289.01,0.02,35.0,0.51,4.44e-19,3.93e-18,4.54e-15,1.17e-16,6.53e-20,2.11e-18,1.07e-36,1.99e-37,4.11e-20,1.08e-20,2.08e-30,4.04e-31,0.0,0.0,0.0,0.0,0.0201,1.0,0.0201,0.21,1.11e-16,10386922.0,26.62946276,,CANDIDATE,1.0,1.0,False,False,False,False,76.26729,,False,2.0
K00289.02,K00289.02,0.049,189.0,0.5,8.98e-11,2.34e-09,5.39e-20,5.55e-21,1.61e-12,1.53e-10,6.19e-57,5.21e-57,3e-19,3.78e-19,4.77e-19,4.62e-19,0.0,0.0,0.0,0.0,0.0264,1.0,0.0264,0.051,2.5e-09,10386922.0,296.637865,,CANDIDATE,1.0,1.0,False,False,False,False,141.89377,,False,2.0
K00290.01,K00290.01,0.015,44.0,0.5,0.0335,0.00796,0.0958,0.000337,0.283,0.21,0.34,0.0159,0.622,0.0487,0.000231,1.08e-05,0.0,0.0,0.0,0.0,0.14,0.717,1.515,0.144,0.283,10488450.0,2.683396375,,FALSE POSITIVE,1.2e-100,1.0,False,True,True,False,61.186382,,False,1.0
K00291.01,K00291.01,0.018,40.0,0.84,8.47e-06,1.42e-06,2.45e-05,1.75e-08,1.38e-05,9.78e-06,9.68e-09,5.29e-11,0.000594,1.78e-05,1.36e-06,2.29e-08,0.0,0.0,0.0,0.0,1.21,1.0,1.211,0.208,2.9e-05,10933561.0,31.51780202,,CONFIRMED,1.0,1.0,False,False,False,False,47.366913,,False,2.0
K00291.02,K00291.02,0.013,35.0,1.11,0.000983,0.000122,0.0655,6.2e-05,0.0187,0.00914,0.0237,0.00017,0.154,0.00492,0.00377,0.000115,0.0,0.0,0.0,0.0,1.41,0.985,1.677,0.178,0.0145,10933561.0,8.13000457,,CONFIRMED,1.0,1.0,False,False,False,False,21.649893,,False,2.0
K00292.01,K00292.01,0.014,19.0,0.5,1.06e-14,1.83e-16,0.00162,6.8e-07,2.1e-15,1.55e-16,0.000624,2.03e-06,0.138,0.000227,2e-05,2.57e-08,0.0,0.0,0.0,0.0,3.47,1.0,3.61,0.143,0.00023,11075737.0,2.586638081,,CONFIRMED,0.73,1.0,False,False,False,False,58.53388,,False,1.0
K00293.01,K00293.01,0.008,13.0,0.5,2.47e-06,7.38e-05,0.0281,0.00884,0.00023,0.0287,0.0152,0.0555,0.0103,0.0344,0.00037,0.00117,0.0,0.0,0.0,0.0,0.002,0.871,0.0562,0.157,0.129,11200415.0,4.63961009,,FALSE POSITIVE,2.8e-101,1.0,False,False,True,True,28.444223,,False,1.0
K00294.01,K00294.01,0.019,48.0,0.72,0.00264,0.000534,0.00451,4.51e-06,0.00947,0.00762,0.0223,0.000219,0.0021,7.16e-05,1.54e-06,2.68e-08,5.92e-07,3.95e-09,0.0,0.0,0.97,0.992,1.011,0.199,0.00845,11259686.0,34.43587975,,CANDIDATE,0.77,1.0,False,False,False,False,45.552513,,False,1.0
K00295.01,K00295.01,0.017,21.0,0.51,1.89e-11,1.25e-13,0.000216,1.29e-08,2.47e-10,6.25e-12,7.04e-09,4.03e-12,2.11e-05,9.97e-09,1.84e-18,9.15e-22,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.205,2.29e-08,11547513.0,5.317435416,,CONFIRMED,1.0,1.0,False,False,False,False,69.02685,,False,2.0
K00295.02,K00295.02,0.011,35.0,0.96,7.21e-05,8.53e-06,0.0145,6.28e-06,0.00392,0.00156,2.71e-05,1.42e-07,0.00155,3.1e-05,1.07e-05,1.18e-07,7.56e-05,1.81e-07,0.0,0.0,2.39,0.998,2.41,0.128,0.00161,11547513.0,10.10575303,,CONFIRMED,1.0,1.0,False,False,False,False,18.48072,,False,2.0
K00296.01,K00296.01,0.021,46.0,0.99,0.000178,1.17e-05,2.62e-06,7.92e-10,0.000216,5.31e-05,0.00897,2.43e-05,0.000406,4.11e-06,1.24e-07,7.97e-10,0.0,0.0,0.0,0.0,3.55,1.0,3.56,0.206,9.32e-05,11802615.0,28.86235584,,CANDIDATE,1.0,1.0,False,False,False,False,52.496197,,False,1.0
K00297.01,K00297.01,0.013,19.0,0.5,5.35e-12,1.07e-13,0.000728,1.9e-07,7.61e-06,6.38e-07,2.07e-07,4.09e-10,0.00153,1.68e-06,8.07e-10,7.87e-13,0.0,0.0,0.0,0.0,3.23,1.0,3.232,0.218,2.51e-06,11905011.0,5.65179605,,CANDIDATE,1.0,1.0,False,False,False,False,37.182487,,False,1.0
K00298.01,K00298.01,0.017,48.0,0.75,6.63e-05,3.13e-06,0.0117,3.99e-06,0.000423,6.73e-05,0.000434,1.37e-06,0.00971,8.96e-05,0.000132,7.39e-07,1.9e-06,5.19e-09,0.0,0.0,3.67,1.0,3.692,0.157,0.000166,12785320.0,19.96371318,,CANDIDATE,0.97,1.0,False,False,False,False,29.51238,,False,2.0
K00298.02,K00298.02,0.019,77.0,1.41,0.000596,0.000174,0.063,0.000157,0.000206,0.000209,0.0131,0.000228,0.041,0.0089,0.0355,0.00286,7.58e-06,1.62e-07,0.0,0.0,0.817,0.987,0.9704,0.17,0.0125,12785320.0,57.3839668,,CANDIDATE,0.6,1.0,False,False,False,False,17.513052,,False,2.0
K00299.01,K00299.01,0.016,34.0,0.5,5.3e-12,1.96e-15,0.0026,5.1e-08,2.28e-09,3.92e-12,0.00185,3.77e-07,0.0173,3.49e-06,7.34e-08,9.46e-12,0.0,0.0,0.0,0.0,50.1,1.0,50.12,0.183,3.92e-06,2692377.0,1.541676628,,CONFIRMED,1.0,1.0,False,False,False,False,48.052486,,False,1.0
K00300.01,K00300.01,0.011,12.0,2.61,6.72e-36,1.12e-32,5.56e-11,2.04e-09,3.54e-30,2.31e-26,1.32e-10,4.8e-08,1.19e-21,1.76e-17,3.82e-05,0.465,0.0,0.0,0.00855,0.535,9.79e-73,2.27e-68,0.008588,0.134,1.0,3438975.0,2.976012156,,FALSE POSITIVE,0.51,0.01,False,False,False,True,46.046608,,False,1.0
K00301.01,K00301.01,0.016,13.0,0.78,2.3e-14,1.24e-16,2.47e-05,1.73e-09,4.62e-12,1.03e-13,1.12e-07,5.64e-11,0.00166,4.98e-06,2.37e-10,5.93e-13,0.0,0.0,0.0,0.0,11.2,1.0,11.2,0.214,4.99e-06,3642289.0,6.002535939,,CONFIRMED,1.0,1.0,False,False,False,False,57.99112,,False,2.0
K00301.02,K00301.02,0.009,21.0,2.37,1.84e-09,9.47e-10,0.000967,2.07e-06,7.54e-13,1.42e-12,1.1e-06,1.61e-08,0.00209,0.00247,0.000275,0.000186,0.000613,4.75e-06,0.0,0.0,0.644,0.997,0.6479,0.129,0.00266,3642289.0,11.4485946,,CONFIRMED,1.0,0.78,False,False,False,False,17.595776,,False,2.0
K00302.01,K00302.01,0.028,58.0,0.5,1.66e-09,4.67e-09,5.72e-22,4.34e-24,2.61e-11,3.63e-10,1.16e-29,3.6e-31,1.45e-73,4.77e-74,1.1e-67,2.91e-68,0.0,0.0,0.0,0.0,0.278,1.0,0.278,0.051,5.04e-09,3662838.0,24.85462415,,CANDIDATE,1.0,1.0,False,False,False,False,73.8067,,False,1.0
K00303.01,K00303.01,0.025,59.0,0.5,0.000834,0.000318,6.7e-12,1.01e-14,0.000347,0.000439,3.99e-22,3.56e-24,1.08e-05,5.97e-07,1.33e-08,3.1e-10,0.0,0.0,0.0,0.0,0.562,0.999,0.5632,0.2,0.000758,5966322.0,60.92832271,,CANDIDATE,1.0,1.0,False,False,False,False,84.56791,,False,1.0
K00304.01,K00304.01,0.022,24.0,0.5,0.0254,0.000134,0.00211,5.78e-08,0.128,0.0023,0.0396,1.04e-05,0.000857,3.22e-07,1.15e-10,3.81e-14,0.0,0.0,0.0,0.0,29.3,0.998,29.5,0.218,0.00245,6029239.0,8.512035877,,CANDIDATE,1.0,1.0,False,False,False,False,118.647316,,False,2.0
K00304.02,K00304.02,0.005,17.0,1.68,6.55e-13,2.84e-11,0.00266,0.00124,3.35e-14,5.56e-12,5.36e-05,0.000159,0.00227,0.153,0.0125,0.754,0.00451,0.00962,6.76e-06,1.44e-05,0.0265,0.0821,0.0485,0.001,0.918,6029239.0,5.5181712,,CANDIDATE,1.0,0.78,False,False,False,False,8.291903,,False,2.0
K00305.01,K00305.01,0.019,31.0,0.5,2.86e-12,4.3e-15,0.000208,6.19e-09,5.66e-17,2.81e-19,1.81e-05,2.96e-09,0.0242,2.87e-05,2.1e-09,2.15e-12,0.0,0.0,0.0,0.0,45.3,1.0,45.32,0.148,2.87e-05,6063220.0,4.603578042,,CONFIRMED,1.0,1.0,False,False,False,False,77.21845,,False,1.0
K00306.01,K00306.01,0.024,53.0,0.5,0.000132,2.54e-06,1.01e-05,6.66e-10,0.0123,0.000702,3.96e-09,1.27e-12,0.0006,5.14e-06,1.38e-10,1.03e-12,0.0,0.0,0.0,0.0,9.18,0.999,9.193,0.214,0.00071,6071903.0,24.3078946,,CANDIDATE,1.0,1.0,False,False,False,False,76.13474,,False,1.0
K00307.01,K00307.01,0.016,32.0,1.5,0.000623,3.56e-05,0.00243,9.49e-07,0.00197,0.00039,2.15e-05,6.7e-08,0.0117,0.00103,3.43e-05,1.86e-06,0.0,0.0,0.0,0.0,2.74,0.999,2.757,0.189,0.00146,6289257.0,19.67416124,,CANDIDATE,0.5,1.0,False,False,False,False,32.864925,,False,2.0
K00307.02,K00307.02,0.01,14.0,0.5,2.33e-18,7.21e-20,0.000396,1.8e-07,1.73e-20,2.1e-21,1.18e-06,3.54e-09,0.00243,1.54e-05,1.38e-06,9.86e-09,0.00118,1.66e-06,0.0,0.0,3.34,1.0,3.344,0.119,1.73e-05,6289257.0,5.21104261,,CANDIDATE,0.51,1.0,False,False,False,False,31.538141,,False,2.0
K00308.01,K00308.01,0.028,78.0,0.5,7.8e-05,0.000114,3.81e-05,3.42e-07,0.000342,0.00168,7.25e-10,4.41e-11,0.00129,0.000236,8.53e-08,1.01e-08,0.0,0.0,0.0,0.0,0.242,0.998,0.2437,0.114,0.00203,6291837.0,35.59713982,,CANDIDATE,1.0,1.0,False,False,False,False,74.93901,,True,1.0
K00309.01,K00309.01,0.007,11.0,0.5,1.01e-15,6.05e-16,2.79e-05,1.03e-06,6.43e-16,1.42e-15,1.67e-05,4.35e-06,0.469,0.122,3.31,0.793,0.0,0.0,0.000616,3.93e-05,0.446,0.0851,4.226,0.001,0.915,7024222.0,1.633114835,,FALSE POSITIVE,1.8e-95,0.12,False,False,True,False,15.138136,,False,1.0
K00312.01,K00312.01,0.014,22.0,0.87,0.0251,0.000608,0.000705,4.28e-08,0.0986,0.00979,1.51e-06,8.57e-10,0.00845,6.24e-05,9.29e-07,3.92e-09,0.0,0.0,0.0,0.0,7.98,0.99,8.113,0.214,0.0105,7050989.0,11.5789114,,CONFIRMED,1.0,1.0,False,False,False,False,54.10378,,True,2.0
K00312.02,K00312.02,0.014,26.0,0.72,0.00215,8.19e-05,0.00243,4.97e-07,0.0158,0.00238,4.01e-07,6.82e-10,0.00233,2.98e-05,2.71e-12,2.05e-14,0.0,0.0,0.0,0.0,4.27,0.998,4.293,0.201,0.00249,7050989.0,16.3992561,,CONFIRMED,1.0,1.0,False,False,False,False,47.017315,,True,2.0
K00313.01,K00313.01,0.024,41.0,0.51,1.04e-05,1.23e-07,4.73e-05,5.32e-09,0.000103,4.15e-06,5.51e-10,3.57e-13,0.00666,6.87e-06,1.33e-08,8.17e-12,0.0,0.0,0.0,0.0,10.8,1.0,10.81,0.219,1.12e-05,7419318.0,18.73575579,,CONFIRMED,1.0,1.0,False,False,False,False,69.10759,,False,2.0
K00313.02,K00313.02,0.017,25.0,0.5,4.93e-15,1.08e-16,4.53e-05,4.51e-09,1.17e-18,8.79e-20,6.36e-10,4.16e-13,0.00383,3.91e-06,5.87e-10,5.53e-13,0.0,0.0,0.0,0.0,9.36,1.0,9.364,0.151,3.92e-06,7419318.0,8.43639364,,CONFIRMED,1.0,1.0,False,False,False,False,64.82187,,False,2.0
K00314.01,K00314.01,0.026,45.0,0.5,7.57e-15,3.46e-16,1.1e-07,1.47e-11,1.5e-32,1.87e-33,1.4e-11,6.08e-15,0.00761,5.08e-05,5.73e-09,2.22e-11,0.0,0.0,0.0,0.0,5.63,1.0,5.638,0.143,5.08e-05,7603200.0,13.78109344,,CONFIRMED,1.0,1.0,False,False,False,False,114.53103,,True,3.0
K00314.02,K00314.02,0.023,73.0,0.5,9.79e-08,4.17e-09,8.54e-05,1.07e-08,1.79e-15,2.3e-16,2.97e-06,1.74e-09,0.04,0.000302,0.00159,1.03e-05,0.0,0.0,0.0,0.0,6.49,1.0,6.532,0.123,0.000312,7603200.0,23.08901839,,CONFIRMED,1.0,1.0,False,False,False,False,59.403656,,True,3.0
K00314.03,K00314.03,0.011,40.0,1.2,4.07e-09,1.84e-09,0.00225,1.96e-06,1.37e-13,1.8e-13,6.78e-05,6.16e-07,0.00333,0.00139,3.91e-06,8.97e-07,0.0,0.0,0.0,0.0,5.81,0.999,5.816,0.014,0.00139,7603200.0,10.31320643,,CONFIRMED,0.91,0.95,False,False,False,False,15.116863,,True,3.0
K00315.01,K00315.01,0.027,55.0,0.5,1.61e-10,2.13e-12,3e-07,1.64e-11,7.55e-09,3.04e-10,0.0214,6.28e-06,0.00619,2.62e-05,4.77e-10,1.26e-12,0.0,0.0,0.0,0.0,12.6,1.0,12.63,0.208,3.25e-05,7700622.0,35.58355458,,CANDIDATE,1.0,1.0,False,False,False,False,76.27265,,True,1.0
K00316.01,K00316.01,0.021,30.0,2.58,2.41e-12,1.29e-11,1.4e-09,3.41e-11,1.4e-07,2.97e-06,5.39e-20,1.11e-20,3.58e-24,2.06e-23,3.48e-11,1.35e-10,1.05e-05,1.43e-06,0.0,0.0,0.0319,1.0,0.03191,0.204,4.4e-06,8008067.0,15.77111583,,CONFIRMED,,0.0,False,False,False,False,86.53119,,True,3.0
K00316.02,K00316.02,0.021,100.0,3.9,0.000377,0.0012,2.87e-10,3.69e-12,0.000978,0.0119,8.24e-06,6.78e-07,4.65e-07,3.52e-06,8.47e-11,3.71e-10,1.41e-05,3.4e-06,0.0,0.0,0.0729,0.987,0.07428,0.203,0.0131,8008067.0,157.0654802,,CONFIRMED,,0.0,False,False,False,False,32.623352,,True,3.0
K00316.03,K00316.03,0.017,33.0,3.0,0.0143,0.00121,0.0334,2.48e-05,0.132,0.0466,0.064,0.00047,0.00154,0.00023,2.67e-06,3.17e-07,0.0,0.0,0.0,0.0,1.24,0.951,1.485,0.216,0.0486,8008067.0,7.305699922,,CANDIDATE,0.23,0.43,False,False,False,False,33.383354,,True,3.0
