koi,koi.1,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands,FPP_max,FPP_std,kepnum
K00129.01,K00129.01,0.08,131.0,0.5,1.166600106e-15,2.188880205e-15,8.3898078137e-22,6.6850058092e-24,2.588e-05,0.0002614,7.34043e-23,6.26017e-24,1.1025008286e-09,1.2656010041e-10,1.467073e-18,1.386488e-19,0.0,0.0,0.0,0.0,0.3074,1.0,0.305,0.057,0.0002614,11974540,24.66919569,14.4376443525,CANDIDATE,1.0,1.0,False,False,False,False,487.48495,,False,1,0.000371,7.97986354659e-05,Kepler-470 b
K00131.01,K00131.01,0.076,44.0,0.5,1.355746e-10,5.585018e-12,0.0005488001839,6.700001818e-07,1.911803e-08,3.29546e-09,6.773000132e-12,3.44840006307e-14,3.64200026861e-23,2.96200020298e-25,1.023314543e-51,8.09330629e-54,0.0,0.0,0.0,0.0,5.25,1.0,5.28,0.054,6.73046e-07,7778437,5.014234575,14.9588825701,CANDIDATE,1.0,1.0,False,False,False,False,790.0224,,False,1,1.76e-06,5.08688371909e-07,Kepler-471 b
K00144.01,K00144.01,0.038,23.0,0.5,6.4649e-51,3.0108e-51,4.5063e-12,7.2105e-14,2.9531e-44,3.8326e-44,3.859e-14,2.6401e-15,0.023899,0.006011,1.52200004716e-10,2.63200008873e-11,0.0,0.0,0.00827,0.0002652,0.12484,0.9937,0.1405,0.18,0.006272,4180280,4.176255514,3.22382566192,CANDIDATE,1.0,1.0,False,False,False,False,224.03436,,False,1,0.024,0.0070335415451,Kepler-472 b
K00149.01,K00149.01,0.028,31.0,0.5,1.39870965e-25,3.47652394e-26,4.427092e-15,7.662096e-18,5.5355e-13,7.0714e-13,1.50203e-21,1.3673e-23,2.40357000019e-15,4.57153000039e-17,5.333e-10,6.847e-12,0.0,0.0,0.0,0.0,1.208,1.0,1.22,0.097,7.55409e-12,3835670,14.55731705,4.08223303611,CANDIDATE,1.0,1.0,False,False,False,False,170.37569,,False,1,1.77e-11,7.01814582484e-12,Kepler-473 b
K00155.01,K00155.01,0.026,26.0,0.5,8.2771e-48,4.5469e-49,3.1065e-10,4.905e-13,6.104499e-34,1.5803142e-34,1.34094e-11,8.52851e-14,4.0257e-06,2.7957e-08,1.98200003916e-09,1.2300000264e-11,0.0,0.0,0.0,0.0,1.181,1.0,1.17,0.181,2.7957e-08,8030148,5.660672935,3.064837101,CANDIDATE,1.0,1.0,False,False,False,False,158.64925,,False,1,1.01e-07,3.93641419032e-08,Kepler-474 b
K00161.01,K00161.01,0.029,28.0,0.5,7.746e-08,5.669e-11,4.093e-05,1.6647e-09,9.55e-09,2.949e-11,0.0001061,1.5606e-08,0.0018416,4.4886e-07,2.0652e-10,4.4922e-14,0.0,0.0,0.0,0.0,41.02,1.0,41.4,0.209,4.6591e-07,5084942,3.105508189,2.49191124429,CANDIDATE,1.0,1.0,False,False,False,False,196.40886,,False,1,1.91e-06,5.92231147535e-07,Kepler-475 b
K00162.01,K00162.01,0.026,33.0,0.5,8.0959e-08,5.0355e-09,4.01343e-06,2.73192e-09,1.10633e-05,3.25933e-06,8.13802369e-10,3.06600959e-12,0.006281,5.135e-05,2.44305655e-07,1.27302889e-09,0.0,0.0,0.0,0.0,2.872,1.0,2.846,0.187,5.463e-05,8107380,14.00640607,3.07901303578,CANDIDATE,1.0,1.0,False,False,False,False,93.01831,,False,1,0.000101,2.70159232881e-05,Kepler-476 b
K00163.01,K00163.01,0.024,35.0,0.5,3.510574e-10,5.383954e-12,1.0916e-06,1.2005e-10,2.947e-11,1.389e-12,7.206e-09,4.407e-12,0.006566,8.724e-06,7.908944e-07,6.600795e-10,0.0,0.0,0.0,0.0,12.55,1.0,12.71,0.207,8.725e-06,6851425,11.11990653,2.06750556589,CANDIDATE,1.0,1.0,False,False,False,False,88.66941,,False,1,1.93e-05,4.95698441035e-06,Kepler-477 b
K00165.01,K00165.01,0.031,50.0,0.5,4.7043e-05,5.4913e-07,6.104e-05,7.51e-09,4.567e-06,1.6478e-07,3.378e-07,9.44e-11,0.005795,7.469e-06,3.93056e-08,3.86673e-11,0.0,0.0,0.0,0.0,14.21,1.0,14.31,0.202,8.182e-06,9527915,13.2217576,2.70771259001,CANDIDATE,1.0,1.0,False,False,False,False,83.53312,,False,1,1.21e-05,2.31535838359e-06,Kepler-478 b
K00166.01,K00166.01,0.024,55.0,0.5,0.0014429,1.3915e-05,0.023624,2.1603e-06,0.07431,0.002235,9.592e-06,3.696e-09,0.016402,2.937e-05,1.37653e-06,1.92981e-09,0.0,0.0,0.0,0.0,17.38,0.9977,17.6,0.216,0.00228,2441495,12.49341307,2.11984747895,CANDIDATE,1.0,1.0,False,False,False,False,65.22293,,False,1,0.00389,0.00097662684788,Kepler-479 b
K00167.01,K00167.01,0.019,40.0,0.5,1.31617e-10,8.0561e-13,0.0281007446,5.8721324e-06,5.3091e-19,1.7004e-20,1.94556e-12,1.82317e-15,1.73001408622e-10,1.54001251793e-13,2.422735e-34,2.036509e-37,0.0,0.0,0.0,0.0,8.14,1.0,8.185,0.199,5.8721325e-06,11666881,4.919583795,2.78044604003,CANDIDATE,1.0,1.0,False,False,False,False,66.493004,,False,1,2.02e-05,6.69734275285e-06,Kepler-480 b
K00173.01,K00173.01,0.021,41.0,0.5,3.0599e-10,7.3286e-11,0.0006260945,1.532781e-06,1.5176e-07,1.631e-07,9.0106e-09,1.34014e-10,0.014479,0.0002184,4.8482e-07,4.039e-09,0.0,0.0,0.0,0.0,0.6056,1.0,0.601,0.207,0.0002202,11402995,10.06082567,2.49834493777,CANDIDATE,1.0,1.0,False,False,False,False,69.33872,,False,1,0.00046,9.79634852608e-05,Kepler-481 b
K00174.01,K00174.01,0.03,118.0,0.78,1.5302e-05,4.8033e-07,2.088923e-08,8.796899e-12,0.0020228,0.00017862,4.006e-09,4.681e-12,0.004096,4.945e-05,2.45e-06,1.0412e-08,0.0,0.0,0.0,0.0,6.993,1.0,6.937,0.214,0.0002286,10810838,56.35418576,2.35538608772,CANDIDATE,1.0,1.0,False,False,False,False,53.31012,,False,1,0.000469,9.25337175785e-05,Kepler-482 b
K00176.01,K00176.01,0.02,39.0,0.6,5.248e-07,1.5368e-06,2.348214e-08,4.597342e-10,0.00014602,0.0020866,8.43400010816e-08,7.45300010303e-09,4.249e-06,1.8098e-06,2.40903653546e-09,6.0180885864e-10,0.000161,1.313e-05,0.0,0.0,0.07384,0.998,0.07368,0.166,0.0021019,6442377,30.229104,3.21248491409,CANDIDATE,1.0,1.0,False,False,False,False,54.817886,,False,1,0.00319,0.000766167148865,Kepler-483 b
K00179.01,K00179.01,0.03,45.0,0.5,1.571900207e-41,2.997400418e-41,1.6104002718e-17,2.40180051301e-19,6.3510000001e-23,4.85000000007e-22,2.978663e-34,3.937791e-35,1.10869600655e-26,3.16264001833e-27,8.9836407177e-30,2.00191980345e-30,0.00109,7.392e-05,0.0,0.0,0.1546,1.0,0.1651,0.095,7.392e-05,9663113,20.74028413,4.2004385231,CANDIDATE,1.0,1.0,False,False,False,False,118.61122,,False,1,8.58e-05,7.45606390054e-06,Kepler-458 c
K00180.01,K00180.01,0.024,34.0,0.5,8.2365e-08,7.6268e-10,2.2933e-06,1.6109e-10,4.84e-06,1.2706e-07,0.03190392429,1.1127341459e-05,0.0039051,2.5558e-06,6.436052e-10,2.096286e-13,0.0,0.0,0.0,0.0,18.63,1.0,18.63,0.218,1.3817e-05,9573539,10.045569313,2.28210740944,CANDIDATE,1.0,1.0,False,False,False,False,104.16611,,False,1,3.28e-05,1.06719320858e-05,Kepler-484 b
K00186.01,K00186.01,0.121,46.0,0.5,9.1475e-18,5.603953e-20,2.4201e-15,1.5222e-18,2.700078345e-10,8.45257608e-12,2.9363e-17,1.0617e-19,3.32613617e-10,3.42033618e-13,4.7328e-24,5.7535e-27,0.0,0.0,0.0,0.0,14.46,1.0,14.4,0.058,8.7927e-12,12019440,3.243259796,14.4084201177,CANDIDATE,1.0,1.0,False,False,False,False,1705.7352,,False,1,4.13e-11,1.68460921588e-11,Kepler-485 b
K00189.01,K00189.01,0.135,118.0,0.5,1.8019e-14,8.65e-15,1.83089058191e-20,9.0336167652e-23,3.41388e-12,5.36286e-12,0.0004605,5.55e-06,0.007198,0.00026184,3.34142e-11,6.57588e-13,0.0,0.0,0.0,0.0,0.9612,0.9998,0.9961,0.072,0.0002674,11391018,30.360446671,10.9967087971,CANDIDATE,1.0,1.0,False,False,False,False,1110.2585,,False,1,0.000705,0.000229544398997,Kepler-486 b
K00191.01,K00191.01,0.119,115.0,0.5,1.9395e-09,1.751251e-10,9.36165e-15,1.477529e-17,9.7411e-05,2.93573e-05,3.8796e-13,2.4617e-15,0.008414,0.00020467,7.375e-14,1.1414e-15,0.0,0.0,0.0,0.0,4.363,1.0,4.39,0.076,0.00023404,5972334,15.358768403,11.4192606994,CANDIDATE,1.0,1.0,False,False,False,False,698.8691,,False,4,0.000439,0.000133219970141,Kepler-487 b
K00191.04,K00191.04,0.028,179.0,0.84,2.1929543e-10,3.8136592e-11,3.458e-08,1.2934e-10,6.2197e-08,4.5603e-08,2.7571e-06,5.108e-08,0.005462,0.000843,0.0002374,2.156e-05,6.07e-05,7.3e-07,0.0,0.0,0.8779,0.999,0.8787,0.204,0.0008653,5972334,38.6519976,2.67772503565,CANDIDATE,1.0,1.0,False,False,False,False,13.202122,,False,4,0.00116,0.000202562500643,Kepler-487 c
K00194.01,K00194.01,0.133,325.0,0.5,0.0019503,2.7839e-05,0.005775,8.294e-06,0.00924,0.0006286,0.0237,0.000176,0.001225,1.7057e-06,1.9509e-11,1.8609e-14,0.0,0.0,0.0,0.0,10.697,0.999,10.74,0.049,0.0008425,10904857,3.120829229,15.793845129,CANDIDATE,1.0,1.0,False,True,False,False,1149.038,,False,1,0.00106,0.000156944611603,Kepler-488 b
K00197.01,K00197.01,0.093,81.0,0.5,3.9276e-22,7.4189e-24,5.8885e-15,1.5462e-18,3.566624e-08,2.1223747e-09,3.3398e-15,4.0947e-18,5.69501e-05,3.54686e-07,6.8366e-15,3.0217e-17,0.0,0.0,0.0,0.0,25.75,1.0,25.8,0.053,3.56747e-07,2987027,17.276296119,7.71748794381,CANDIDATE,1.0,1.0,False,False,False,False,797.4122,,False,1,1.35e-06,4.37431738371e-07,Kepler-489 b
K00199.01,K00199.01,0.095,46.0,0.5,8.0732320338e-26,4.9437600206e-28,2.78816e-14,1.30602e-17,6.83500000105e-18,2.01930000032e-19,3.4657e-25,7.7509e-28,2.19997000478e-19,2.59505000595e-22,1.760400768e-26,2.336800964e-29,0.0,0.0,0.0,0.0,12.05,1.0,12.0,0.075,0.0,10019708,3.268695154,11.6542540799,CANDIDATE,1.0,1.0,False,False,False,False,1387.9275,,False,2,0.0,0.0,Kepler-490 b
K00201.01,K00201.01,0.079,28.0,0.5,7.7532e-18,9.4356e-20,9.1904e-09,6.6317e-12,1.4343e-05,9.731e-07,3.2716e-11,1.6064e-13,7.823e-07,1.4716e-09,1.15662000003e-26,2.06300000006e-29,0.0,0.0,0.0,0.0,9.047,1.0,9.11,0.062,9.742e-07,6849046,4.225384512,8.9161177529,CANDIDATE,1.0,1.0,False,False,False,False,1438.4833,,False,1,2.08e-06,6.01264556303e-07,Kepler-491 b
K00205.01,K00205.01,0.097,67.0,0.5,0.00022125,2.3061e-05,6.129e-10,1.1218e-12,0.003154,0.0021884,0.0236300010969,0.000280900012787,0.0088118,0.000140373,3.732684e-13,3.763615e-15,0.0,0.0,0.0,0.0,3.628,0.9974,3.641,0.067,0.002633,7046804,11.72012266,9.59372743573,CANDIDATE,1.0,1.0,False,False,False,False,768.58014,,False,1,0.00402,0.00079217071673,Kepler-492 b
K00208.01,K00208.01,0.09,129.0,0.5,3.37862e-17,8.2069e-19,3.5112014174e-10,9.3265410455e-13,6.73775e-06,8.672152e-07,4.115e-16,5.341e-18,1.4104170317e-40,1.581916035e-42,3.67160206768e-29,2.84820173589e-31,0.0,0.0,0.0,0.0,4.481,1.0,4.47,0.055,8.672154e-07,3762468,3.003876581,15.1333556136,CANDIDATE,1.0,1.0,False,False,False,False,472.65198,,False,1,2.3e-06,9.95114479934e-07,Kepler-493 b
K00219.01,K00219.01,0.052,56.0,0.5,1.15621e-48,2.5769e-49,1.6802004605e-11,3.817001418e-14,3.38600120912e-14,3.99800141615e-14,3.94771147438e-25,5.00141496508e-27,0.000119135,5.18373e-06,7.691235e-17,2.6170778e-18,0.0,0.0,0.0,0.0,1.897,1.0,1.9,0.053,5.18373e-06,6305192,8.025118213,7.14467113276,CANDIDATE,1.0,1.0,False,False,False,False,399.84744,,False,1,1.44e-05,5.16987520977e-06,Kepler-494 b
K00221.01,K00221.01,0.058,48.0,0.5,5.325e-21,1.82e-23,2.1463e-10,6.3947e-14,9.6015e-22,1.57675e-23,1.4761174832e-06,2.1331694503e-09,0.001327683,9.26248e-07,7.2786e-17,5.7004e-20,0.0,0.0,0.0,0.0,35.16,1.0,34.9,0.061,9.28684e-07,3937519,3.413036221,5.23048375387,CANDIDATE,1.0,1.0,False,False,False,False,477.1998,,False,2,2.3e-06,7.79759243687e-07,Kepler-495 b
K00226.01,K00226.01,0.026,55.0,0.5,4.41e-25,4.873e-27,1.17523e-07,2.02328e-11,8.40853e-22,4.47025e-23,2.2249e-13,1.7601e-16,0.02782,3.207e-05,1.0406e-10,1.2116e-13,0.0,0.0,0.0,0.0,11.32,1.0,11.42,0.213,3.207e-05,5959753,8.30864937,2.32201811815,CANDIDATE,1.0,1.0,False,False,False,False,58.727287,,False,1,5.02e-05,9.43975635279e-06,Kepler-496 b
K00229.01,K00229.01,0.05,39.0,0.5,2.09326e-13,7.7689e-15,5.0240678e-08,1.5395565e-10,0.004887586,0.0008499253,7.275e-11,1.0412e-12,0.0027895,2.9179e-05,2.10700000752e-13,2.27600000841e-15,0.0,0.0,0.0,0.0,3.872,0.9992,3.799,0.052,0.000877592,3847907,3.573203671,6.0411291324,CANDIDATE,1.0,1.0,False,False,False,False,383.0677,,False,1,0.0025,0.000992540477863,Kepler-497 b
K00234.01,K00234.01,0.029,40.0,0.5,7.54640002182e-26,1.04820000283e-26,8.0334735e-10,1.02186932e-12,9.7096400302e-11,6.3790740189e-11,7.5651e-15,4.88293e-17,0.0020066,1.8307e-05,1.4182e-10,6.724e-13,0.0,0.0,0.0,0.0,1.332,1.0,1.362,0.182,1.8307e-05,8491277,9.61375356,3.02950630968,CANDIDATE,1.0,1.0,False,False,False,False,82.32822,,False,1,2.99e-05,7.47453759254e-06,Kepler-498 b
K00235.01,K00235.01,0.024,45.0,0.5,2.989e-11,1.0189e-13,0.0013263,1.3857e-07,0.0183300001492,0.000280600002336,1.1981e-06,6.168e-10,0.015666,1.3558e-05,2.5187e-08,2.102e-11,0.0,0.0,0.0,0.0,19.1,0.9998,19.13,0.218,0.000294254,8107225,5.632528453,2.17218939201,CANDIDATE,1.0,1.0,False,False,False,False,64.83116,,False,1,0.0011,0.000342546046611,Kepler-499 b
K00237.01,K00237.01,0.023,38.0,0.5,3.86154e-09,4.78789e-11,1.5998089e-06,2.5723098e-10,7.8176e-10,5.0997e-11,5.09607024176e-05,4.49006024049e-08,0.0012084,1.93e-06,1.17294965e-07,1.58726769e-10,0.0,0.0,0.0,0.0,10.36,1.0,10.4,0.205,1.975e-06,8041216,8.508324398,2.57827540084,CANDIDATE,1.0,1.0,False,False,False,False,74.97787,,False,1,3.41e-06,7.76133579568e-07,Kepler-500 b
K00239.01,K00239.01,0.038,49.0,0.5,1.02621e-13,8.6655e-16,3.6146e-06,1.1858e-09,9.7703822e-06,3.7811487e-07,9.8547590139e-09,2.00090510292e-11,0.022406,5.406e-05,1.8470168e-07,4.5930412e-10,0.0,0.0,0.0,0.0,20.15,1.0,20.23,0.086,5.445e-05,6383785,5.640677572,4.30119670575,CANDIDATE,1.0,0.82,False,False,False,False,123.740395,,False,2,9.84e-05,2.21437350056e-05,Kepler-501 b
