kepoi_name,kepid,fpp_koi_period,fpp_ror,fpp_prad,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_spec_occrate,fpp_prob,fpp_score,fpp_fail_reason,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_slogg,fpp_slogg_err1,fpp_slogg_err2,fpp_smet,fpp_smet_err1,fpp_smet_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2,fpp_max_av,fpp_pr_steff_mu,fpp_pr_steff_sig,fpp_pr_slogg_mu,fpp_pr_slogg_sig,fpp_pr_smet_mu,fpp_pr_smet_sig
K00012.01,5812701,17.855,0.088,12.99,203,0.93,3.3e-239,5.4e-07,4.2e-40,7.5e-46,1.2e-07,6.8e-31,0.074,6.6e-07,1,,6830,57.133,-55.726,4.29,0.023,-0.028,-0.13,0.073,-0.065,1.35,0.072,-0.053,1.30,0.047,-0.038,9.14,0.054,-0.038,361,18.689,-13.815,0.20,0.048,-0.046,0.86,6823,61,4.31,0.02,0.07,0.15
K00013.01,9941662,1.764,0.065,11.76,141,2.79,1.4e-65,0.0016,1.3e-83,5e-17,1.3e-18,2.4e-91,0.078,0.0016,1,,8586,140.089,-144.11,4.19,0.072,-0.092,-0.54,0.076,-0.133,1.66,0.229,-0.168,1.58,0.069,-0.097,9.05,0.05,-0.032,345,46.488,-34.944,0.17,0.017,-0.036,0.19,nan,nan,nan,nan,nan,nan
K00014.01,7684873,2.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UnphysicalMCMC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
K00015.01,3964562,3.012,0.294,40.17,172,0.50,0,2.4e-21,0.92,8.9e-32,0.0024,0.074,0.001,1,1,,9285,451.358,-279.981,4.39,0.034,-0.058,-1.05,0.112,-0.141,1.25,0.141,-0.061,1.43,0.118,-0.052,9.02,0.046,-0.017,810,104.581,-41.146,0.45,0.091,-0.076,0.66,nan,nan,nan,nan,nan,nan
K00016.01,9110357,0.895,0.026,3.53,37,0.50,0,1.8e-26,0.00068,1.4e-159,4.6e-09,5.8e-48,0.151,0.00068,1,,9076,242.333,-253.992,4.39,0.028,-0.036,-1.00,0.113,-0.108,1.24,0.064,-0.056,1.40,0.039,-0.056,9.03,0.055,-0.023,1109,58.028,-53.7,0.86,0.066,-0.072,1.00,nan,nan,nan,nan,nan,nan
K00017.01,10874614,3.235,0.093,12.23,27,0.50,1.8e-217,4.8e-09,6.9e-20,2.9e-25,6.5e-08,1.6e-31,0.079,7e-08,1,,5732,52.064,-54.14,4.30,0.05,-0.049,0.23,0.073,-0.076,1.21,0.08,-0.074,1.05,0.048,-0.038,9.84,0.089,-0.104,551,36.623,-34.231,0.28,0.018,-0.035,0.31,5640,113,4.24,0.06,0.34,0.10
K00018.01,8191672,3.548,0.078,14.28,30,0.50,9.4e-315,6.6e-09,1.4e-65,3.9e-48,1.2e-13,5.8e-47,0.066,6.6e-09,1,,6453,108.411,-103.338,4.12,0.046,-0.046,0.07,0.099,-0.093,1.68,0.127,-0.117,1.36,0.063,-0.065,9.41,0.061,-0.065,855,65.508,-60.436,0.72,0.072,-0.073,1.46,6290,125,4.07,0.05,0.04,0.15
K00019.01,7255336,1.203,0.334,45.78,149,0.50,3.4e-22,0.0018,0.99,1.8e-14,0.0018,0.003,0.001,1,1,,6410,83.831,-78.923,4.32,0.044,-0.062,-0.05,0.112,-0.098,1.26,0.115,-0.086,1.21,0.055,-0.055,9.28,0.144,-0.137,333,31.139,-24.737,0.06,0.055,-0.041,0.19,6218,124,4.20,0.16,-0.24,0.15
K00020.01,11804465,4.438,0.117,13.22,38,0.50,0,1.8e-20,3.4e-44,7.1e-88,2.8e-06,3.3e-42,0.074,0.00023,1,,6059,53.379,-60.257,4.44,0.027,-0.034,-0.06,0.105,-0.114,1.04,0.052,-0.051,1.08,0.036,-0.045,9.26,0.184,-0.137,600,33.254,-31.101,0.14,0.023,-0.04,0.17,5953,105,4.17,0.17,0.08,0.15
K00021.01,10125352,4.289,0.350,33.01,265,0.50,2.2e-37,0.71,0.12,1e-05,0.16,0.0027,0.001,1,1,,6038,64.802,-69.486,4.53,0.038,-0.051,-0.49,0.221,-0.17,0.86,0.081,-0.055,0.91,0.075,-0.046,9.29,0.257,-0.183,481,46.778,-33.822,0.12,0.018,-0.034,0.15,nan,nan,nan,nan,nan,nan
K00022.01,9631995,7.891,0.093,10.82,25,0.50,0,1.2e-09,2.3e-11,1.1e-57,6.3e-07,1.5e-39,0.072,6.3e-07,1,,6012,45.222,-43.986,4.43,0.026,-0.032,0.09,0.101,-0.106,1.07,0.047,-0.041,1.11,0.03,-0.031,9.24,0.187,-0.132,612,29.402,-26.208,0.13,0.015,-0.028,0.15,5972,72,4.31,0.10,0.24,0.15
K00023.01,9071386,4.693,0.111,15.95,268,0.50,0,0.14,3.5e-50,0,1.2e-06,3.3e-51,0.057,0.14,1,,6446,61.991,-69.418,4.30,0.036,-0.04,0.07,0.11,-0.114,1.32,0.076,-0.073,1.27,0.041,-0.048,9.22,0.119,-0.097,507,31.393,-28.551,0.13,0.02,-0.037,0.16,6365,115,4.22,0.10,0.20,0.15
K00024.01,4743513,2.086,0.067,7.34,201,0.50,6e-48,0.094,0.054,5.8e-12,0.023,1.5e-15,0.052,0.17,1,,6197,79.221,-90.069,4.45,0.057,-0.056,-0.29,0.199,-0.219,1.00,0.098,-0.095,1.03,0.079,-0.079,9.29,0.245,-0.165,472,47.688,-46.042,0.21,0.027,-0.049,0.25,nan,nan,nan,nan,nan,nan
K00025.01,10593759,3.133,0.378,40.15,42,0.50,4.3e-288,2.8e-27,0.59,1.7e-24,0.24,0.16,0.001,1,1,,6212,69.246,-73.471,4.47,0.05,-0.046,-0.35,0.223,-0.225,0.97,0.089,-0.084,1.01,0.081,-0.07,9.22,0.189,-0.127,591,55.008,-52.146,0.17,0.013,-0.028,0.19,nan,nan,nan,nan,nan,nan
K00026.01,5021737,15.039,0.079,13.27,5155,0.50,1.9e-06,0.46,0.0021,2.4e-06,0.00025,1.4e-15,0.072,0.46,1,,6937,123.692,-148.837,4.21,0.066,-0.083,-0.07,0.148,-0.184,1.54,0.21,-0.168,1.41,0.092,-0.129,9.17,0.112,-0.081,522,71.738,-58.907,0.44,0.054,-0.088,0.52,nan,nan,nan,nan,nan,nan
K00027.01,3832716,1.142,0.593,68.87,126996,0.50,0,1.4e-188,1.9e-20,1.9e-54,3.3e-21,1.3e-09,0.001,0.023,0.98,,6369,83.292,-97.731,4.42,0.056,-0.051,-0.30,0.185,-0.225,1.06,0.097,-0.103,1.07,0.077,-0.085,9.23,0.19,-0.119,616,61.688,-59.981,0.35,0.027,-0.05,0.39,nan,nan,nan,nan,nan,nan
K00028.01,4247791,4.101,0.500,92.91,720,0.50,4.7e-43,2.8e-15,4.5e-15,0.00085,0.37,2e-14,0.001,0.37,1,,5689,84.813,-128.205,4.06,0.249,-0.087,0.36,0.088,-0.083,1.70,0.284,-0.528,1.21,0.16,-0.172,9.67,0.211,-0.118,404,70.053,-125.883,0.54,0.059,-0.119,0.63,nan,nan,nan,nan,nan,nan
K00031.01,6956014,0.926,0.019,394.52,22,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,UnphysicalPeriod,3731,15.734,-17.658,0.28,0.01,-0.01,-0.71,0.03,-0.029,190.42,2.455,-2.75,2.53,0.038,-0.069,9.04,0.044,-0.024,544,61.509,-47.84,0.34,0.011,-0.02,0.35,4094,73,1.63,0.12,-0.04,0.15
K00033.01,nan,nan,0.015,0.91,206,1.77,0,0,1,0,9.6e-75,3.4e-08,0.073,1,1,,3745,58.597,-67.615,4.71,0.025,-0.024,0.34,0.096,-0.115,0.56,0.026,-0.028,0.58,0.026,-0.028,9.65,0.383,-0.408,29,2.121,-2.342,0.17,0.09,-0.079,1.09,nan,nan,nan,nan,nan,nan
K00041.01,6521045,12.816,0.014,2.31,14,1.74,1.6e-63,4.9e-10,3.1e-11,7.1e-18,1.5e-05,8.7e-14,0.215,1.5e-05,1,,5900,64.063,-56.926,4.13,0.033,-0.033,0.11,0.088,-0.074,1.51,0.08,-0.073,1.12,0.074,-0.038,9.81,0.059,-0.105,298,15.755,-14.968,0.10,0.055,-0.052,0.27,5788,78,4.12,0.03,0.10,0.15
K00041.02,6521045,6.887,0.008,1.32,11,1.77,4.9e-35,7.3e-14,1.2e-06,1.4e-12,2e-06,1e-12,0.128,6.3e-06,1,,5903,62.793,-57.357,4.13,0.031,-0.031,0.11,0.083,-0.076,1.51,0.075,-0.07,1.12,0.073,-0.039,9.80,0.06,-0.106,299,15.511,-14.235,0.10,0.057,-0.052,0.27,5788,78,4.12,0.03,0.10,0.15
K00041.03,6521045,35.333,0.010,1.65,32,1.80,4.7e-17,8.1e-05,0.00028,1.4e-10,1.3e-05,1.2e-07,0.156,0.00037,1,,5903,61.339,-57.578,4.13,0.033,-0.031,0.11,0.082,-0.08,1.51,0.076,-0.073,1.12,0.073,-0.038,9.80,0.059,-0.106,299,15.404,-14.82,0.10,0.054,-0.052,0.27,5788,78,4.12,0.03,0.10,0.15
K00042.01,8866102,17.834,0.017,2.48,16,2.61,4.6e-15,2.2e-10,1.5e-30,3.6e-11,1.9e-22,4.1e-29,0.211,2.6e-10,1,,6393,54.865,-58.485,4.27,0.03,-0.029,0.01,0.107,-0.112,1.34,0.056,-0.055,1.23,0.041,-0.053,9.39,0.089,-0.115,133,5.915,-5.685,0.10,0.025,-0.038,0.14,6407,76,4.27,0.03,0.00,0.15
K00043.01,9025922,11.320,0.073,1.74,1058,0.78,6e-311,0.0018,0.59,2.3e-44,0.2,1e-05,0.176,0.8,0.99,,3260,5.298,-3.561,5.07,0.002,-0.004,-0.01,0.005,-0.01,0.22,0.003,-0.001,0.20,0.004,-0.002,9.05,0.000999999999999,-0.001,979,32.323,-26.087,0.36,0.007,-0.006,0.40,nan,nan,nan,nan,nan,nan
K00044.01,8845026,66.468,0.102,23.88,539,0.50,8.6e-06,0.23,2.7e-06,2.8e-35,2.1e-22,2.9e-27,0.012,0.23,1,,6685,177.699,-270.242,3.97,0.12,-0.08,0.06,0.117,-0.094,2.15,0.303,-0.395,1.56,0.143,-0.187,9.26,0.15,-0.092,1050,150.551,-197.045,1.09,0.098,-0.179,1.23,nan,nan,nan,nan,nan,nan
K00045.01,3742855,6.397,0.138,16.34,1904,1.14,0,0.98,0.017,1.1e-163,6e-12,3.6e-12,0.056,0.99,1,,11475,82.199,-105.728,4.54,0.004,-0.004,-2.49,0.013,-0.006,1.09,0.008,-0.009,1.50,0.01,-0.012,9.00,0.001,-0.000999999999999,2796,35.166,-37.992,0.00,0.001,-0.001,0.51,nan,nan,nan,nan,nan,nan
K00046.01,10905239,3.488,0.032,3.19,22,0.50,0,3.4e-48,1.2e-41,4.8e-58,4.3e-13,1.4e-33,0.172,0.00015,1,,5456,41.918,-41.68,4.51,0.03,-0.059,0.23,0.104,-0.117,0.91,0.052,-0.04,0.97,0.035,-0.035,9.49,0.36,-0.335,486,28.512,-22.33,0.17,0.009,-0.02,0.18,5576,112,4.07,0.20,0.30,0.15
K00046.02,10905239,6.030,0.007,0.70,33,3.60,1.2e-142,1e-30,0.0012,2.8e-22,4e-08,0.0034,0.028,0.0071,1,,5453,43.361,-39.32,4.51,0.029,-0.061,0.23,0.1,-0.118,0.91,0.056,-0.039,0.96,0.034,-0.034,9.48,0.376,-0.326,485,30.388,-21.498,0.17,0.009,-0.02,0.18,5576,112,4.07,0.20,0.30,0.15
K00048.01,7837302,23.837,0.280,33.71,111,0.50,9.3e-23,0.29,0.059,0.0016,0.014,0.0076,0.001,0.38,1,,6143,89.532,-118.514,4.40,0.056,-0.059,-0.04,0.144,-0.176,1.10,0.097,-0.095,1.10,0.063,-0.073,9.33,0.225,-0.188,636,60.662,-58.401,0.54,0.04,-0.074,0.59,nan,nan,nan,nan,nan,nan
K00049.01,9527334,8.314,0.026,2.56,44,0.50,7.7e-53,1.6e-21,4.3e-11,2.3e-15,2.9e-17,2.1e-18,0.206,4.3e-11,1,,5633,46.435,-45.552,4.51,0.016,-0.018,0.01,0.11,-0.111,0.90,0.022,-0.024,0.97,0.028,-0.035,9.40,0.192,-0.226,463,13.247,-14.386,0.24,0.007,-0.017,0.25,5900,105,4.51,0.02,0.07,0.15
K00051.01,6056992,10.431,0.462,38.39,280,0.66,2.3e-19,3.8e-10,0.39,1.7e-09,1.4e-09,0.00086,0.001,0.39,1,,6219,64.431,-54.267,4.60,0.012,-0.008,-1.10,0.094,-0.14,0.76,0.011,-0.014,0.84,0.013,-0.012,9.22,0.066,-0.162,1557,33.53,-35.312,0.01,0.009,-0.004,0.62,nan,nan,nan,nan,nan,nan
K00052.01,3558981,2.988,0.199,19.96,1555,0.50,6.8e-35,0.47,0.00017,1.9e-11,5.4e-06,1.2e-22,0.030,0.47,1,,6122,147.95,-111.58,4.50,0.047,-0.058,-0.42,0.211,-0.177,0.92,0.1,-0.078,0.97,0.083,-0.066,9.24,0.22,-0.146,511,58.707,-46.064,0.10,0.094,-0.068,0.59,nan,nan,nan,nan,nan,nan
K00053.01,2445975,3.389,0.098,11.66,896,0.50,0,0.45,1.9e-05,4.1e-95,6.4e-08,4.9e-22,0.076,0.45,1,,8189,162.607,-173.963,4.45,0.026,-0.018,-1.10,0.108,-0.186,1.09,0.034,-0.048,1.22,0.038,-0.038,9.04,0.054,-0.026,1149,44.559,-51.466,0.42,0.057,-0.078,0.51,nan,nan,nan,nan,nan,nan
K00061.01,8248939,1.633,0.209,33.43,20,0.50,5.8e-54,1e-18,1.1e-26,4.9e-16,0.00035,1,0.001,1,1,,6584,183.334,-199.57,4.24,0.076,-0.092,0.11,0.152,-0.167,1.47,0.223,-0.174,1.35,0.116,-0.11,9.20,0.122,-0.107,518,79.183,-65.651,0.44,0.114,-0.122,0.63,nan,nan,nan,nan,nan,nan
K00063.01,11554435,9.434,0.059,5.89,38,0.50,6.4e-09,0.0069,6.3e-07,4.7e-14,7e-05,1.8e-24,0.051,0.0069,1,,5679,67.209,-64.746,4.51,0.019,-0.025,0.02,0.104,-0.096,0.92,0.032,-0.03,0.99,0.03,-0.033,9.33,0.224,-0.189,200,8.0,-7.469,0.10,0.061,-0.056,0.23,5578,100,4.52,0.04,0.04,0.15
K00064.01,7051180,1.951,0.039,8.04,70,0.50,0.011,0.14,0.00097,0.0001,0.0032,1.9e-09,0.054,0.15,1,,5422,56.616,-54.063,3.90,0.042,-0.044,0.01,0.067,-0.032,1.89,0.129,-0.126,1.04,0.069,-0.072,9.97,0.094,-0.098,693,46.111,-46.981,0.38,0.058,-0.06,0.84,5302,71,3.77,0.06,0.00,0.10
K00066.01,nan,nan,0.291,53.98,590,1.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,UnphysicalPeriod,8480,63.542,-62.211,4.18,0.041,-0.081,-0.42,0.034,-0.035,1.70,0.21,-0.098,1.61,0.082,-0.039,9.02,0.019,-0.015,527,62.435,-30.723,0.36,0.042,-0.043,0.58,8491,67,3.85,0.23,-0.38,0.05
K00068.01,nan,nan,0.231,24.48,416,0.50,1.5e-09,0.95,0.012,7e-06,0.021,0.00085,0.010,0.99,1,,6169,72.994,-80.79,4.46,0.055,-0.057,-0.34,0.238,-0.212,0.97,0.102,-0.088,1.00,0.089,-0.072,9.29,0.245,-0.173,420,45.486,-39.168,0.12,0.021,-0.042,0.15,nan,nan,nan,nan,nan,nan
K00069.01,3544595,4.727,0.016,1.61,6,3.60,1.7e-27,6.8e-22,5.1e-05,2.7e-08,9.4e-09,4.8e-20,0.158,5.1e-05,1,,5698,59.6,-52.507,4.48,0.029,-0.032,-0.09,0.101,-0.117,0.93,0.036,-0.032,0.95,0.041,-0.045,9.65,0.166,-0.248,95,3.905,-3.638,0.07,0.054,-0.043,0.28,5648,76,4.47,0.03,-0.20,0.15
