kepoi_name,kepid,fpp_koi_period,fpp_ror,fpp_prad,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_spec_occrate,fpp_prob,fpp_score,fpp_fail_reason,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_slogg,fpp_slogg_err1,fpp_slogg_err2,fpp_smet,fpp_smet_err1,fpp_smet_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2,fpp_max_av,fpp_pr_steff_mu,fpp_pr_steff_sig,fpp_pr_slogg_mu,fpp_pr_slogg_sig,fpp_pr_smet_mu,fpp_pr_smet_sig
K01821.01,8832512,9.977,0.028,2.54,78,0.50,1.5e-124,4.5e-07,2e-05,4.9e-22,2.7e-07,6e-09,0.207,2e-05,1,,5787,72.852,-87.238,4.55,0.04,-0.04,-0.37,0.224,-0.188,0.83,0.069,-0.06,0.89,0.072,-0.064,9.31,0.296,-0.2,761,67.195,-60.012,0.53,0.035,-0.069,0.57,nan,nan,nan,nan,nan,nan
K01822.01,5124667,150.878,0.023,2.57,87,0.78,9.8e-169,0.0019,7.5e-07,3.1e-34,0.00012,1.6e-11,0.205,0.0021,1,,5840,54.13,-48.067,4.45,0.031,-0.061,0.15,0.093,-0.1,1.02,0.077,-0.044,1.06,0.036,-0.03,9.37,0.279,-0.231,369,27.948,-17.897,0.03,0.037,-0.019,1.33,5504,87,4.00,0.30,0.30,0.15
K01823.01,10092312,4.468,0.241,26.10,49,0.50,9.8e-09,0.97,0.0044,0.00032,0.013,0.00055,0.008,0.99,1,,6069,76.227,-81.267,4.46,0.047,-0.046,-0.18,0.195,-0.216,0.99,0.078,-0.088,1.03,0.066,-0.082,9.27,0.22,-0.159,652,52.678,-59.408,0.41,0.024,-0.049,0.44,nan,nan,nan,nan,nan,nan
K01823.02,10092312,1.097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UnphysicalMCMC,6069,76.227,-81.267,4.46,0.047,-0.046,-0.18,0.195,-0.216,0.99,0.078,-0.088,1.03,0.066,-0.082,9.27,0.22,-0.159,652,52.678,-59.408,0.41,0.024,-0.049,0.44,nan,nan,nan,nan,nan,nan
K01824.01,2989404,3.554,0.014,1.66,11,0.51,0,1.2e-15,1.3e-07,8.7e-61,3.2e-09,4e-10,0.161,1.3e-07,1,,6179,89.473,-88.793,4.41,0.04,-0.051,-0.10,0.108,-0.109,1.09,0.081,-0.068,1.10,0.046,-0.055,9.31,0.198,-0.165,461,36.27,-30.499,0.19,0.065,-0.063,0.35,6015,108,4.37,0.10,-0.12,0.15
K01824.02,2989404,1.678,0.013,1.55,10,0.50,2.2e-322,1.4e-20,3.3e-05,4.9e-62,8.2e-10,1.1e-09,0.156,3.3e-05,1,,6180,88.009,-83.435,4.40,0.038,-0.049,-0.10,0.104,-0.107,1.09,0.076,-0.064,1.10,0.048,-0.052,9.31,0.194,-0.162,462,34.415,-28.822,0.19,0.062,-0.061,0.35,6015,108,4.37,0.10,-0.12,0.15
K01825.01,5375194,13.523,0.024,2.27,92,0.50,2.4e-190,4.2e-09,0.00051,8.1e-24,3.4e-05,6.7e-08,0.217,0.00055,1,,5544,71.541,-67.608,4.54,0.014,-0.017,0.01,0.095,-0.098,0.87,0.026,-0.023,0.95,0.025,-0.033,9.25,0.21,-0.161,491,16.623,-15.54,0.28,0.065,-0.069,0.54,5338,106,4.56,0.03,0.00,0.15
K01826.01,6468138,134.253,0.026,2.93,81,0.50,1e-145,2.2e-05,1.6e-05,3.1e-35,0.00013,3.3e-09,0.194,0.00017,1,,6007,81.449,-84.821,4.44,0.034,-0.046,-0.04,0.107,-0.113,1.03,0.063,-0.061,1.07,0.041,-0.051,9.32,0.215,-0.177,555,36.168,-34.443,0.21,0.065,-0.07,0.91,5818,105,4.28,0.14,0.02,0.15
K01827.01,10031707,8.590,0.018,1.14,146,2.04,3.6e-268,2.1e-233,0.00066,1.3e-28,4.4e-25,0.97,0.105,1,0.97,,3816,40.625,-46.334,4.69,0.02,-0.019,0.39,0.067,-0.072,0.58,0.02,-0.021,0.60,0.02,-0.019,9.71,0.343,-0.459,98,5.083,-5.111,0.21,0.075,-0.071,0.69,nan,nan,nan,nan,nan,nan
K01828.01,11875734,99.748,0.037,3.85,189,0.50,7e-75,0.018,8.8e-05,2.4e-24,0.0017,2.2e-06,0.118,0.019,1,,5930,74.111,-89.563,4.48,0.043,-0.04,-0.15,0.183,-0.2,0.95,0.062,-0.076,1.00,0.059,-0.071,9.30,0.25,-0.182,718,51.016,-58.239,0.52,0.031,-0.061,0.56,nan,nan,nan,nan,nan,nan
K01829.01,7697568,22.842,0.333,25.96,303,0.50,4.4e-12,0.96,0.024,7.6e-05,0.0086,0.004,0.008,0.99,1,,5501,55.53,-60.318,4.62,0.027,-0.027,-0.57,0.176,-0.2,0.71,0.041,-0.037,0.77,0.05,-0.04,9.40,0.312,-0.255,889,54.03,-51.706,0.57,0.019,-0.039,0.60,nan,nan,nan,nan,nan,nan
K01830.01,3326377,13.227,0.025,2.18,71,0.50,3.2e-57,4.2e-08,2.1e-05,4.9e-14,3.2e-08,1e-07,0.218,2.1e-05,1,,5235,44.019,-49.339,4.57,0.021,-0.033,-0.06,0.114,-0.111,0.80,0.026,-0.027,0.85,0.033,-0.038,9.61,0.281,-0.34,500,17.572,-19.131,0.31,0.028,-0.048,0.35,5180,103,4.55,0.04,0.00,0.15
K01830.02,3326377,198.711,0.041,3.57,382,0.78,7.1e-97,1.8e-05,1.8e-05,2.8e-43,9.4e-10,3.4e-08,0.147,0.0008,1,,5232,43.9,-49.054,4.57,0.02,-0.031,-0.05,0.104,-0.109,0.80,0.026,-0.028,0.85,0.031,-0.037,9.61,0.264,-0.335,500,17.82,-18.983,0.31,0.027,-0.05,0.35,5180,103,4.55,0.04,0.00,0.15
K01831.01,11601584,51.810,0.029,2.59,119,0.50,3.4e-86,1e-05,0.052,1.5e-29,0.028,0.0018,0.207,0.082,1,,5305,42.56,-46.971,4.56,0.019,-0.032,-0.00,0.102,-0.103,0.82,0.028,-0.024,0.88,0.025,-0.032,9.50,0.307,-0.314,486,17.96,-16.45,0.15,0.022,-0.04,0.18,5191,103,4.53,0.04,0.08,0.15
K01831.02,11601584,4.385,0.013,1.16,40,0.66,6.1e-168,2.6e-21,1.4e-05,3.1e-19,8.8e-08,6.9e-07,0.108,1.5e-05,1,,5304,42.232,-46.081,4.56,0.02,-0.033,-0.00,0.102,-0.104,0.82,0.028,-0.025,0.88,0.026,-0.031,9.50,0.31,-0.319,486,17.75,-16.622,0.15,0.023,-0.042,0.18,5191,103,4.53,0.04,0.08,0.15
K01831.03,11601584,34.207,0.012,1.07,89,2.25,7e-81,1e-12,0.0013,7.5e-19,3.1e-06,0.00054,0.102,0.0021,1,,5304,42.198,-45.762,4.56,0.02,-0.032,-0.01,0.106,-0.098,0.82,0.028,-0.024,0.88,0.025,-0.031,9.51,0.304,-0.325,486,17.813,-16.482,0.15,0.023,-0.041,0.18,5191,103,4.53,0.04,0.08,0.15
K01831.04,11601584,13.979,0.022,1.96,147,1.68,3.3e-06,0.078,0.018,0.0009,0.0027,0.0036,0.196,0.1,1,,5305,41.05,-44.182,4.56,0.02,-0.033,-0.01,0.102,-0.104,0.82,0.027,-0.026,0.88,0.026,-0.033,9.51,0.304,-0.329,487,16.765,-17.654,0.15,0.022,-0.041,0.18,5191,103,4.53,0.04,0.08,0.15
K01832.01,11709244,4.544,0.029,2.71,78,0.50,6.2e-132,0.0036,5.7e-06,5.3e-15,0.00051,1.1e-09,0.202,0.0041,1,,5573,43.907,-46.303,4.54,0.019,-0.02,-0.07,0.111,-0.13,0.86,0.027,-0.038,0.94,0.028,-0.045,9.27,0.227,-0.168,849,30.094,-39.699,0.23,0.021,-0.038,0.26,5445,81,4.46,0.07,0.16,0.15
K01832.02,11709244,12.762,0.031,2.90,177,0.57,1.9e-30,0.28,0.00097,4.5e-08,0.0046,0.00042,0.197,0.29,1,,5573,44.233,-45.8,4.54,0.02,-0.019,-0.07,0.108,-0.136,0.86,0.027,-0.039,0.94,0.03,-0.044,9.26,0.231,-0.161,849,30.699,-39.25,0.23,0.021,-0.036,0.26,5445,81,4.46,0.07,0.16,0.15
K01832.03,11709244,38.715,0.026,2.43,247,0.84,8.7e-49,0.03,0.00011,3.3e-16,0.00036,4.6e-06,0.213,0.03,1,,5573,43.748,-48.452,4.54,0.02,-0.02,-0.06,0.105,-0.141,0.86,0.027,-0.039,0.94,0.028,-0.044,9.26,0.234,-0.168,849,30.67,-39.889,0.23,0.022,-0.039,0.26,5445,81,4.46,0.07,0.16,0.15
K01833.01,11853878,3.693,0.028,2.14,72,0.50,4e-24,1.3e-12,2.5e-06,1.9e-08,1.3e-07,2.5e-09,0.215,2.7e-06,1,,4614,33.145,-34.795,4.63,0.017,-0.015,0.07,0.156,-0.2,0.70,0.02,-0.034,0.76,0.028,-0.047,9.32,0.455,-0.191,311,10.863,-15.796,0.11,0.02,-0.039,0.14,nan,nan,nan,nan,nan,nan
K01833.02,11853878,7.684,0.041,3.14,108,0.51,6.8e-05,0.28,0.0019,0.0018,0.025,0.0016,0.183,0.31,1,,4614,32.981,-34.25,4.63,0.016,-0.016,0.07,0.152,-0.205,0.70,0.019,-0.035,0.76,0.028,-0.046,9.32,0.471,-0.194,311,10.738,-16.032,0.11,0.019,-0.039,0.14,nan,nan,nan,nan,nan,nan
K01833.03,11853878,5.709,0.024,1.84,78,0.50,3.7e-16,2.4e-09,1.2e-05,1.9e-06,4.6e-06,9.1e-07,0.183,2e-05,1,,4615,31.789,-37.134,4.63,0.016,-0.016,0.07,0.154,-0.202,0.70,0.019,-0.035,0.76,0.027,-0.048,9.32,0.477,-0.194,311,10.896,-15.619,0.11,0.021,-0.039,0.14,nan,nan,nan,nan,nan,nan
K01834.01,5802478,3.792,0.020,2.15,78,0.54,6.9e-71,3e-06,0.61,4.8e-13,0.11,0.29,0.215,1,1,,6449,114.795,-150.585,4.46,0.045,-0.049,-0.54,0.159,-0.158,0.98,0.083,-0.072,1.01,0.059,-0.055,9.21,0.206,-0.136,822,71.207,-65.763,0.60,0.057,-0.092,0.68,nan,nan,nan,nan,nan,nan
K01835.01,9471268,4.580,0.016,1.40,31,0.50,1.8e-48,2.5e-15,0.00018,1e-07,2.7e-06,2.9e-08,0.135,0.00018,1,,5202,69.185,-66.593,4.57,0.017,-0.027,0.02,0.098,-0.102,0.80,0.023,-0.022,0.86,0.029,-0.033,9.57,0.265,-0.323,357,11.824,-11.649,0.28,0.074,-0.077,0.45,5103,101,4.56,0.03,0.04,0.15
K01835.02,9471268,2.248,0.014,1.23,26,0.50,9.8e-90,4.6e-21,5.6e-09,2.7e-22,4.8e-08,2.5e-19,0.121,5.4e-08,1,,5199,70.358,-65.494,4.57,0.018,-0.026,0.03,0.101,-0.107,0.80,0.024,-0.022,0.86,0.028,-0.033,9.57,0.266,-0.317,357,12.093,-11.507,0.28,0.074,-0.075,0.45,5103,101,4.56,0.03,0.04,0.15
K01835.03,9471268,6.767,0.015,1.32,50,0.51,1.8e-11,6e-06,4e-05,5.9e-06,1.2e-05,3.9e-07,0.128,6.5e-05,1,,5202,68.764,-68.745,4.57,0.018,-0.026,0.02,0.104,-0.104,0.80,0.023,-0.023,0.86,0.029,-0.035,9.57,0.268,-0.321,357,11.994,-11.573,0.28,0.073,-0.077,0.45,5103,101,4.56,0.03,0.04,0.15
K01836.01,5389540,10.262,0.034,3.85,287,0.51,5.9e-30,1.9e-07,0.0055,2.2e-13,0.00026,0.001,0.121,0.0067,1,,9522,283.245,-265.605,4.52,0.014,-0.012,-1.71,0.149,-0.167,1.04,0.021,-0.021,1.32,0.032,-0.033,9.01,0.022,-0.009,1585,44.649,-41.752,0.16,0.061,-0.065,0.46,nan,nan,nan,nan,nan,nan
K01837.01,10657406,34.173,0.026,2.34,93,0.63,2.7e-74,1.6e-07,8.4e-06,3.3e-19,7.8e-08,1.3e-09,0.214,2.8e-05,1,,5261,41.184,-42.8,4.57,0.007,-0.008,0.17,0.052,-0.065,0.82,0.013,-0.011,0.92,0.016,-0.016,9.19,0.171,-0.121,411,8.316,-7.762,0.13,0.032,-0.046,0.17,5201,93,4.57,0.01,0.36,0.10
K01837.02,10657406,1.683,0.012,1.08,17,0.50,3.5e-233,3.2e-22,1.6e-05,5.8e-69,1.1e-09,3.5e-07,0.098,1.6e-05,1,,5262,43.13,-46.008,4.57,0.007,-0.008,0.17,0.052,-0.069,0.82,0.013,-0.012,0.92,0.017,-0.016,9.19,0.171,-0.123,411,8.453,-8.106,0.13,0.032,-0.049,0.17,5201,93,4.57,0.01,0.36,0.10
K01838.01,5526527,16.737,0.038,2.75,169,0.50,1.2e-15,0.00024,9.5e-05,4e-08,8.2e-07,1.4e-07,0.201,0.00034,1,,4496,47.516,-50.409,4.64,0.02,-0.022,-0.09,0.119,-0.11,0.66,0.023,-0.028,0.69,0.029,-0.032,9.71,0.305,-0.384,346,14.427,-17.268,0.16,0.072,-0.075,0.30,4334,77,4.62,0.04,-0.06,0.15
K01839.01,5856571,9.591,0.022,2.04,86,0.51,7.3e-34,3.5e-08,2.2e-05,1.9e-11,1.2e-11,3.8e-10,0.203,2.2e-05,1,,5487,61.23,-76.173,4.54,0.039,-0.076,-0.10,0.166,-0.183,0.85,0.067,-0.06,0.89,0.046,-0.058,9.56,0.383,-0.369,346,28.141,-25.966,0.26,0.036,-0.065,0.31,nan,nan,nan,nan,nan,nan
K01839.02,nan,nan,0.027,2.50,289,1.89,1.6e-05,0.0069,0.00065,4.1e-09,7.7e-05,5.8e-07,0.209,0.0077,1,,5488,59.252,-74.469,4.54,0.039,-0.072,-0.10,0.163,-0.183,0.85,0.062,-0.064,0.89,0.046,-0.059,9.54,0.386,-0.356,345,27.053,-27.563,0.26,0.033,-0.063,0.31,nan,nan,nan,nan,nan,nan
K01840.01,7765528,7.039,0.034,3.57,86,0.50,7e-210,0.00056,0.28,2.5e-25,0.46,0.0014,0.138,0.74,1,,5979,67.962,-67.091,4.48,0.028,-0.027,-0.13,0.121,-0.127,0.96,0.05,-0.05,1.03,0.045,-0.051,9.18,0.154,-0.094,1000,54.514,-54.343,0.38,0.06,-0.059,0.61,5846,79,4.28,0.13,0.14,0.15
K01840.02,7765528,9.389,0.154,16.19,99,1.47,7.6e-77,0.00034,0.17,6e-12,0.0098,0.82,0.056,1,1,,5981,66.615,-65.612,4.48,0.03,-0.027,-0.13,0.124,-0.128,0.96,0.05,-0.053,1.03,0.045,-0.053,9.18,0.162,-0.092,1000,54.022,-58.866,0.38,0.061,-0.061,0.61,5846,79,4.28,0.13,0.14,0.15
K01841.01,11760231,49.608,0.025,2.14,81,0.75,1e-12,0.0021,1.1e-05,5e-12,4.9e-11,5.9e-09,0.217,0.0021,1,,5254,47.452,-52.753,4.58,0.012,-0.01,-0.07,0.106,-0.096,0.78,0.02,-0.022,0.86,0.027,-0.033,9.29,0.225,-0.174,298,8.696,-9.511,0.18,0.04,-0.062,0.24,5187,103,4.59,0.01,0.00,0.15
K01842.01,7779077,16.842,0.028,3.29,135,0.50,3.2e-06,0.2,0.00081,5.1e-08,0.00042,2.9e-07,0.166,0.2,1,,6136,207.016,-193.671,4.41,0.066,-0.078,-0.09,0.157,-0.169,1.08,0.138,-0.114,1.08,0.09,-0.085,9.32,0.218,-0.176,773,113.147,-88.936,0.68,0.128,-0.136,0.91,nan,nan,nan,nan,nan,nan
K01843.01,5080636,4.194,0.028,1.58,63,0.50,5.9e-16,4.1e-15,2e-05,1.3e-07,1.4e-07,6.4e-08,0.151,2e-05,1,,3727,38.297,-38.815,4.75,0.015,-0.017,0.12,0.076,-0.077,0.52,0.018,-0.017,0.54,0.019,-0.019,9.63,0.364,-0.389,128,6.765,-6.034,0.17,0.065,-0.065,0.51,3706,73,4.75,0.03,0.26,0.15
K01843.02,nan,nan,0.015,0.85,104,1.92,2.2e-08,2.2e-08,0.23,0.00013,0.00061,0.18,0.061,0.41,1,,3726,37.35,-37.174,4.75,0.016,-0.017,0.12,0.068,-0.081,0.52,0.016,-0.018,0.54,0.018,-0.02,9.64,0.363,-0.391,128,6.252,-6.429,0.17,0.064,-0.066,0.51,3706,73,4.75,0.03,0.26,0.15
K01844.01,8892721,61.491,0.070,4.78,361,0.50,3.7e-90,7.5e-20,0.14,4.6e-23,8.1e-05,0.0054,0.079,0.15,1,,4895,42.441,-54.803,4.67,0.022,-0.032,-0.55,0.141,-0.162,0.63,0.031,-0.025,0.66,0.033,-0.027,9.51,0.423,-0.335,645,36.478,-30.689,0.42,0.03,-0.055,0.47,nan,nan,nan,nan,nan,nan
K01845.01,3338885,1.970,0.022,1.83,30,0.54,4.3e-19,1.5e-15,4.6e-05,8.9e-10,2.4e-07,9.6e-10,0.181,4.6e-05,1,,4964,50.978,-63.06,4.59,0.021,-0.04,0.04,0.157,-0.165,0.76,0.031,-0.033,0.81,0.035,-0.039,9.64,0.367,-0.395,412,18.587,-19.979,0.37,0.049,-0.081,0.44,nan,nan,nan,nan,nan,nan
K01845.02,3338885,5.058,0.059,4.91,113,0.50,0.026,0.77,0.0063,0.0016,0.0075,0.0014,0.077,0.81,1,,4963,53.09,-61.865,4.59,0.019,-0.042,0.04,0.144,-0.162,0.76,0.03,-0.03,0.81,0.033,-0.04,9.62,0.383,-0.366,411,17.498,-18.86,0.37,0.051,-0.081,0.44,nan,nan,nan,nan,nan,nan
K01846.01,9886255,105.956,0.043,3.00,327,0.51,1.3e-144,2.5e-08,2.2e-05,2.2e-41,1.5e-05,5.7e-07,0.192,4e-05,1,,5232,43.336,-41.979,4.67,0.027,-0.027,-0.76,0.222,-0.182,0.64,0.035,-0.031,0.70,0.035,-0.031,9.35,0.338,-0.231,775,46.332,-42.895,0.17,0.008,-0.019,0.18,nan,nan,nan,nan,nan,nan
K01847.01,6776401,26.853,0.028,2.35,109,0.50,2.8e-99,2.2e-08,1e-05,3.8e-21,2.2e-06,3.3e-10,0.214,1.2e-05,1,,5387,48.629,-52.561,4.59,0.032,-0.036,-0.26,0.201,-0.227,0.77,0.053,-0.059,0.83,0.06,-0.071,9.39,0.35,-0.265,616,45.688,-49.358,0.30,0.017,-0.034,0.33,nan,nan,nan,nan,nan,nan
K01848.01,7430034,49.622,0.026,2.92,71,0.54,4.8e-85,0.012,0.0092,2.1e-20,0.0045,8.9e-07,0.196,0.026,1,,5983,44.163,-47.993,4.45,0.025,-0.035,0.01,0.101,-0.107,1.03,0.048,-0.039,1.08,0.029,-0.04,9.28,0.216,-0.153,583,27.768,-25.789,0.13,0.017,-0.032,0.15,5938,71,4.33,0.10,0.16,0.15
K01849.01,9735426,8.088,0.031,2.87,116,0.50,3e-45,0.055,4.5e-05,2.1e-09,5e-06,6.8e-07,0.198,0.055,1,,5392,68.954,-65.404,4.54,0.023,-0.04,0.04,0.098,-0.102,0.85,0.037,-0.031,0.91,0.03,-0.034,9.49,0.313,-0.304,619,27.59,-25.734,0.36,0.069,-0.071,0.94,5269,84,4.49,0.06,0.14,0.15
K01850.01,8826168,11.551,0.019,2.12,60,0.50,1.1e-143,0.00038,0.00014,5.9e-18,0.0002,1.9e-07,0.212,0.00071,1,,6079,78.695,-78.818,4.45,0.031,-0.032,-0.11,0.11,-0.111,1.02,0.055,-0.056,1.06,0.043,-0.049,9.23,0.177,-0.119,769,43.717,-44.337,0.33,0.058,-0.063,0.43,5907,105,4.39,0.08,0.00,0.15
K01851.01,10464050,4.470,0.022,1.80,60,0.50,3.3e-89,2.5e-07,7.9e-05,8.7e-13,5.4e-05,4.1e-07,0.181,0.00013,1,,5761,53.785,-54.742,4.60,0.03,-0.024,-0.64,0.165,-0.229,0.75,0.035,-0.043,0.81,0.041,-0.042,9.36,0.23,-0.194,701,37.769,-42.905,0.17,0.011,-0.024,0.19,nan,nan,nan,nan,nan,nan
K01852.01,9763348,15.774,0.016,1.85,51,0.50,1e-158,3.8e-07,2.9e-05,3.5e-22,1.4e-09,1.5e-08,0.190,2.9e-05,1,,6102,58.813,-59.466,4.42,0.033,-0.037,-0.06,0.128,-0.109,1.06,0.064,-0.054,1.09,0.047,-0.044,9.26,0.193,-0.133,572,37.7,-31.018,0.14,0.009,-0.02,0.15,6283,126,4.13,0.17,-0.06,0.15
K01853.01,8804397,60.086,0.021,2.38,54,0.51,2.7e-160,2.5e-05,3.6e-05,3.2e-33,0.00015,4.9e-08,0.213,0.00021,1,,6112,61.202,-66.67,4.44,0.017,-0.018,-0.08,0.099,-0.094,1.04,0.031,-0.036,1.09,0.023,-0.036,9.16,0.108,-0.066,625,20.432,-22.071,0.10,0.033,-0.045,0.15,6028,107,4.46,0.02,0.21,0.15
K01854.01,9662811,43.034,0.025,2.55,74,0.72,9.4e-91,2.8e-06,0.00019,8.5e-20,6e-08,1.4e-09,0.207,0.0002,1,,5707,73.677,-80.241,4.49,0.029,-0.044,0.01,0.103,-0.103,0.93,0.05,-0.04,0.99,0.036,-0.037,9.44,0.26,-0.259,467,26.397,-22.878,0.33,0.063,-0.068,0.45,5550,110,4.48,0.06,0.00,0.15
K01855.01,5992270,58.430,0.052,3.92,276,0.50,4.1e-09,7.7e-08,0.6,0.0018,0.0026,0.0056,0.114,0.61,1,,4582,72.031,-78.315,4.62,0.022,-0.027,-0.02,0.143,-0.147,0.69,0.025,-0.035,0.73,0.031,-0.041,9.65,0.356,-0.376,357,15.595,-21.229,0.34,0.101,-0.105,1.15,nan,nan,nan,nan,nan,nan
K01856.01,11570749,46.299,0.026,2.46,124,0.51,1.1e-67,1.6e-05,4.3e-07,4.1e-23,2.7e-10,1.7e-11,0.209,0.0011,1,,5558,64.802,-74.18,4.53,0.033,-0.05,-0.06,0.153,-0.182,0.87,0.052,-0.056,0.93,0.043,-0.057,9.46,0.339,-0.31,519,32.778,-36.147,0.38,0.034,-0.067,0.42,nan,nan,nan,nan,nan,nan
K01857.01,11297236,88.644,0.025,2.48,80,0.57,5.7e-103,8.8e-06,3e-05,5.1e-26,5.1e-06,1.3e-08,0.211,4.4e-05,1,,5726,48.799,-54.069,4.51,0.024,-0.034,-0.07,0.103,-0.114,0.91,0.038,-0.037,0.97,0.034,-0.037,9.38,0.252,-0.231,532,24.826,-23.494,0.19,0.023,-0.039,0.22,5661,101,4.47,0.06,0.00,0.15
K01858.01,8160953,116.332,0.036,3.35,413,0.50,2.1e-127,0.00018,3.6e-06,3.9e-40,2.7e-05,2.1e-10,0.168,0.00029,1,,5588,54.471,-60.63,4.55,0.019,-0.02,-0.10,0.11,-0.124,0.85,0.028,-0.038,0.93,0.034,-0.041,9.29,0.239,-0.175,741,28.3,-34.56,0.28,0.036,-0.054,0.33,5354,106,4.53,0.04,0.00,0.15
K01859.01,8625821,45.397,0.276,22.66,884,0.50,8.3e-20,0.14,0.3,4.5e-08,0.28,0.27,0.013,0.99,1,,5719,64.425,-75.051,4.60,0.023,-0.03,-0.58,0.134,-0.19,0.75,0.036,-0.035,0.81,0.038,-0.041,9.38,0.288,-0.233,727,38.71,-38.4,0.39,0.025,-0.052,0.42,nan,nan,nan,nan,nan,nan
K01860.01,4157325,6.319,0.024,2.64,57,2.64,0,1.1e-07,4.4e-05,9.9e-101,8.7e-05,9.6e-09,0.204,0.00013,1,,5949,74.681,-82.226,4.46,0.029,-0.033,-0.00,0.104,-0.108,1.01,0.05,-0.048,1.06,0.038,-0.044,9.26,0.203,-0.146,701,37.656,-36.269,0.31,0.064,-0.068,0.43,5670,114,4.40,0.10,0.06,0.15
K01860.02,4157325,12.209,0.023,2.52,75,1.95,3.1e-268,2.8e-07,0.0005,4.1e-31,5.1e-05,1.6e-09,0.207,0.00055,1,,5947,77.592,-84.338,4.46,0.029,-0.031,-0.00,0.103,-0.112,1.01,0.049,-0.051,1.06,0.04,-0.045,9.25,0.198,-0.141,700,37.209,-37.726,0.30,0.065,-0.068,0.43,5670,114,4.40,0.10,0.06,0.15
K01860.03,4157325,3.076,0.014,1.53,36,2.28,0,7.5e-17,4.5e-06,2e-63,3.5e-09,1.6e-09,0.155,4.5e-06,1,,5945,81.394,-83.517,4.46,0.029,-0.031,-0.01,0.103,-0.107,1.00,0.049,-0.049,1.06,0.041,-0.043,9.26,0.194,-0.143,699,35.86,-37.581,0.30,0.066,-0.069,0.43,5670,114,4.40,0.10,0.06,0.15
K01860.04,4157325,24.844,0.014,1.54,101,4.00,3e-106,1.2e-05,0.47,1.1e-18,0.0044,0.32,0.152,0.8,1,,5944,80.021,-81.776,4.46,0.029,-0.035,-0.01,0.107,-0.108,1.01,0.05,-0.051,1.06,0.041,-0.045,9.26,0.209,-0.141,700,38.538,-37.518,0.30,0.065,-0.07,0.43,5670,114,4.40,0.10,0.06,0.15
K01861.01,3648437,17.504,0.025,2.55,123,2.13,1.3e-189,8.1e-06,0.00034,3.2e-28,1.4e-06,3.4e-08,0.209,0.00034,1,,5986,67.252,-67.226,4.49,0.037,-0.035,-0.23,0.132,-0.156,0.94,0.06,-0.062,0.99,0.053,-0.059,9.24,0.223,-0.139,660,44.516,-45.633,0.15,0.059,-0.06,0.51,5815,78,4.16,0.20,-0.18,0.15
K01862.01,7286173,56.435,0.022,2.27,87,0.60,1.6e-71,0.0037,3.8e-06,2.5e-22,7.3e-05,1.7e-09,0.217,0.0038,1,,5779,83.082,-80.144,4.49,0.031,-0.044,-0.02,0.102,-0.11,0.95,0.056,-0.046,1.00,0.038,-0.042,9.37,0.265,-0.216,542,34.45,-28.423,0.22,0.07,-0.07,0.37,5534,110,4.38,0.12,0.00,0.15
K01863.01,11126381,33.789,0.023,2.31,108,2.22,4.8e-116,8.2e-06,1.5e-05,2.9e-27,4.1e-05,3.5e-09,0.213,6.3e-05,1,,6231,70.699,-72.549,4.50,0.036,-0.048,-0.49,0.213,-0.178,0.92,0.087,-0.056,0.97,0.075,-0.046,9.20,0.204,-0.128,604,57.96,-39.755,0.14,0.013,-0.027,0.16,nan,nan,nan,nan,nan,nan
K01864.01,4149450,3.215,0.015,1.56,15,0.78,0,8.4e-51,1.9e-06,8e-55,9.4e-14,1.8e-07,0.153,0.0012,1,,5716,66.811,-73.537,4.49,0.026,-0.04,0.08,0.099,-0.102,0.95,0.045,-0.037,1.01,0.032,-0.035,9.41,0.241,-0.256,460,22.762,-20.307,0.28,0.054,-0.063,0.37,5541,100,4.47,0.06,0.12,0.15
K01865.01,9115681,1.864,0.211,34.28,27,0.50,2.2e-103,8.6e-50,0.98,1.5e-28,4.5e-13,0.003,0.001,1,0.98,,7388,309.139,-274.432,4.24,0.055,-0.074,-0.28,0.119,-0.199,1.49,0.201,-0.159,1.41,0.115,-0.149,9.12,0.094,-0.069,812,121.807,-94.379,0.71,0.145,-0.139,1.47,nan,nan,nan,nan,nan,nan
K01866.01,9520838,105.303,0.033,3.09,243,0.50,1.2e-109,0.0069,4.4e-05,7.9e-33,0.00024,1.6e-07,0.188,0.0071,1,,5748,48.841,-50.955,4.54,0.025,-0.02,-0.23,0.12,-0.142,0.86,0.033,-0.046,0.93,0.037,-0.05,9.22,0.207,-0.14,880,35.62,-49.244,0.23,0.018,-0.033,0.25,5534,110,4.51,0.04,0.00,0.15
