koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K01127.01 0.024 93 0.50 nan nan nan nan nan nan nan nan nan 
K01127.02 0.016 123 2.70 nan nan nan nan nan nan nan nan nan 
K01127.03 0.012 61 1.65 nan nan nan nan nan nan nan nan nan 
K01128.01 0.013 26 0.50 nan nan nan nan nan nan nan nan nan 
K01129.01 0.015 71 1.86 nan nan nan nan nan nan nan nan nan 
K01130.01 0.212 3247 0.50 nan nan nan nan nan nan nan nan nan 
K01132.01 0.385 249 0.50 nan nan nan nan nan nan nan nan nan 
K01133.01 0.210 9453 4.00 nan nan nan nan nan nan nan nan nan 
K01134.01 0.784 3604 0.60 nan nan nan nan nan nan nan nan nan 
K01134.02 nan nan nan nan nan nan nan nan nan nan nan nan 
K01135.01 0.457 1617 0.50 nan nan nan nan nan nan nan nan nan 
K01137.01 0.437 648 0.50 nan nan nan nan nan nan nan nan nan 
K01138.01 0.474 361 0.50 nan nan nan nan nan nan nan nan nan 
K01139.01 0.027 122 4.00 nan nan nan nan nan nan nan nan nan 
K01140.01 0.205 777 4.00 nan nan nan nan nan nan nan nan nan 
K01141.01 0.024 161 1.44 nan nan nan nan nan nan nan nan nan 
K01142.01 0.020 90 0.96 nan nan nan nan nan nan nan nan nan 
K01143.01 0.036 110 0.50 nan nan nan nan nan nan nan nan nan 
K01144.01 0.019 50 1.68 nan nan nan nan nan nan nan nan nan 
K01145.01 0.022 86 1.77 nan nan nan nan nan nan nan nan nan 
K01146.01 0.019 97 1.59 nan nan nan nan nan nan nan nan nan 
K01147.01 0.012 18 0.50 nan nan nan nan nan nan nan nan nan 
K01148.01 0.013 35 0.69 nan nan nan nan nan nan nan nan nan 
K01148.02 0.011 55 3.60 nan nan nan nan nan nan nan nan nan 
K01150.01 0.008 10 0.90 nan nan nan nan nan nan nan nan nan 
K01151.01 0.013 32 0.66 nan nan nan nan nan nan nan nan nan 
K01151.02 0.010 24 1.02 nan nan nan nan nan nan nan nan nan 
K01151.03 0.007 27 2.37 nan nan nan nan nan nan nan nan nan 
K01151.04 0.008 57 2.85 nan nan nan nan nan nan nan nan nan 
K01151.05 0.009 60 3.60 nan nan nan nan nan nan nan nan nan 
K01152.01 0.276 6596 0.50 nan nan nan nan nan nan nan nan nan 
K01153.01 0.439 17338 0.50 nan nan nan nan nan nan nan nan nan 
K01154.01 0.115 298 0.50 nan nan nan nan nan nan nan nan nan 
K01156.01 0.065 956 0.50 nan nan nan nan nan nan nan nan nan 
K01158.01 0.021 86 1.53 nan nan nan nan nan nan nan nan nan 
K01159.01 0.056 234 0.50 nan nan nan nan nan nan nan nan nan 
K01160.01 0.034 195 0.50 nan nan nan nan nan nan nan nan nan 
K01161.01 0.018 52 0.72 nan nan nan nan nan nan nan nan nan 
K01161.02 0.019 113 0.99 nan nan nan nan nan nan nan nan nan 
K01161.03 0.014 46 0.84 nan nan nan nan nan nan nan nan nan 
K01162.01 0.029 58 0.90 nan nan nan nan nan nan nan nan nan 
K01163.01 0.017 55 0.50 nan nan nan nan nan nan nan nan nan 
K01163.02 0.019 79 0.72 nan nan nan nan nan nan nan nan nan 
K01164.01 0.406 37 1.74 nan nan nan nan nan nan nan nan nan 
K01165.01 0.021 58 0.50 nan nan nan nan nan nan nan nan nan 
K01165.02 0.008 30 2.82 nan nan nan nan nan nan nan nan nan 
K01166.01 0.021 157 0.93 nan nan nan nan nan nan nan nan nan 
K01167.01 0.016 478 1.68 nan nan nan nan nan nan nan nan nan 
K01169.01 0.013 17 1.08 nan nan nan nan nan nan nan nan nan 
K01170.01 0.023 109 0.63 nan nan nan nan nan nan nan nan nan 
K01171.01 0.308 230 1.77 nan nan nan nan nan nan nan nan nan 
K01172.01 0.202 29 1.50 nan nan nan nan nan nan nan nan nan 
K01173.01 0.011 28 0.90 nan nan nan nan nan nan nan nan nan 
K01175.01 0.011 52 2.13 nan nan nan nan nan nan nan nan nan 
K01175.02 0.010 41 4.20 nan nan nan nan nan nan nan nan nan 
K01176.01 0.167 121 0.50 nan nan nan nan nan nan nan nan nan 
K01177.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01178.01 0.125 4925 0.50 nan nan nan nan nan nan nan nan nan 
K01179.01 0.187 5617 4.00 nan nan nan nan nan nan nan nan nan 
K01180.01 0.137 2381 0.50 nan nan nan nan nan nan nan nan nan 
K01181.01 0.364 1700 1.41 nan nan nan nan nan nan nan nan nan 
K01182.01 0.071 1018 0.50 nan nan nan nan nan nan nan nan nan 
K01183.01 0.045 87 0.50 nan nan nan nan nan nan nan nan nan 
K01185.01 0.338 688 0.50 nan nan nan nan nan nan nan nan nan 
K01186.01 0.383 284 0.50 nan nan nan nan nan nan nan nan nan 
K01187.01 0.397 1186 0.50 nan nan nan nan nan nan nan nan nan 
K01188.01 0.290 95 0.50 nan nan nan nan nan nan nan nan nan 
K01189.01 0.055 53 0.50 nan nan nan nan nan nan nan nan nan 
K01191.01 0.035 124 1.14 nan nan nan nan nan nan nan nan nan 
K01192.02 0.080 3962 2.49 nan nan nan nan nan nan nan nan nan 
K01193.01 0.095 583 0.50 nan nan nan nan nan nan nan nan nan 
K01194.01 0.037 290 2.07 nan nan nan nan nan nan nan nan nan 
K01194.02 0.029 345 1.14 nan nan nan nan nan nan nan nan nan 
K01194.03 0.023 228 2.49 nan nan nan nan nan nan nan nan nan 
K01195.01 0.053 3139 1.71 nan nan nan nan nan nan nan nan nan 
K01196.01 0.019 75 4.00 nan nan nan nan nan nan nan nan nan 
K01196.02 0.016 97 1.86 nan nan nan nan nan nan nan nan nan 
K01196.03 0.018 172 2.10 nan nan nan nan nan nan nan nan nan 
K01197.01 0.243 336 0.50 nan nan nan nan nan nan nan nan nan 
K01198.01 0.024 99 0.51 nan nan nan nan nan nan nan nan nan 
K01198.02 0.016 92 1.74 nan nan nan nan nan nan nan nan nan 
K01198.03 0.022 170 1.59 nan nan nan nan nan nan nan nan nan 
K01199.01 0.030 221 0.54 nan nan nan nan nan nan nan nan nan 
K01201.01 0.023 164 0.96 nan nan nan nan nan nan nan nan nan 
K01202.01 0.019 80 1.35 nan nan nan nan nan nan nan nan nan 
K01203.01 0.028 217 0.66 nan nan nan nan nan nan nan nan nan 
K01203.02 0.024 164 0.72 nan nan nan nan nan nan nan nan nan 
K01203.03 0.023 298 1.23 nan nan nan nan nan nan nan nan nan 
K01204.01 0.019 64 0.63 nan nan nan nan nan nan nan nan nan 
K01205.01 0.019 66 0.81 nan nan nan nan nan nan nan nan nan 
K01207.01 0.025 121 0.72 nan nan nan nan nan nan nan nan nan 
K01210.01 0.019 61 1.68 nan nan nan nan nan nan nan nan nan 
K01211.01 0.125 18 0.90 nan nan nan nan nan nan nan nan nan 
K01212.01 0.016 79 0.93 nan nan nan nan nan nan nan nan nan 
K01213.01 0.012 50 0.50 nan nan nan nan nan nan nan nan nan 
K01214.01 0.013 74 1.26 nan nan nan nan nan nan nan nan nan 
K01215.01 0.016 29 0.75 nan nan nan nan nan nan nan nan nan 
K01215.02 0.015 46 1.02 nan nan nan nan nan nan nan nan nan 
K01216.01 0.014 38 3.00 nan nan nan nan nan nan nan nan nan 
K01217.01 0.010 17 1.05 nan nan nan nan nan nan nan nan nan 
K01218.01 0.016 46 0.84 nan nan nan nan nan nan nan nan nan 
K01220.01 0.011 33 0.60 nan nan nan nan nan nan nan nan nan 
K01221.01 0.013 38 1.02 nan nan nan nan nan nan nan nan nan 
K01221.02 0.010 53 1.17 nan nan nan nan nan nan nan nan nan 
K01223.01 0.117 1145 0.50 nan nan nan nan nan nan nan nan nan 
K01224.01 0.041 373 0.50 nan nan nan nan nan nan nan nan nan 
K01225.01 0.439 828 0.50 nan nan nan nan nan nan nan nan nan 
K01226.01 0.323 518 0.50 nan nan nan nan nan nan nan nan nan 
K01227.01 0.190 60 0.50 nan nan nan nan nan nan nan nan nan 
K01228.01 0.142 2746 0.50 nan nan nan nan nan nan nan nan nan 
K01229.01 0.151 2024 0.50 nan nan nan nan nan nan nan nan nan 
K01230.01 0.073 327 0.50 nan nan nan nan nan nan nan nan nan 
K01232.01 0.174 216 0.50 nan nan nan nan nan nan nan nan nan 
K01233.01 0.049 532 0.50 nan nan nan nan nan nan nan nan nan 
K01234.01 0.337 163 0.50 nan nan nan nan nan nan nan nan nan 
K01235.01 0.024 49 0.50 nan nan nan nan nan nan nan nan nan 
K01236.01 0.031 223 0.50 nan nan nan nan nan nan nan nan nan 
K01236.02 0.021 88 0.50 nan nan nan nan nan nan nan nan nan 
K01236.03 0.027 236 2.13 nan nan nan nan nan nan nan nan nan 
K01237.01 0.567 951 0.50 nan nan nan nan nan nan nan nan nan 
K01238.01 0.021 78 0.63 nan nan nan nan nan nan nan nan nan 
K01239.01 0.015 21 1.65 nan nan nan nan nan nan nan nan nan 
K01239.02 0.016 64 1.29 nan nan nan nan nan nan nan nan nan 
K01240.01 0.015 24 0.57 nan nan nan nan nan nan nan nan nan 
K01240.02 0.020 85 1.47 nan nan nan nan nan nan nan nan nan 
K01241.01 0.025 59 0.50 nan nan nan nan nan nan nan nan nan 
K01241.02 0.011 35 0.69 nan nan nan nan nan nan nan nan nan 
K01242.01 0.072 120 0.50 nan nan nan nan nan nan nan nan nan 
K01243.01 0.014 86 4.00 nan nan nan nan nan nan nan nan nan 
K01244.01 0.017 69 0.50 nan nan nan nan nan nan nan nan nan 
K01245.01 0.017 39 0.57 nan nan nan nan nan nan nan nan nan 
K01246.01 0.019 85 4.50 nan nan nan nan nan nan nan nan nan 
K01247.01 0.140 839 0.50 nan nan nan nan nan nan nan nan nan 
K01248.01 0.215 1850 0.50 nan nan nan nan nan nan nan nan nan 
K01249.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01250.01 0.455 6276 0.50 nan nan nan nan nan nan nan nan nan 
K01251.01 0.450 3869 4.00 nan nan nan nan nan nan nan nan nan 
K01253.01 0.283 337 1.17 nan nan nan nan nan nan nan nan nan 
K01254.01 0.047 442 0.50 nan nan nan nan nan nan nan nan nan 
K01255.01 0.126 1149 4.00 nan nan nan nan nan nan nan nan nan 
K01256.01 0.359 1089 0.50 nan nan nan nan nan nan nan nan nan 
K01257.01 0.081 210 0.50 nan nan nan nan nan nan nan nan nan 
K01258.01 0.056 182 0.50 nan nan nan nan nan nan nan nan nan 
K01258.02 0.024 106 0.57 nan nan nan nan nan nan nan nan nan 
K01258.03 0.047 540 1.35 nan nan nan nan nan nan nan nan nan 
K01259.01 0.379 310 2.07 nan nan nan nan nan nan nan nan nan 
K01260.01 0.112 266 8.40 nan nan nan nan nan nan nan nan nan 
K01261.01 0.068 314 0.50 nan nan nan nan nan nan nan nan nan 
K01261.02 0.017 136 0.87 nan nan nan nan nan nan nan nan nan 
K01262.01 0.049 171 4.00 nan nan nan nan nan nan nan nan nan 
K01263.01 0.056 592 1.68 nan nan nan nan nan nan nan nan nan 
K01264.01 0.032 130 0.50 nan nan nan nan nan nan nan nan nan 
K01265.01 0.411 263 1.68 nan nan nan nan nan nan nan nan nan 
K01266.01 0.029 93 0.50 nan nan nan nan nan nan nan nan nan 
K01267.01 0.484 312 0.50 nan nan nan nan nan nan nan nan nan 
K01268.01 0.098 434 0.50 nan nan nan nan nan nan nan nan nan 
K01269.01 0.700 481 0.50 nan nan nan nan nan nan nan nan nan 
K01270.01 0.034 93 0.50 nan nan nan nan nan nan nan nan nan 
K01270.02 0.528 109 1.62 nan nan nan nan nan nan nan nan nan 
K01271.01 0.069 167 0.50 nan nan nan nan nan nan nan nan nan 
K01272.01 0.182 186 0.60 nan nan nan nan nan nan nan nan nan 
K01273.01 0.036 151 0.50 nan nan nan nan nan nan nan nan nan 
K01275.01 0.031 71 0.50 nan nan nan nan nan nan nan nan nan 
K01276.01 0.023 84 2.55 nan nan nan nan nan nan nan nan nan 
K01276.02 0.013 78 3.30 nan nan nan nan nan nan nan nan nan 
K01277.01 0.115 122 1.86 nan nan nan nan nan nan nan nan nan 
K01278.01 0.024 112 0.51 nan nan nan nan nan nan nan nan nan 
K01278.02 0.027 117 0.84 nan nan nan nan nan nan nan nan nan 
K01278.03 0.011 60 1.26 nan nan nan nan nan nan nan nan nan 
K01278.04 0.013 62 2.25 nan nan nan nan nan nan nan nan nan 
K01279.01 0.017 40 0.50 nan nan nan nan nan nan nan nan nan 
K01279.02 0.010 36 0.78 nan nan nan nan nan nan nan nan nan 
K01280.01 0.014 43 4.00 nan nan nan nan nan nan nan nan nan 
K01281.01 0.021 156 0.96 nan nan nan nan nan nan nan nan nan 
K01282.01 0.016 33 0.60 nan nan nan nan nan nan nan nan nan 
K01283.01 0.009 11 1.26 nan nan nan nan nan nan nan nan nan 
K01284.01 0.401 39 0.50 nan nan nan nan nan nan nan nan nan 
K01285.01 0.077 524 0.50 nan nan nan nan nan nan nan nan nan 
K01286.01 0.448 2794 1.86 nan nan nan nan nan nan nan nan nan 
K01287.01 0.366 201 0.50 nan nan nan nan nan nan nan nan nan 
K01288.01 0.090 243 0.50 nan nan nan nan nan nan nan nan nan 
K01289.01 0.100 713 0.50 nan nan nan nan nan nan nan nan nan 
K01290.01 0.440 123 0.50 nan nan nan nan nan nan nan nan nan 
K01292.01 0.418 94 0.50 nan nan nan nan nan nan nan nan nan 
K01293.01 0.447 2436 0.50 nan nan nan nan nan nan nan nan nan 
K01294.01 0.038 205 0.50 nan nan nan nan nan nan nan nan nan 
K01295.01 0.471 215 1.65 nan nan nan nan nan nan nan nan nan 
K01296.01 0.178 3028 0.50 nan nan nan nan nan nan nan nan nan 
K01297.01 0.022 79 0.50 nan nan nan nan nan nan nan nan nan 
K01298.01 0.041 191 0.50 nan nan nan nan nan nan nan nan nan 
K01298.02 0.492 610 1.05 nan nan nan nan nan nan nan nan nan 
K01299.01 0.027 82 0.69 nan nan nan nan nan nan nan nan nan 
K01300.01 0.019 55 0.50 nan nan nan nan nan nan nan nan nan 
K01301.01 0.027 169 0.50 nan nan nan nan nan nan nan nan nan 
K01301.02 0.031 228 0.60 nan nan nan nan nan nan nan nan nan 
K01302.01 0.028 108 0.54 nan nan nan nan nan nan nan nan nan 
K01303.01 0.020 57 0.81 nan nan nan nan nan nan nan nan nan 
K01304.01 0.017 94 0.84 nan nan nan nan nan nan nan nan nan 
K01305.01 0.016 60 0.60 nan nan nan nan nan nan nan nan nan 
K01305.02 0.013 75 1.41 nan nan nan nan nan nan nan nan nan 
K01306.01 0.014 39 1.17 nan nan nan nan nan nan nan nan nan 
K01306.02 0.015 56 0.81 nan nan nan nan nan nan nan nan nan 
K01306.03 0.015 80 2.22 nan nan nan nan nan nan nan nan nan 
K01306.04 0.018 190 2.19 nan nan nan nan nan nan nan nan nan 
K01307.01 0.032 120 0.51 nan nan nan nan nan nan nan nan nan 
K01307.02 0.022 108 0.54 nan nan nan nan nan nan nan nan nan 
K01308.01 0.020 55 0.60 nan nan nan nan nan nan nan nan nan 
K01309.01 0.019 38 0.54 nan nan nan nan nan nan nan nan nan 
K01310.01 0.021 88 0.54 nan nan nan nan nan nan nan nan nan 
K01311.01 0.025 74 0.72 nan nan nan nan nan nan nan nan nan 
K01312.01 0.016 46 0.96 nan nan nan nan nan nan nan nan nan 
K01313.01 0.012 111 0.50 nan nan nan nan nan nan nan nan nan 
K01314.01 0.011 31 1.05 nan nan nan nan nan nan nan nan nan 
K01315.01 0.012 17 5.40 nan nan nan nan nan nan nan nan nan 
K01316.01 0.008 12 0.69 nan nan nan nan nan nan nan nan nan 
K01317.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01318.01 0.157 3277 0.50 nan nan nan nan nan nan nan nan nan 
K01319.01 0.135 1591 0.50 nan nan nan nan nan nan nan nan nan 
K01320.01 0.110 254 0.50 nan nan nan nan nan nan nan nan nan 
K01321.01 0.278 294 0.50 nan nan nan nan nan nan nan nan nan 
K01322.01 0.142 1169 0.66 nan nan nan nan nan nan nan nan nan 
K01323.01 0.080 124 0.50 nan nan nan nan nan nan nan nan nan 
K01324.01 0.279 1330 0.50 nan nan nan nan nan nan nan nan nan 
K01325.01 0.051 113 0.50 nan nan nan nan nan nan nan nan nan 
K01326.01 0.198 124 0.50 nan nan nan nan nan nan nan nan nan 
K01327.01 0.049 811 0.50 nan nan nan nan nan nan nan nan nan 
K01328.01 0.067 653 0.50 nan nan nan nan nan nan nan nan nan 
K01329.01 0.031 160 0.54 nan nan nan nan nan nan nan nan nan 
K01330.01 0.028 1137 1.77 nan nan nan nan nan nan nan nan nan 
K01330.02 0.037 290 3.30 nan nan nan nan nan nan nan nan nan 
K01331.01 0.024 137 1.29 nan nan nan nan nan nan nan nan nan 
K01332.01 0.026 155 0.50 nan nan nan nan nan nan nan nan nan 
K01332.02 0.014 69 1.65 nan nan nan nan nan nan nan nan nan 
K01332.03 0.031 188 1.32 nan nan nan nan nan nan nan nan nan 
K01333.01 0.242 37 0.84 nan nan nan nan nan nan nan nan nan 
K01334.01 0.692 666 2.46 nan nan nan nan nan nan nan nan nan 
K01334.02 0.021 227 3.30 nan nan nan nan nan nan nan nan nan 
K01335.01 0.041 380 0.50 nan nan nan nan nan nan nan nan nan 
K01336.01 0.026 112 1.17 nan nan nan nan nan nan nan nan nan 
K01336.02 0.025 112 1.35 nan nan nan nan nan nan nan nan nan 
K01336.03 0.028 235 2.01 nan nan nan nan nan nan nan nan nan 
K01336.04 0.013 77 2.13 nan nan nan nan nan nan nan nan nan 
K01337.01 0.015 36 0.54 nan nan nan nan nan nan nan nan nan 
K01338.01 0.015 38 0.66 nan nan nan nan nan nan nan nan nan 
K01338.02 0.017 133 1.92 nan nan nan nan nan nan nan nan nan 
K01338.03 0.012 125 3.90 nan nan nan nan nan nan nan nan nan 
K01339.01 0.015 51 0.93 nan nan nan nan nan nan nan nan nan 
K01340.01 0.023 42 0.50 nan nan nan nan nan nan nan nan nan 
K01341.01 0.014 41 0.75 nan nan nan nan nan nan nan nan nan 
K01342.01 0.013 38 0.72 nan nan nan nan nan nan nan nan nan 
K01342.02 0.016 58 0.96 nan nan nan nan nan nan nan nan nan 
K01343.01 0.011 26 4.00 nan nan nan nan nan nan nan nan nan 
K01344.01 0.010 26 0.96 nan nan nan nan nan nan nan nan nan 
K01346.01 0.282 2101 0.50 nan nan nan nan nan nan nan nan nan 
K01347.01 0.163 558 0.50 nan nan nan nan nan nan nan nan nan 
K01347.02 0.006 37 0.50 nan nan nan nan nan nan nan nan nan 
K01348.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01349.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01350.01 0.366 1844 0.50 nan nan nan nan nan nan nan nan nan 
K01351.01 0.538 1853 0.50 nan nan nan nan nan nan nan nan nan 
K01352.01 0.048 757 4.00 nan nan nan nan nan nan nan nan nan 
K01353.01 0.104 676 0.50 nan nan nan nan nan nan nan nan nan 
K01353.02 0.020 113 0.60 nan nan nan nan nan nan nan nan nan 
K01354.01 0.347 87 1.11 nan nan nan nan nan nan nan nan nan 
K01355.01 0.057 241 0.50 nan nan nan nan nan nan nan nan nan 
K01357.01 0.030 79 0.50 nan nan nan nan nan nan nan nan nan 
K01358.01 0.037 144 0.50 nan nan nan nan nan nan nan nan nan 
K01358.02 0.025 138 1.14 nan nan nan nan nan nan nan nan nan 
K01358.03 0.018 116 1.92 nan nan nan nan nan nan nan nan nan 
K01358.04 0.016 85 2.37 nan nan nan nan nan nan nan nan nan 
K01359.01 0.037 134 2.43 nan nan nan nan nan nan nan nan nan 
K01359.02 0.072 392 2.28 nan nan nan nan nan nan nan nan nan 
K01360.01 0.041 195 0.50 nan nan nan nan nan nan nan nan nan 
K01360.02 0.026 161 1.50 nan nan nan nan nan nan nan nan nan 
K01360.03 0.011 43 2.52 nan nan nan nan nan nan nan nan nan 
K01361.01 0.033 187 0.50 nan nan nan nan nan nan nan nan nan 
K01362.01 0.033 196 2.49 nan nan nan nan nan nan nan nan nan 
K01363.01 0.020 101 1.23 nan nan nan nan nan nan nan nan nan 
K01363.02 0.018 143 1.92 nan nan nan nan nan nan nan nan nan 
K01364.01 0.029 184 1.89 nan nan nan nan nan nan nan nan nan 
K01364.02 0.026 113 1.05 nan nan nan nan nan nan nan nan nan 
K01364.03 0.029 155 1.62 nan nan nan nan nan nan nan nan nan 
K01364.04 0.018 103 1.26 nan nan nan nan nan nan nan nan nan 
K01364.05 0.016 93 2.10 nan nan nan nan nan nan nan nan nan 
K01365.01 0.017 59 0.72 nan nan nan nan nan nan nan nan nan 
K01366.01 0.029 120 0.50 nan nan nan nan nan nan nan nan nan 
K01366.02 0.037 251 0.50 nan nan nan nan nan nan nan nan nan 
K01367.01 0.018 29 0.50 nan nan nan nan nan nan nan nan nan 
K01368.01 0.451 564 0.50 nan nan nan nan nan nan nan nan nan 
K01369.01 0.015 35 0.50 nan nan nan nan nan nan nan nan nan 
K01370.01 0.020 83 0.93 nan nan nan nan nan nan nan nan nan 
K01371.01 0.333 35 0.50 nan nan nan nan nan nan nan nan nan 
K01373.01 0.013 26 1.68 nan nan nan nan nan nan nan nan nan 
K01374.01 0.014 51 0.50 nan nan nan nan nan nan nan nan nan 
K01375.01 0.051 177 0.50 nan nan nan nan nan nan nan nan nan 
K01376.01 0.190 50 0.50 nan nan nan nan nan nan nan nan nan 
K01377.01 0.014 52 1.11 nan nan nan nan nan nan nan nan nan 
K01378.01 0.014 27 7.20 nan nan nan nan nan nan nan nan nan 
K01378.02 0.006 9 0.50 nan nan nan nan nan nan nan nan nan 
K01379.01 0.012 29 0.54 nan nan nan nan nan nan nan nan nan 
K01380.01 0.007 7 0.50 nan nan nan nan nan nan nan nan nan 
K01381.01 0.256 1824 0.50 nan nan nan nan nan nan nan nan nan 
K01382.01 0.209 1402 0.50 nan nan nan nan nan nan nan nan nan 
K01383.01 0.224 1159 0.50 nan nan nan nan nan nan nan nan nan 
K01384.01 0.436 10951 0.50 nan nan nan nan nan nan nan nan nan 
K01385.01 0.616 247 0.50 nan nan nan nan nan nan nan nan nan 
K01386.01 0.420 357 0.50 nan nan nan nan nan nan nan nan nan 
K01387.01 0.765 165 0.50 nan nan nan nan nan nan nan nan nan 
K01388.01 0.164 1231 0.50 nan nan nan nan nan nan nan nan nan 
K01389.01 0.215 1040 0.50 nan nan nan nan nan nan nan nan nan 
K01390.01 0.100 1150 0.50 nan nan nan nan nan nan nan nan nan 
K01391.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01392.01 0.052 225 0.50 nan nan nan nan nan nan nan nan nan 
K01393.01 0.041 146 3.00 nan nan nan nan nan nan nan nan nan 
K01394.01 0.036 2353 0.50 nan nan nan nan nan nan nan nan nan 
K01395.01 0.043 283 0.50 nan nan nan nan nan nan nan nan nan 
K01396.01 0.027 126 0.50 nan nan nan nan nan nan nan nan nan 
K01396.02 0.017 113 1.08 nan nan nan nan nan nan nan nan nan 
K01397.01 0.039 181 1.56 nan nan nan nan nan nan nan nan nan 
K01398.01 0.029 136 0.81 nan nan nan nan nan nan nan nan nan 
K01399.01 0.031 174 1.02 nan nan nan nan nan nan nan nan nan 
K01400.01 0.551 348 0.50 nan nan nan nan nan nan nan nan nan 
K01402.01 0.021 116 0.69 nan nan nan nan nan nan nan nan nan 
K01403.01 0.030 182 0.50 nan nan nan nan nan nan nan nan nan 
K01404.01 0.028 175 0.66 nan nan nan nan nan nan nan nan nan 
K01404.02 0.019 216 2.43 nan nan nan nan nan nan nan nan nan 
K01405.01 0.023 108 0.69 nan nan nan nan nan nan nan nan nan 
K01406.01 0.024 68 0.50 nan nan nan nan nan nan nan nan nan 
K01408.01 0.022 81 0.50 nan nan nan nan nan nan nan nan nan 
K01409.01 0.029 155 0.50 nan nan nan nan nan nan nan nan nan 
K01410.01 0.026 90 0.50 nan nan nan nan nan nan nan nan nan 
K01411.01 0.062 184 0.50 nan nan nan nan nan nan nan nan nan 
K01412.01 0.018 43 0.75 nan nan nan nan nan nan nan nan nan 
K01413.01 0.015 38 0.66 nan nan nan nan nan nan nan nan nan 
K01413.02 0.012 62 0.90 nan nan nan nan nan nan nan nan nan 
K01413.03 0.015 87 0.93 nan nan nan nan nan nan nan nan nan 
K01414.01 0.005 8 0.75 nan nan nan nan nan nan nan nan nan 
K01416.01 0.148 385 0.50 nan nan nan nan nan nan nan nan nan 
K01417.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01418.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01419.01 0.467 1515 0.50 nan nan nan nan nan nan nan nan nan 
K01420.01 0.054 192 0.84 nan nan nan nan nan nan nan nan nan 
K01422.01 0.038 188 0.50 nan nan nan nan nan nan nan nan nan 
K01422.02 0.041 308 0.51 nan nan nan nan nan nan nan nan nan 
K01422.03 0.876 270 1.26 nan nan nan nan nan nan nan nan nan 
K01422.04 0.030 494 2.22 nan nan nan nan nan nan nan nan nan 
K01422.05 0.027 545 2.01 nan nan nan nan nan nan nan nan nan 
K01423.01 0.059 668 0.50 nan nan nan nan nan nan nan nan nan 
K01424.01 0.020 46 0.50 nan nan nan nan nan nan nan nan nan 
K01425.01 0.023 62 0.60 nan nan nan nan nan nan nan nan nan 
K01426.01 0.029 87 0.50 nan nan nan nan nan nan nan nan nan 
K01426.02 0.066 243 0.50 nan nan nan nan nan nan nan nan nan 
K01426.03 0.119 352 0.50 nan nan nan nan nan nan nan nan nan 
K01427.01 0.027 95 0.78 nan nan nan nan nan nan nan nan nan 
K01427.02 0.014 146 3.30 nan nan nan nan nan nan nan nan nan 
K01428.01 0.025 49 0.50 nan nan nan nan nan nan nan nan nan 
K01429.01 0.049 331 0.75 nan nan nan nan nan nan nan nan nan 
K01430.01 0.031 153 0.63 nan nan nan nan nan nan nan nan nan 
K01430.02 0.032 250 1.14 nan nan nan nan nan nan nan nan nan 
K01430.03 0.041 405 0.54 nan nan nan nan nan nan nan nan nan 
K01431.01 0.076 180 0.50 nan nan nan nan nan nan nan nan nan 
K01432.01 0.020 66 0.63 nan nan nan nan nan nan nan nan nan 
K01432.02 0.017 100 2.01 nan nan nan nan nan nan nan nan nan 
K01432.03 0.012 51 1.35 nan nan nan nan nan nan nan nan nan 
K01432.04 0.017 143 1.32 nan nan nan nan nan nan nan nan nan 
K01433.01 0.025 170 2.07 nan nan nan nan nan nan nan nan nan 
K01434.01 0.014 48 0.75 nan nan nan nan nan nan nan nan nan 
K01435.01 0.022 62 0.63 nan nan nan nan nan nan nan nan nan 
K01435.02 0.020 56 0.84 nan nan nan nan nan nan nan nan nan 
K01436.01 0.014 41 2.31 nan nan nan nan nan nan nan nan nan 
K01436.02 0.020 100 3.90 nan nan nan nan nan nan nan nan nan 
K01436.03 0.014 65 1.71 nan nan nan nan nan nan nan nan nan 
K01437.01 0.015 97 1.35 nan nan nan nan nan nan nan nan nan 
K01438.01 0.013 28 0.54 nan nan nan nan nan nan nan nan nan 
K01439.01 0.040 193 0.50 nan nan nan nan nan nan nan nan nan 
K01440.01 0.015 70 0.69 nan nan nan nan nan nan nan nan nan 
K01441.01 0.018 85 0.84 nan nan nan nan nan nan nan nan nan 
K01442.01 0.010 37 0.51 nan nan nan nan nan nan nan nan nan 
K01443.01 0.872 213 0.50 nan nan nan nan nan nan nan nan nan 
K01444.01 0.020 99 0.78 nan nan nan nan nan nan nan nan nan 
K01445.01 0.010 20 0.81 nan nan nan nan nan nan nan nan nan 
K01446.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K01447.01 0.529 882 4.80 nan nan nan nan nan nan nan nan nan 
K01447.02 0.102 1598 4.20 nan nan nan nan nan nan nan nan nan 
K01448.01 0.194 1047 0.50 nan nan nan nan nan nan nan nan nan 
K01449.01 0.227 721 0.50 nan nan nan nan nan nan nan nan nan 
