koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K00107.01 0.019 21 0.50 nan nan nan nan nan nan nan nan nan 
K00108.01 0.020 22 0.50 nan nan nan nan nan nan nan nan nan 
K00108.02 0.035 66 0.81 nan nan nan nan nan nan nan nan nan 
K00109.01 0.411 93 0.50 nan nan nan nan nan nan nan nan nan 
K00110.01 0.021 19 0.50 nan nan nan nan nan nan nan nan nan 
K00111.01 0.021 22 0.50 nan nan nan nan nan nan nan nan nan 
K00111.02 0.021 21 0.50 nan nan nan nan nan nan nan nan nan 
K00111.03 0.023 41 0.50 nan nan nan nan nan nan nan nan nan 
K00112.01 0.025 34 0.50 nan nan nan nan nan nan nan nan nan 
K00112.02 0.011 16 0.51 nan nan nan nan nan nan nan nan nan 
K00114.01 0.165 45 0.50 nan nan nan nan nan nan nan nan nan 
K00115.01 0.023 20 0.50 nan nan nan nan nan nan nan nan nan 
K00115.02 0.013 22 0.63 nan nan nan nan nan nan nan nan nan 
K00116.01 0.021 42 0.50 nan nan nan nan nan nan nan nan nan 
K00116.02 0.023 45 0.60 nan nan nan nan nan nan nan nan nan 
K00116.03 0.008 19 2.49 nan nan nan nan nan nan nan nan nan 
K00116.04 0.009 41 1.74 nan nan nan nan nan nan nan nan nan 
K00117.01 0.020 27 0.60 nan nan nan nan nan nan nan nan nan 
K00117.02 0.012 13 1.65 nan nan nan nan nan nan nan nan nan 
K00117.03 0.010 15 0.57 nan nan nan nan nan nan nan nan nan 
K00117.04 0.007 17 3.30 nan nan nan nan nan nan nan nan nan 
K00118.01 0.015 23 0.78 nan nan nan nan nan nan nan nan nan 
K00119.01 0.037 34 1.56 nan nan nan nan nan nan nan nan nan 
K00119.02 0.034 67 1.17 nan nan nan nan nan nan nan nan nan 
K00120.01 0.231 418 3.00 nan nan nan nan nan nan nan nan nan 
K00121.01 0.731 55 0.50 nan nan nan nan nan nan nan nan nan 
K00122.01 0.020 18 0.50 nan nan nan nan nan nan nan nan nan 
K00123.01 0.016 14 0.50 nan nan nan nan nan nan nan nan nan 
K00123.02 0.017 21 0.54 nan nan nan nan nan nan nan nan nan 
K00124.01 0.015 57 0.54 nan nan nan nan nan nan nan nan nan 
K00124.02 0.018 37 0.60 nan nan nan nan nan nan nan nan nan 
K00125.01 0.140 183 0.50 nan nan nan nan nan nan nan nan nan 
K00126.01 0.107 113 0.50 nan nan nan nan nan nan nan nan nan 
K00126.02 0.007 14 3.00 nan nan nan nan nan nan nan nan nan 
K00127.01 0.098 31 0.50 nan nan nan nan nan nan nan nan nan 
K00128.01 0.101 32 0.50 nan nan nan nan nan nan nan nan nan 
K00129.01 0.080 131 0.50 nan nan nan nan nan nan nan nan nan 
K00130.01 0.114 58 0.50 nan nan nan nan nan nan nan nan nan 
K00131.01 0.076 44 0.50 nan nan nan nan nan nan nan nan nan 
K00132.01 0.102 163 0.50 nan nan nan nan nan nan nan nan nan 
K00133.01 0.071 166 0.84 nan nan nan nan nan nan nan nan nan 
K00135.01 0.082 23 0.50 nan nan nan nan nan nan nan nan nan 
K00136.01 0.097 99 0.50 nan nan nan nan nan nan nan nan nan 
K00137.01 0.043 28 0.50 nan nan nan nan nan nan nan nan nan 
K00137.02 0.052 47 0.50 nan nan nan nan nan nan nan nan nan 
K00137.03 0.018 25 0.51 nan nan nan nan nan nan nan nan nan 
K00138.01 0.133 93 0.50 nan nan nan nan nan nan nan nan nan 
K00139.01 0.060 165 0.50 nan nan nan nan nan nan nan nan nan 
K00139.02 0.014 16 0.72 nan nan nan nan nan nan nan nan nan 
K00140.01 0.040 164 0.50 nan nan nan nan nan nan nan nan nan 
K00141.01 0.054 33 0.50 nan nan nan nan nan nan nan nan nan 
K00143.01 0.053 398 0.50 nan nan nan nan nan nan nan nan nan 
K00144.01 0.038 23 0.50 nan nan nan nan nan nan nan nan nan 
K00145.01 0.051 268 0.60 nan nan nan nan nan nan nan nan nan 
K00146.01 0.432 125 2.34 nan nan nan nan nan nan nan nan nan 
K00147.01 0.565 586 0.50 nan nan nan nan nan nan nan nan nan 
K00148.01 0.020 27 0.50 nan nan nan nan nan nan nan nan nan 
K00148.02 0.028 37 0.50 nan nan nan nan nan nan nan nan nan 
K00148.03 0.022 54 0.50 nan nan nan nan nan nan nan nan nan 
K00149.01 0.028 31 0.50 nan nan nan nan nan nan nan nan nan 
K00150.01 0.026 32 0.50 nan nan nan nan nan nan nan nan nan 
K00150.02 0.027 50 0.50 nan nan nan nan nan nan nan nan nan 
K00151.01 0.045 114 0.50 nan nan nan nan nan nan nan nan nan 
K00152.01 0.050 129 0.50 nan nan nan nan nan nan nan nan nan 
K00152.02 0.026 98 0.50 nan nan nan nan nan nan nan nan nan 
K00152.03 0.024 67 0.50 nan nan nan nan nan nan nan nan nan 
K00152.04 0.020 178 1.53 nan nan nan nan nan nan nan nan nan 
K00153.01 0.033 40 0.50 nan nan nan nan nan nan nan nan nan 
K00153.02 0.025 30 0.50 nan nan nan nan nan nan nan nan nan 
K00155.01 0.026 26 0.50 nan nan nan nan nan nan nan nan nan 
K00156.01 0.022 61 0.50 nan nan nan nan nan nan nan nan nan 
K00156.02 0.017 41 0.50 nan nan nan nan nan nan nan nan nan 
K00156.03 0.035 63 0.50 nan nan nan nan nan nan nan nan nan 
K00157.01 0.026 42 0.50 nan nan nan nan nan nan nan nan nan 
K00157.02 0.029 52 0.50 nan nan nan nan nan nan nan nan nan 
K00157.03 0.034 115 0.50 nan nan nan nan nan nan nan nan nan 
K00157.04 0.024 70 0.50 nan nan nan nan nan nan nan nan nan 
K00157.05 0.030 132 0.50 nan nan nan nan nan nan nan nan nan 
K00157.06 0.016 34 0.50 nan nan nan nan nan nan nan nan nan 
K00158.01 0.030 38 0.50 nan nan nan nan nan nan nan nan nan 
K00159.01 0.020 29 0.50 nan nan nan nan nan nan nan nan nan 
K00159.02 0.008 22 0.99 nan nan nan nan nan nan nan nan nan 
K00160.01 0.031 69 0.50 nan nan nan nan nan nan nan nan nan 
K00161.01 0.029 28 0.50 nan nan nan nan nan nan nan nan nan 
K00162.01 0.026 33 0.50 nan nan nan nan nan nan nan nan nan 
K00163.01 0.024 35 0.50 nan nan nan nan nan nan nan nan nan 
K00164.01 0.016 31 0.50 nan nan nan nan nan nan nan nan nan 
K00165.01 0.031 50 0.50 nan nan nan nan nan nan nan nan nan 
K00166.01 0.024 55 0.50 nan nan nan nan nan nan nan nan nan 
K00167.01 0.019 40 0.50 nan nan nan nan nan nan nan nan nan 
K00168.01 0.019 25 0.50 nan nan nan nan nan nan nan nan nan 
K00168.02 0.014 29 0.69 nan nan nan nan nan nan nan nan nan 
K00168.03 0.011 23 1.08 nan nan nan nan nan nan nan nan nan 
K00169.01 0.026 73 0.51 nan nan nan nan nan nan nan nan nan 
K00170.01 0.022 118 1.05 nan nan nan nan nan nan nan nan nan 
K00171.01 0.022 27 0.50 nan nan nan nan nan nan nan nan nan 
K00171.02 0.014 48 0.60 nan nan nan nan nan nan nan nan nan 
K00172.01 0.022 34 0.50 nan nan nan nan nan nan nan nan nan 
K00172.02 0.017 107 1.98 nan nan nan nan nan nan nan nan nan 
K00173.01 0.021 41 0.50 nan nan nan nan nan nan nan nan nan 
K00174.01 0.030 118 0.78 nan nan nan nan nan nan nan nan nan 
K00175.01 0.025 33 0.54 nan nan nan nan nan nan nan nan nan 
K00176.01 0.020 39 0.60 nan nan nan nan nan nan nan nan nan 
K00177.01 0.017 32 0.63 nan nan nan nan nan nan nan nan nan 
K00178.01 0.012 48 0.50 nan nan nan nan nan nan nan nan nan 
K00179.01 0.030 45 0.50 nan nan nan nan nan nan nan nan nan 
K00180.01 0.024 34 0.50 nan nan nan nan nan nan nan nan nan 
K00181.01 0.156 790 0.50 nan nan nan nan nan nan nan nan nan 
K00182.01 0.136 391 0.50 nan nan nan nan nan nan nan nan nan 
K00183.01 0.125 43 0.50 nan nan nan nan nan nan nan nan nan 
K00184.01 0.109 317 0.50 nan nan nan nan nan nan nan nan nan 
K00185.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00186.01 0.121 46 0.50 nan nan nan nan nan nan nan nan nan 
K00187.01 0.146 336 0.50 nan nan nan nan nan nan nan nan nan 
K00188.01 0.112 44 0.50 nan nan nan nan nan nan nan nan nan 
K00189.01 0.135 118 0.50 nan nan nan nan nan nan nan nan nan 
K00190.01 0.112 151 0.50 nan nan nan nan nan nan nan nan nan 
K00191.01 0.119 115 0.50 nan nan nan nan nan nan nan nan nan 
K00191.02 0.029 49 2.13 nan nan nan nan nan nan nan nan nan 
K00191.03 0.013 36 2.67 nan nan nan nan nan nan nan nan nan 
K00191.04 0.028 179 0.84 nan nan nan nan nan nan nan nan nan 
K00192.01 0.092 43 0.50 nan nan nan nan nan nan nan nan nan 
K00193.01 0.135 283 0.50 nan nan nan nan nan nan nan nan nan 
K00194.01 0.133 325 0.50 nan nan nan nan nan nan nan nan nan 
K00195.01 0.118 63 0.50 nan nan nan nan nan nan nan nan nan 
K00196.01 0.099 90 0.50 nan nan nan nan nan nan nan nan nan 
K00197.01 0.093 81 0.50 nan nan nan nan nan nan nan nan nan 
K00198.01 0.160 251 0.50 nan nan nan nan nan nan nan nan nan 
K00199.01 0.095 46 0.50 nan nan nan nan nan nan nan nan nan 
K00199.02 0.014 82 0.50 nan nan nan nan nan nan nan nan nan 
K00200.01 0.088 50 0.50 nan nan nan nan nan nan nan nan nan 
K00201.01 0.079 28 0.50 nan nan nan nan nan nan nan nan nan 
K00202.01 0.102 73 0.50 nan nan nan nan nan nan nan nan nan 
K00203.01 0.133 90 0.50 nan nan nan nan nan nan nan nan nan 
K00204.01 0.080 51 0.50 nan nan nan nan nan nan nan nan nan 
K00205.01 0.097 67 0.50 nan nan nan nan nan nan nan nan nan 
K00206.01 0.065 42 0.50 nan nan nan nan nan nan nan nan nan 
K00208.01 0.090 129 0.50 nan nan nan nan nan nan nan nan nan 
K00209.01 0.071 95 0.50 nan nan nan nan nan nan nan nan nan 
K00209.02 0.047 55 0.50 nan nan nan nan nan nan nan nan nan 
K00210.01 0.149 168 0.50 nan nan nan nan nan nan nan nan nan 
K00211.01 0.084 269 0.50 nan nan nan nan nan nan nan nan nan 
K00212.01 0.067 67 0.50 nan nan nan nan nan nan nan nan nan 
K00213.01 0.478 8159 0.50 nan nan nan nan nan nan nan nan nan 
K00214.01 0.088 79 0.50 nan nan nan nan nan nan nan nan nan 
K00215.01 0.553 225 0.50 nan nan nan nan nan nan nan nan nan 
K00216.01 0.067 136 0.50 nan nan nan nan nan nan nan nan nan 
K00216.02 0.016 100 0.72 nan nan nan nan nan nan nan nan nan 
K00217.01 0.136 55 0.50 nan nan nan nan nan nan nan nan nan 
K00218.01 0.218 1560 0.50 nan nan nan nan nan nan nan nan nan 
K00219.01 0.052 56 0.50 nan nan nan nan nan nan nan nan nan 
K00220.01 0.040 26 0.50 nan nan nan nan nan nan nan nan nan 
K00220.02 0.010 28 1.14 nan nan nan nan nan nan nan nan nan 
K00221.01 0.058 48 0.50 nan nan nan nan nan nan nan nan nan 
K00221.02 0.010 50 2.58 nan nan nan nan nan nan nan nan nan 
K00222.01 0.033 73 0.50 nan nan nan nan nan nan nan nan nan 
K00222.02 0.026 84 0.50 nan nan nan nan nan nan nan nan nan 
K00223.01 0.031 56 0.50 nan nan nan nan nan nan nan nan nan 
K00223.02 0.034 148 1.23 nan nan nan nan nan nan nan nan nan 
K00224.01 0.467 208 0.50 nan nan nan nan nan nan nan nan nan 
K00225.01 0.313 95 0.50 nan nan nan nan nan nan nan nan nan 
K00226.01 0.026 55 0.50 nan nan nan nan nan nan nan nan nan 
K00227.01 0.048 550 1.86 nan nan nan nan nan nan nan nan nan 
K00229.01 0.050 39 0.50 nan nan nan nan nan nan nan nan nan 
K00230.01 0.402 636 0.50 nan nan nan nan nan nan nan nan nan 
K00231.01 0.705 5250 0.50 nan nan nan nan nan nan nan nan nan 
K00232.01 0.045 48 0.50 nan nan nan nan nan nan nan nan nan 
K00232.02 0.018 25 0.50 nan nan nan nan nan nan nan nan nan 
K00232.03 0.015 66 0.72 nan nan nan nan nan nan nan nan nan 
K00232.04 0.019 75 0.99 nan nan nan nan nan nan nan nan nan 
K00232.05 0.017 78 1.17 nan nan nan nan nan nan nan nan nan 
K00233.01 0.077 112 0.50 nan nan nan nan nan nan nan nan nan 
K00234.01 0.029 40 0.50 nan nan nan nan nan nan nan nan nan 
K00235.01 0.024 45 0.50 nan nan nan nan nan nan nan nan nan 
K00236.01 0.130 110 4.00 nan nan nan nan nan nan nan nan nan 
K00237.01 0.023 38 0.50 nan nan nan nan nan nan nan nan nan 
K00238.01 0.021 43 0.50 nan nan nan nan nan nan nan nan nan 
K00238.02 0.011 61 2.04 nan nan nan nan nan nan nan nan nan 
K00239.01 0.038 49 0.50 nan nan nan nan nan nan nan nan nan 
K00239.02 0.013 49 1.11 nan nan nan nan nan nan nan nan nan 
K00240.01 0.036 118 0.50 nan nan nan nan nan nan nan nan nan 
K00241.01 0.031 63 0.50 nan nan nan nan nan nan nan nan nan 
K00241.02 0.018 87 0.51 nan nan nan nan nan nan nan nan nan 
K00241.03 0.011 33 0.72 nan nan nan nan nan nan nan nan nan 
K00242.01 0.057 89 0.50 nan nan nan nan nan nan nan nan nan 
K00243.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00244.01 0.032 17 2.13 nan nan nan nan nan nan nan nan nan 
K00244.02 0.018 9 1.98 nan nan nan nan nan nan nan nan nan 
K00245.01 0.022 19 2.94 nan nan nan nan nan nan nan nan nan 
K00245.02 0.008 15 3.60 nan nan nan nan nan nan nan nan nan 
K00246.01 0.017 8 2.16 nan nan nan nan nan nan nan nan nan 
K00246.02 0.007 13 2.28 nan nan nan nan nan nan nan nan nan 
K00247.01 0.037 146 3.60 nan nan nan nan nan nan nan nan nan 
K00248.01 0.040 109 0.50 nan nan nan nan nan nan nan nan nan 
K00248.02 0.047 152 0.84 nan nan nan nan nan nan nan nan nan 
K00248.03 0.028 74 0.50 nan nan nan nan nan nan nan nan nan 
K00248.04 0.023 177 1.20 nan nan nan nan nan nan nan nan nan 
K00249.01 0.045 96 0.50 nan nan nan nan nan nan nan nan nan 
K00250.01 0.050 138 0.50 nan nan nan nan nan nan nan nan nan 
K00250.02 0.049 191 0.50 nan nan nan nan nan nan nan nan nan 
K00250.03 0.021 81 0.54 nan nan nan nan nan nan nan nan nan 
K00250.04 0.036 346 0.50 nan nan nan nan nan nan nan nan nan 
K00251.01 0.048 97 0.50 nan nan nan nan nan nan nan nan nan 
K00251.02 0.015 118 2.58 nan nan nan nan nan nan nan nan nan 
K00252.01 0.049 224 0.50 nan nan nan nan nan nan nan nan nan 
K00253.01 0.042 192 0.96 nan nan nan nan nan nan nan nan nan 
K00253.02 0.023 289 1.41 nan nan nan nan nan nan nan nan nan 
K00254.01 0.183 121 0.50 nan nan nan nan nan nan nan nan nan 
K00255.01 0.045 166 0.50 nan nan nan nan nan nan nan nan nan 
K00255.02 0.012 140 4.20 nan nan nan nan nan nan nan nan nan 
K00256.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00257.01 0.021 13 2.19 nan nan nan nan nan nan nan nan nan 
K00258.01 0.245 183 1.11 nan nan nan nan nan nan nan nan nan 
K00259.01 0.146 423 3.60 nan nan nan nan nan nan nan nan nan 
K00260.01 0.010 14 1.83 nan nan nan nan nan nan nan nan nan 
K00260.02 0.017 70 1.62 nan nan nan nan nan nan nan nan nan 
K00260.03 0.011 20 2.13 nan nan nan nan nan nan nan nan nan 
K00261.01 0.023 28 0.93 nan nan nan nan nan nan nan nan nan 
K00262.01 0.009 12 2.25 nan nan nan nan nan nan nan nan nan 
K00262.02 0.011 26 1.77 nan nan nan nan nan nan nan nan nan 
K00263.01 0.013 45 2.01 nan nan nan nan nan nan nan nan nan 
K00264.01 0.011 28 0.50 nan nan nan nan nan nan nan nan nan 
K00265.01 0.009 11 0.66 nan nan nan nan nan nan nan nan nan 
K00266.01 0.012 20 0.84 nan nan nan nan nan nan nan nan nan 
K00266.02 0.009 40 2.70 nan nan nan nan nan nan nan nan nan 
K00268.01 0.020 84 1.59 nan nan nan nan nan nan nan nan nan 
K00269.01 0.011 13 1.89 nan nan nan nan nan nan nan nan nan 
K00270.01 0.010 14 1.17 nan nan nan nan nan nan nan nan nan 
K00270.02 0.012 24 1.41 nan nan nan nan nan nan nan nan nan 
K00271.01 0.017 39 0.96 nan nan nan nan nan nan nan nan nan 
K00271.02 0.016 27 1.17 nan nan nan nan nan nan nan nan nan 
K00271.03 0.010 17 1.20 nan nan nan nan nan nan nan nan nan 
K00272.01 0.027 47 0.50 nan nan nan nan nan nan nan nan nan 
K00273.01 0.016 19 0.54 nan nan nan nan nan nan nan nan nan 
K00274.01 0.008 16 1.32 nan nan nan nan nan nan nan nan nan 
K00274.02 0.008 20 2.70 nan nan nan nan nan nan nan nan nan 
K00275.01 0.013 24 0.66 nan nan nan nan nan nan nan nan nan 
K00275.02 0.013 46 1.11 nan nan nan nan nan nan nan nan nan 
K00276.01 0.019 26 0.50 nan nan nan nan nan nan nan nan nan 
K00277.01 0.022 18 0.50 nan nan nan nan nan nan nan nan nan 
K00277.02 0.008 13 1.62 nan nan nan nan nan nan nan nan nan 
K00279.01 0.035 68 0.50 nan nan nan nan nan nan nan nan nan 
K00279.02 0.015 35 0.78 nan nan nan nan nan nan nan nan nan 
K00280.01 0.017 15 1.23 nan nan nan nan nan nan nan nan nan 
K00281.01 0.016 15 0.72 nan nan nan nan nan nan nan nan nan 
K00282.01 0.023 21 0.50 nan nan nan nan nan nan nan nan nan 
