,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00552.01,PROB,KIC 5122112,1.0,,1.912e-06,297.3983,76268.0,,q1_q17_dr24_tce,1.0,0.69,,134.4374,,3.06,KIC,1.0,2.426e-05,,40.2292,8921.0,,14.74,,,,,,,
K00553.01,PROB,KIC 5303557,0.93,,0.06614,298.577,34372.0,KIC 5303551,q1_q17_dr24_tce,1.0,0.66,,133.0642,40.4917,2.4,KIC,0.0,2.858e-05,,40.4904,338.0,298.5764,16.49,14.89,0.0,KIC,2509.0,,,
K00554.01,PROB,KIC 5443837,1.0,,2.882e-06,290.3511,30874.0,,q1_q17_dr24_tce,1.0,0.83,,133.9588,,3.66,KIC,1.0,1.061e-05,,40.687,4295.0,,14.54,,,,,,,
K00555.01,PROB,KIC 5709725,1.0,,1.765e-05,293.1234,2030.0,UKIRT 44117915798184,q1_q17_dr24_tce,1.0,0.79,,131.729,40.9359,3.7,KIC,1.0,1.46e-05,,40.9348,275.0,293.124,14.76,18.55,5.7e-23,UKIRT,94106.0,,,
K00555.02,PROB,KIC 5709725,1.0,,1.358e-05,293.1234,4151.0,UKIRT 44117915798184,q1_q17_dr24_tce,1.0,0.79,,181.8841,40.9359,86.49,KIC,1.0,1.46e-05,,40.9348,948.0,293.124,14.76,18.55,5e-24,UKIRT,192985.0,,,
K00556.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.64,,137.6625,,9.5,,0.0,3.006e-05,,,475.0,,,,,,,,,
K00557.01,PROB,KIC 5774349,1.0,,5.382e-06,285.9115,6887.0,,q1_q17_dr24_tce,1.0,0.89,,139.4714,,15.66,KIC,1.0,8.226e-06,,41.0694,940.0,,14.97,,,,,,,
K00558.01,PROB,KIC 5978361,1.0,,3.843e-05,296.6627,7830.0,UKIRT 44117915039736,q1_q17_dr24_tce,1.0,0.72,,136.3752,41.2613,9.18,KIC,1.0,2.152e-05,,41.2612,928.0,296.6616,14.87,16.67,1.1e-10,UKIRT,83073.0,,,
K00559.01,MATCH,,,,0.0004575,,,,q1_q17_dr24_tce,1.0,0.92,,134.6898,,4.33,,0.0,6.502e-06,,,189.0,,,,,,,,,
K00560.01,PROB,KIC 6501635,1.0,,1.842e-06,283.8331,5694.0,,q1_q17_dr24_tce,1.0,0.91,,131.925,,23.68,KIC,1.0,6.478e-06,,41.9787,959.0,,14.72,,,,,,,
K00561.01,PROB,KIC 6665695,1.0,,5.188e-06,282.0046,3819.0,,q1_q17_dr24_tce,1.0,0.93,,131.9636,,5.38,KIC,1.0,4.77e-06,,42.1765,484.0,,14.01,,,,,,,
K00563.01,PROB,KIC 6707833,1.0,,3.023e-05,296.032,1722.0,,q1_q17_dr24_tce,1.0,0.75,,145.0536,,15.28,KIC,1.0,1.669e-05,,42.142,310.0,,14.52,,,,,,,
K00564.01,PROB,KIC 6786037,1.0,,0.0002159,294.281,1758.0,,q1_q17_dr24_tce,0.67,0.79,,150.8102,,21.06,KIC,1.0,1.54e-05,,42.291,470.0,,14.85,,,,,,,
K00564.02,PROB,KIC 6786037,1.0,,3.016e-06,294.281,5276.0,,q1_q17_dr24_tce,1.0,0.79,,246.4613,,127.9,KIC,1.0,1.54e-05,,42.291,4041.0,,14.85,,,,,,,
K00564.03,PROB,KIC 6786037,1.0,,5.415e-05,294.281,1186.0,,q1_q17_dr24_tce,0.95,0.79,,131.7242,,6.22,KIC,1.0,1.54e-05,,42.291,175.0,,14.85,,,,,,,
K00565.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.86,,132.7461,,2.34,,0.0,8.214e-06,,,164.0,,,,,,,,,
K00566.01,PROB,KIC 7119481,1.0,,1.88e-05,292.316,4921.0,UKIRT 44117913766715,q1_q17_dr24_tce,1.0,0.82,,140.8634,42.6254,25.86,KIC,1.0,1.193e-05,,42.6262,611.0,292.317,14.72,19.11,2.8e-15,UKIRT,464843.0,,,
K00566.02,PROB,KIC 7119481,0.59,,0.0001725,292.316,906.0,UKIRT 44117913766715,q1_q17_dr24_tce,0.41,0.82,,135.6057,42.6254,14.16,KIC,0.59,1.193e-05,,42.6262,121.0,292.317,14.72,19.11,0.41,UKIRT,95765.0,,,
K00567.01,PROB,KIC 7445445,1.0,,8.381e-06,291.9519,6318.0,KIC 7445431,q1_q17_dr24_tce,1.0,0.83,,137.8684,43.0752,10.69,KIC,1.0,1.003e-05,,43.0747,761.0,291.9493,14.34,16.85,0.0,KIC,972577.0,,,
K00567.02,PROB,KIC 7445445,1.0,,1.175e-05,291.9519,3593.0,KIC 7445431,q1_q17_dr24_tce,1.0,0.83,,136.1949,43.0752,20.3,KIC,1.0,1.003e-05,,43.0747,537.0,291.9493,14.34,16.85,0.0,KIC,578193.0,,,
K00567.03,PROB,KIC 7445445,1.0,,1.53e-05,291.9519,4113.0,KIC 7445431,q1_q17_dr24_tce,1.0,0.83,,140.3265,43.0752,29.02,KIC,1.0,1.003e-05,,43.0747,632.0,291.9493,14.34,16.85,0.0,KIC,679870.0,,,
K00568.01,PROB,KIC 7595157,1.0,,5.143e-06,287.2954,2149.0,UKIRT 44117912766923,q1_q17_dr24_tce,1.0,0.89,,132.4214,43.2792,3.38,KIC,1.0,6.512e-06,,43.2799,270.0,287.2962,14.14,18.85,3.6e-17,UKIRT,187353.0,,,
K00568.02,PROB,KIC 7595157,1.0,,3.879e-05,287.2954,748.0,KIC 7595160,q1_q17_dr24_tce,0.95,0.89,,132.6883,43.281,2.36,KIC,1.0,6.512e-06,,43.2799,101.0,287.2956,14.14,17.52,0.00069,KIC,27543.0,,,
K00569.01,PROB,KIC 8008206,1.0,,1.695e-05,282.4681,4459.0,,q1_q17_dr24_tce,1.0,0.93,,143.9751,,20.73,KIC,1.0,5.336e-06,,43.8899,577.0,,14.46,,,,,,,
K00569.02,PROB,KIC 8008206,1.0,,7.714e-06,282.4681,1381.0,,q1_q17_dr24_tce,1.0,0.93,,132.9175,,1.63,KIC,1.0,5.336e-06,,43.8899,206.0,,14.46,,,,,,,
K00570.01,PROB,KIC 8106610,0.0,,2.296e-06,294.9085,5008.0,KIC 8106612,q1_q17_dr24_tce,1.0,0.8,,135.5821,43.9878,12.4,KIC,0.0,1.408e-05,,43.9866,736.0,294.9094,14.76,18.16,0.0,KIC,456154.0,,,
K00571.01,PROB,KIC 8120608,1.0,,1.883e-05,298.6527,4527.0,,q1_q17_dr24_tce,1.0,0.73,,137.9787,,7.27,KIC,1.0,1.957e-05,,43.955,675.0,,14.62,,,,,,,
K00571.02,PROB,KIC 8120608,1.0,,7.952e-06,298.6527,5870.0,,q1_q17_dr24_tce,1.0,0.73,,136.8731,,13.34,KIC,1.0,1.957e-05,,43.955,831.0,,14.62,,,,,,,
K00571.03,PROB,KIC 8120608,1.0,,1.637e-05,298.6527,3925.0,,q1_q17_dr24_tce,1.0,0.73,,133.3297,,3.89,KIC,1.0,1.957e-05,,43.955,473.0,,14.62,,,,,,,
K00571.04,PROB,KIC 8120608,1.0,,9.067e-05,298.6527,4303.0,,q1_q17_dr24_tce,1.0,0.73,,153.7994,,22.41,KIC,1.0,1.957e-05,,43.955,652.0,,14.62,,,,,,,
K00571.05,PROB,KIC 8120608,1.0,,9.022e-05,298.6527,1127.0,UKIRT 44117910922822,q1_q17_dr24_tce,1.0,0.73,,176.8561,43.9568,129.94,KIC,1.0,1.957e-05,,43.955,469.0,298.6532,14.62,20.06,1.9e-24,UKIRT,621281.0,,,
K00572.01,PROB,KIC 8193178,1.0,,1.621e-05,299.7964,2924.0,,q1_q17_dr24_tce,1.0,0.7,,137.2139,,10.64,KIC,1.0,1.903e-05,,44.0893,438.0,,14.17,,,,,,,
K00572.02,PROB,KIC 8193178,1.0,,0.0002276,299.7964,904.0,,q1_q17_dr24_tce,0.78,0.7,,135.9557,,4.94,KIC,1.0,1.903e-05,,44.0893,116.0,,14.17,,,,,,,
K00573.01,PROB,KIC 8344004,1.0,,3.499e-06,281.2797,5613.0,,q1_q17_dr24_tce,1.0,0.94,,136.5278,,6.0,KIC,1.0,5.376e-06,,44.3155,689.0,,14.67,,,,,,,
K00573.02,PROB,KIC 8344004,1.0,,1.336e-05,281.2797,1628.0,,q1_q17_dr24_tce,1.0,0.94,,133.2048,,2.06,KIC,1.0,5.376e-06,,44.3155,203.0,,14.67,,,,,,,
K00574.01,PROB,KIC 8355239,1.0,,7.489e-06,287.5647,8811.0,KIC 8355242,q1_q17_dr24_tce,1.0,0.89,,151.2318,44.3046,20.13,KIC,1.0,7.838e-06,,44.305,1161.0,287.5663,14.86,18.26,0.0,KIC,327785.0,,,
K00574.02,PROB,KIC 8355239,1.0,,1.952e-05,287.5647,2560.0,KIC 8355242,q1_q17_dr24_tce,0.99,0.89,,141.5097,44.3046,10.4,KIC,1.0,7.838e-06,,44.305,293.0,287.5663,14.86,18.26,1.6e-27,KIC,105248.0,,,
K00575.01,PROB,KIC 8367113,1.0,,9.246e-06,292.4274,4665.0,,q1_q17_dr24_tce,1.0,0.84,,134.777,,24.32,KIC,1.0,1.074e-05,,44.3813,646.0,,14.69,,,,,,,
K00576.01,MATCH,,,,,,,,q1_q17_dr24_tce,1.0,0.94,,,,,,0.0,,,,,,,,,,,,,
K00577.01,PROB,KIC 8558011,1.0,,1.137e-05,291.0572,5011.0,KIC 8558020,q1_q17_dr24_tce,1.0,0.86,,138.882,44.6323,39.68,KIC,1.0,8.702e-06,,44.6324,626.0,291.0593,14.4,17.91,3.4e-29,KIC,382484.0,,,
K00577.02,PROB,KIC 8558011,1.0,,2.743e-05,291.0572,558.0,KIC 8558020,q1_q17_dr24_tce,0.94,0.86,,131.7637,44.6323,0.64,KIC,1.0,8.702e-06,,44.6324,72.0,291.0593,14.4,17.91,0.0,KIC,39708.0,,,
K00578.01,PROB,KIC 8565266,1.0,,1.828e-06,293.8829,9501.0,,q1_q17_dr24_tce,1.0,0.82,,137.819,,6.41,KIC,1.0,1.199e-05,,44.6381,988.0,,14.68,,,,,,,
K00579.01,PROB,KIC 8616637,1.0,,4.115e-06,288.584,2462.0,,q1_q17_dr24_tce,1.0,0.89,,131.6907,,2.02,KIC,1.0,6.696e-06,,44.7338,317.0,,14.14,,,,,,,
K00579.02,PROB,KIC 8616637,1.0,,6.789e-06,288.584,2930.0,,q1_q17_dr24_tce,1.0,0.89,,132.5914,,3.76,KIC,1.0,6.696e-06,,44.7338,338.0,,14.14,,,,,,,
K00580.01,PROB,KIC 8625925,1.0,,2.54e-06,292.2203,5960.0,,q1_q17_dr24_tce,1.0,0.84,,136.5839,,6.52,KIC,1.0,1.092e-05,,44.7,767.0,,14.86,,,,,,,
K00581.01,PROB,KIC 8822216,1.0,,1.685e-06,293.1713,10187.0,,q1_q17_dr24_tce,1.0,0.84,,133.9331,,7.0,KIC,1.0,1.141e-05,,45.0656,1327.0,,14.81,,,,,,,
K00581.02,PROB,KIC 8822216,1.0,,1.124e-05,293.1713,1566.0,UKIRT 44117909936299,q1_q17_dr24_tce,1.0,0.84,,143.3106,45.0655,151.86,KIC,1.0,1.141e-05,,45.0656,794.0,293.1727,14.81,20.68,6.6e-06,UKIRT,457882.0,,,
K00582.01,PROB,KIC 9020160,1.0,,1.427e-05,291.1834,6947.0,KIC 9020161,q1_q17_dr24_tce,1.0,0.86,,134.802,45.3242,5.95,KIC,1.0,9.565e-06,,45.3232,810.0,291.1843,14.81,15.61,2.2e-12,KIC,24952.0,,,
K00582.02,PROB,KIC 9020160,1.0,,2.569e-05,291.1834,5045.0,KIC 9020161,q1_q17_dr24_tce,1.0,0.86,,148.9896,45.3242,17.74,KIC,1.0,9.565e-06,,45.3232,635.0,291.1843,14.81,15.61,4.1e-09,KIC,18034.0,,,
K00582.03,PROB,KIC 9020160,1.0,,6.196e-05,291.1834,2233.0,KIC 9020161,q1_q17_dr24_tce,0.99,0.86,,131.5846,45.3242,9.94,KIC,1.0,9.565e-06,,45.3232,304.0,291.1843,14.81,15.61,6.5e-06,KIC,8092.0,,,
K00583.01,PROB,KIC 9076513,1.0,,5.042e-06,286.005,1642.0,,q1_q17_dr24_tce,1.0,0.91,,131.7523,,2.44,KIC,1.0,6.291e-06,,45.4804,219.0,,14.57,,,,,,,
K00584.01,PROB,KIC 9146018,1.0,,4.154e-06,287.9179,4962.0,,q1_q17_dr24_tce,1.0,0.9,,135.9791,,9.93,KIC,1.0,6.178e-06,,45.5929,719.0,,14.13,,,,,,,
K00584.02,PROB,KIC 9146018,1.0,,5.111e-06,287.9179,4112.0,,q1_q17_dr24_tce,1.0,0.9,,149.1505,,21.22,KIC,1.0,6.178e-06,,45.5929,597.0,,14.13,,,,,,,
K00584.03,PROB,KIC 9146018,1.0,,3.769e-05,287.9179,921.0,,q1_q17_dr24_tce,1.0,0.9,,136.5043,,6.47,KIC,1.0,6.178e-06,,45.5929,112.0,,14.13,,,,,,,
K00585.01,PROB,KIC 9279669,1.0,,2.762e-06,291.3546,5553.0,,q1_q17_dr24_tce,1.0,0.86,,134.337,,3.72,KIC,1.0,9.79e-06,,45.7479,746.0,,14.91,,,,,,,
K00586.01,PROB,KIC 9570741,1.0,,9.583e-06,282.7868,3928.0,,q1_q17_dr24_tce,1.0,0.93,,144.4078,,15.78,KIC,1.0,5.381e-06,,46.245,540.0,,14.61,,,,,,,
K00587.01,PROB,KIC 9607164,1.0,,1.105e-05,298.3848,6064.0,,q1_q17_dr24_tce,1.0,0.77,,143.5347,,14.03,KIC,1.0,1.56e-05,,46.276,870.0,,14.57,,,,,,,
K00588.01,PROB,KIC 9631762,1.0,,2.929e-06,282.4506,4316.0,,q1_q17_dr24_tce,1.0,0.94,,134.2586,,10.36,KIC,1.0,4.901e-06,,46.3214,665.0,,14.34,,,,,,,
K00590.01,PROB,KIC 9782691,1.0,,1.598e-05,296.4986,2560.0,UKIRT 44117907558087,q1_q17_dr24_tce,1.0,0.8,,140.3878,46.5772,11.39,KIC,1.0,1.302e-05,,46.5772,431.0,296.4969,14.62,19.67,2.3e-20,UKIRT,549052.0,,,
K00590.02,PROB,KIC 9782691,1.0,,3.311e-05,296.4986,3036.0,UKIRT 44117907558087,q1_q17_dr24_tce,1.0,0.8,,141.3163,46.5772,50.7,KIC,1.0,1.302e-05,,46.5772,631.0,296.4969,14.62,19.67,1.4e-09,UKIRT,671652.0,,,
K00591.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.89,,131.889,,2.99,,0.0,7.184e-06,,,103.0,,,,,,,,,
K00592.01,PROB,KIC 9957627,1.0,,1.555e-05,294.4627,4025.0,UKIRT 44117907843022,q1_q17_dr24_tce,1.0,0.84,,135.7159,46.8209,39.75,KIC,1.0,9.801e-06,,46.8214,593.0,294.4632,14.29,17.59,1.4e-14,UKIRT,87498.0,,,
K00593.01,PROB,KIC 9958962,1.0,,6.666e-05,294.9891,4256.0,KIC 9958956,q1_q17_dr24_tce,0.81,0.83,,131.7991,46.8399,10.0,KIC,1.0,1.252e-05,,46.8383,634.0,294.9873,14.96,16.25,2.5e-05,KIC,325244.0,,,
K00593.02,PROB,KIC 9958962,1.0,,7.974e-05,294.9891,3890.0,KIC 9958963,q1_q17_dr24_tce,0.8,0.83,,208.5064,46.8395,90.41,KIC,1.0,1.252e-05,,46.8383,1178.0,294.9892,14.96,17.03,0.00011,KIC,59657.0,,,
K00593.03,PROB,KIC 9958962,0.98,,0.0001426,294.9891,4290.0,KIC 9958963,q1_q17_dr24_tce,0.78,0.83,,147.6128,46.8395,51.07,KIC,0.98,1.252e-05,,46.8383,659.0,294.9892,14.96,17.03,0.02,KIC,56778.0,,,
K00593.04,PROB,KIC 9958962,0.94,,0.0001103,294.9891,1160.0,KIC 9958963,q1_q17_dr24_tce,0.8,0.83,,168.296,46.8395,240.2,KIC,0.94,1.252e-05,,46.8383,851.0,294.9892,14.96,17.03,0.054,KIC,16499.0,,,
K00596.01,PROB,KIC 10388286,1.0,,1.471e-06,283.7407,5176.0,,q1_q17_dr24_tce,1.0,0.93,,131.752,,1.68,KIC,1.0,5.788e-06,,47.5163,656.0,,14.82,,,,,,,
K00597.01,PROB,KIC 10600261,1.0,,2.553e-05,291.9714,3945.0,,q1_q17_dr24_tce,1.0,0.87,,142.3245,,17.31,KIC,1.0,9.222e-06,,47.8642,618.0,,14.91,,,,,,,
K00597.02,PROB,KIC 10600261,1.0,,1.92e-05,291.9714,1257.0,,q1_q17_dr24_tce,1.0,0.87,,133.0626,,2.09,KIC,1.0,9.222e-06,,47.8642,204.0,,14.91,,,,,,,
K00597.03,PROB,KIC 10600261,1.0,,4.247e-05,291.9714,3664.0,,q1_q17_dr24_tce,1.0,0.87,,164.9047,,52.81,KIC,1.0,9.222e-06,,47.8642,556.0,,14.91,,,,,,,
K00598.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.91,,,,,,,,,,,,,,,,,,,
K00598.02,PROB,KIC 10656823,0.64,,0.0001448,288.121,3519.0,UKIRT 44117906374880,q1_q17_dr24_tce,0.36,0.91,,153.8201,47.9675,34.1,KIC,0.64,6.994e-06,,47.9667,469.0,288.1209,14.81,17.67,0.36,UKIRT,60582.0,,,
K00599.01,PROB,KIC 10676824,1.0,,7.122e-06,296.1207,4149.0,UKIRT 44117906725797,q1_q17_dr24_tce,1.0,0.82,,134.4891,47.921,6.45,KIC,1.0,1.242e-05,,47.9215,590.0,296.1194,14.85,20.27,0.0,UKIRT,754169.0,,,
K00600.01,PROB,KIC 10718726,1.0,,4.674e-06,286.2498,2782.0,KIC 10718730,q1_q17_dr24_tce,1.0,0.92,,134.4124,48.0603,3.6,KIC,1.0,6.37e-06,,48.0609,400.0,286.2506,14.83,18.48,0.0,KIC,106874.0,,,
K00601.01,PROB,KIC 10973664,1.0,,3.352e-06,290.8491,4351.0,,q1_q17_dr24_tce,1.0,0.89,,134.3562,,5.4,KIC,1.0,7.805e-06,,48.416,775.0,,14.7,,,,,,,
K00601.02,PROB,KIC 10973664,1.0,,4.47e-06,290.8491,7932.0,,q1_q17_dr24_tce,1.0,0.89,,131.5122,,11.68,KIC,1.0,7.805e-06,,48.416,1167.0,,14.7,,,,,,,
K00601.03,PROB,KIC 10973664,1.0,,2.914e-06,290.8491,1187.0,,q1_q17_dr24_tce,1.0,0.89,,132.4688,,1.21,KIC,1.0,7.805e-06,,48.416,234.0,,14.7,,,,,,,
K00602.01,PROB,KIC 12459913,1.0,,1.448e-05,291.1594,3284.0,KIC 12459911,q1_q17_dr24_tce,1.0,0.9,,138.5355,51.3341,12.91,KIC,1.0,6.964e-06,,51.3349,487.0,291.1581,14.65,18.23,4.3e-09,KIC,133982.0,,,
K00603.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.79,,132.2201,,2.19,,0.0,1.415e-05,,,883.0,,,,,,,,,
K00604.01,PROB,KIC 3970233,1.0,,1.351e-06,295.4819,138205.0,,q1_q17_dr24_tce,1.0,0.71,,133.1604,,8.25,KIC,1.0,1.754e-05,,39.0173,19843.0,,14.03,,,,,,,
K00605.01,PROB,KIC 4832837,1.0,,3.322e-06,290.9273,7384.0,KIC 4832830,q1_q17_dr24_tce,1.0,0.82,,132.9275,39.9147,2.63,KIC,1.0,1.319e-05,,39.9141,873.0,290.9258,14.91,18.62,0.0,KIC,570410.0,,,
K00605.02,PROB,KIC 4832837,0.91,,0.0002806,290.9273,1526.0,KIC 4832830,q1_q17_dr24_tce,0.05,0.82,,131.9468,39.9147,5.07,KIC,0.91,1.319e-05,,39.9141,155.0,290.9258,14.91,18.62,0.086,KIC,105967.0,,,
K00606.01,PROB,KIC 5014753,9.3e-13,,1.0,292.8704,108998.0,,q1_q17_dr24_tce,1.0,0.79,,134.0016,,3.17,KIC,9.3e-13,1.322e-05,,40.1053,15072.0,,14.33,,,,,,,
K00607.01,PROB,KIC 5441980,1.0,,8.139e-05,289.8091,82447.0,,q1_q17_dr24_tce,1.0,0.84,,132.2281,,5.89,KIC,1.0,9.651e-06,,40.6158,10992.0,,14.38,,,,,,,
K00608.01,PROB,UKIRT 44117916105462,1.0,,7.138e-05,298.871,144988.0,KIC 5562784,q1_q17_dr24_tce,1.0,0.66,,142.2379,40.7199,25.34,UKIRT,0.0,2.722e-05,,40.7202,2555.0,298.8697,16.7,14.72,0.0,KIC,16975.0,,,
K00609.01,PROB,KIC 5608566,1.0,,7.562e-07,288.1607,34188.0,,q1_q17_dr24_tce,1.0,0.86,,132.4504,,4.4,KIC,1.0,8.536e-06,,40.8789,4525.0,,14.49,,,,,,,
K00610.01,PROB,KIC 5686174,1.0,,5.319e-06,284.4785,7316.0,,q1_q17_dr24_tce,1.0,0.9,,138.0037,,14.28,KIC,1.0,6.863e-06,,40.9331,1014.0,,14.67,,,,,,,
K00611.01,PROB,KIC 6309763,1.0,,2.1e-06,298.294,38960.0,,q1_q17_dr24_tce,1.0,0.69,,132.0414,,3.25,KIC,1.0,1.918e-05,,41.6838,4767.0,,14.02,,,,,,,
K00612.01,PROB,KIC 6587002,1.0,,8.534e-06,284.9685,4127.0,,q1_q17_dr24_tce,1.0,0.9,,131.7385,,20.74,KIC,1.0,5.873e-06,,42.0792,618.0,,14.16,,,,,,,
K00612.02,PROB,KIC 6587002,1.0,,3.521e-06,284.9685,5338.0,,q1_q17_dr24_tce,1.0,0.9,,169.1283,,47.43,KIC,1.0,5.873e-06,,42.0792,824.0,,14.16,,,,,,,
K00612.03,PROB,KIC 6587002,1.0,,8.029e-06,284.9685,1893.0,,q1_q17_dr24_tce,1.0,0.9,,155.0278,,122.08,KIC,1.0,5.873e-06,,42.0792,805.0,,14.16,,,,,,,
K00613.01,MATCH,,,,,,,,q1_q17_dr24_tce,1.0,0.77,,,,,,0.0,,,,,,,,,,,,,
K00614.01,PROB,KIC 7368664,0.95,,0.05276,293.5864,35245.0,KIC 7368659,q1_q17_dr24_tce,1.0,0.81,,144.2726,42.9295,12.87,KIC,0.95,1.238e-05,,42.9289,4017.0,293.5852,14.52,16.64,0.0,KIC,634683.0,,,
K00615.01,PROB,UKIRT 44117910756260,1.0,,9.05e-06,295.0245,888306.0,KIC 8374580,q1_q17_dr24_tce,1.0,0.8,,192.5044,44.3302,176.24,UKIRT,0.0,1.271e-05,,44.3299,4975.0,295.0256,18.25,14.47,0.0,KIC,14789.0,,,
K00616.01,PROB,KIC 9714696,0.0,,1.0,293.6891,3506.0,,q1_q17_dr24_tce,1.0,0.84,,132.5861,,1.43,KIC,0.0,1.101e-05,,46.4129,330.0,,14.81,,,,,,,
K00617.01,PROB,KIC 9846086,1.0,,1.041e-06,297.4187,54872.0,,q1_q17_dr24_tce,1.0,0.79,,160.734,,37.87,KIC,1.0,1.404e-05,,46.6443,6877.0,,14.61,,,,,,,
K00618.01,PROB,KIC 10353968,1.0,,8.303e-05,296.9867,11128.0,KIC 10353963,q1_q17_dr24_tce,1.0,0.81,,132.9897,47.4773,9.07,KIC,1.0,1.426e-05,,47.4774,1186.0,296.985,14.96,16.3,4.1e-06,KIC,79660.0,,,
K00619.01,PROB,KIC 10384962,1.0,,3.231e-07,281.7756,382724.0,,q1_q17_dr24_tce,1.0,0.94,,133.2796,,2.88,KIC,1.0,4.738e-06,,47.5932,48123.0,,14.37,,,,,,,
K00620.01,PROB,KIC 11773022,1.0,,1.185e-06,296.4798,61056.0,,q1_q17_dr24_tce,0.63,0.84,,159.1067,,45.16,KIC,1.0,1.061e-05,,49.9377,6354.0,,14.67,,,,,,,
K00620.02,PROB,KIC 11773022,1.0,,1.405e-06,296.4798,52293.0,,q1_q17_dr24_tce,0.64,0.84,,212.0351,,130.18,KIC,1.0,1.061e-05,,49.9377,11830.0,,14.67,,,,,,,
K00620.03,PROB,KIC 11773022,1.0,,7.507e-06,296.4798,7078.0,,q1_q17_dr24_tce,0.66,0.84,,209.9962,,85.32,KIC,1.0,1.061e-05,,49.9377,1682.0,,14.67,,,,,,,
K00621.01,PROB,KIC 12251650,1.0,,4.654e-07,287.461,199448.0,,q1_q17_dr24_tce,1.0,0.92,,138.6592,,17.76,KIC,1.0,6.106e-06,,50.9751,24246.0,,14.76,,,,,,,
K00622.01,PROB,KIC 12417486,1.0,,6.972e-05,295.8803,21630.0,,q1_q17_dr24_tce,0.98,0.86,,213.4988,,155.04,KIC,1.0,1.019e-05,,51.2638,5022.0,,14.93,,,,,,,
K00623.01,PROB,KIC 12068975,1.0,,2.625e-05,295.2264,887.0,KIC 12068971,q1_q17_dr24_tce,1.0,0.86,,132.6628,50.5575,10.35,KIC,1.0,5.135e-06,,50.559,123.0,295.2255,11.81,14.55,3e-15,KIC,13335.0,,,
K00623.02,PROB,KIC 12068975,1.0,,2.57e-05,295.2264,821.0,KIC 12068971,q1_q17_dr24_tce,1.0,0.86,,132.439,50.5575,15.68,KIC,1.0,5.135e-06,,50.559,114.0,295.2255,11.81,14.55,1.9e-08,KIC,12356.0,,,
K00623.03,PROB,KIC 12068975,1.0,,2.7e-05,295.2264,675.0,KIC 12068971,q1_q17_dr24_tce,1.0,0.86,,132.281,50.5575,5.6,KIC,1.0,5.135e-06,,50.559,91.0,295.2255,11.81,14.55,9.7e-08,KIC,10158.0,,,
K00623.04,PROB,KIC 12068975,0.97,,6.932e-05,295.2264,495.0,KIC 12068971,q1_q17_dr24_tce,0.33,0.86,,154.3949,50.5575,25.21,KIC,0.97,5.135e-06,,50.559,56.0,295.2255,11.81,14.55,0.028,KIC,7449.0,,,
K00624.01,PROB,KIC 3541946,1.0,,5.136e-06,290.6731,5851.0,,q1_q17_dr24_tce,1.0,0.81,,146.856,,17.79,KIC,1.0,9.716e-06,,38.691,949.0,,13.6,,,,,,,
K00624.02,PROB,KIC 3541946,1.0,,9.466e-06,290.6731,3870.0,,q1_q17_dr24_tce,1.0,0.81,,169.5457,,49.57,KIC,1.0,9.716e-06,,38.691,688.0,,13.6,,,,,,,
K00624.03,PROB,KIC 3541946,1.0,,4.463e-06,290.6731,1600.0,UKIRT 44117920181529,q1_q17_dr24_tce,1.0,0.81,,131.8004,38.6918,1.31,KIC,1.0,9.716e-06,,38.691,254.0,290.674,13.6,20.0,0.0,UKIRT,779021.0,,,
K00625.01,PROB,KIC 4449034,1.0,,6.13e-06,286.5638,8885.0,,q1_q17_dr24_tce,0.87,0.87,,142.2987,,38.14,KIC,1.0,6.316e-06,,39.5345,1218.0,,13.59,,,,,,,
K00626.01,PROB,KIC 4478168,1.0,,2.474e-05,295.1934,2831.0,UKIRT 44117917911377,q1_q17_dr24_tce,1.0,0.73,,143.0488,39.5405,14.59,KIC,1.0,1.463e-05,,39.5397,384.0,295.1932,13.49,18.69,1.5e-07,UKIRT,362847.0,,,
K00626.02,PROB,KIC 4478168,0.98,,0.0001717,295.1934,561.0,UKIRT 44117917911377,q1_q17_dr24_tce,0.64,0.73,,132.8214,39.5405,8.03,KIC,0.98,1.463e-05,,39.5397,73.0,295.1932,13.49,18.69,0.022,UKIRT,72021.0,,,
K00627.01,PROB,KIC 4563268,1.0,,0.0003162,292.1505,3353.0,,q1_q17_dr24_tce,1.0,0.79,,137.4136,,7.75,KIC,1.0,1.009e-05,,39.6376,406.0,,13.31,,,,,,,
