KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
7116.01|8958811|12.060|133.0651913|0.0074606|2.525572119|0.000023672|7.794300|3.43152|0.005550|0.000369|+0.000301|-0.000437|0.75|0.23|+0.31|-0.15|0.3903|0.2248|+0.0608|-0.3888|87.09|2.30235|0.24472|6068|170|159|180|4.235|0.212|0.193|0.231|0.966|0.139|0.166|0.112|1.242|0.378|0.501|0.254|0|0|0.0359|1574|35.5|4.0|10.1|19.59770|45.27357|0.3318|0.2962|0|0|1.40433|+0.61827|-0.70932|1452.26|1719.71|-637.55
7117.01|8958939|13.858|135.0352397|0.0160741|8.292755757|0.000152744|10.430183|5.21504|0.009775|0.000758|+0.000320|-0.001196|1.01|0.21|+0.31|-0.10|0.6346|0.3635|+0.3237|-0.4034|86.52|4.78411|0.40672|6146|172|151|193|4.497|0.142|0.045|0.239|1.020|0.112|0.095|0.129|0.943|0.190|0.290|0.089|0|0|0.0807|927|103.3|14.7|8.4|19.60052|45.23269|0.3270|0.2981|0|0|0.31213|+0.46819|-0.07223|174.36|154.13|-48.49
7117.02|8958939|13.858|153.2108216|0.0100044|22.786521965|0.000406915|74.436208|37.01353|0.014069|0.001551|+0.001652|-0.001451|1.45|0.29|+0.44|-0.14|0.3817|0.2447|+0.1079|-0.3816|89.95|2.19720|0.38796|6146|172|151|193|4.497|0.142|0.045|0.239|1.020|0.112|0.095|0.129|0.943|0.190|0.290|0.089|0|0|0.1584|661|228.3|44.3|7.9|19.60052|45.23269|0.3270|0.2981|0|0|15.02637|+29.88755|-14.93389|45.26|40.00|-12.59
7118.01|8973000|12.779|158.3481722|0.0001023|28.027891356|0.000003425|17.108013|0.02696|0.526828|0.004483|+0.003200|-0.005765|31.30|1.58|+1.55|-1.61|0.6493|0.0088|+0.0065|-0.0111|87.66|17.32685|0.01272|5231|163|161|165|4.721|0.034|0.043|0.025|0.569|0.027|0.036|0.019|0.544|0.028|0.027|0.028|0|0|0.1496|440|243231.1|157.5|2829.0|19.85963|45.21119|0.2616|0.3488|0|0|0.12058|+0.00019|-0.00025|8.86|2.16|-1.85
7119.01|8977176|12.099|132.0386078|0.0644839|0.509483056|0.000063383|0.386264|0.19264|0.008052|0.001020|+0.000361|-0.001678|1.22|0.41|+0.47|-0.34|0.3535|0.2792|+0.2048|-0.3535|23.49|3.14295|1.12118|6344|187|186|188|4.091|0.259|0.289|0.228|0.869|0.102|0.127|0.077|1.390|0.460|0.528|0.392|0|0|0.0119|3024|74.6|15.1|8.0|19.92516|45.20398|0.2954|0.3005|0|0|0.00420|+0.17386|-0.00311|19778.63|22494.45|-10738.61
7120.01|9001468|13.115|142.7271929|0.0001033|17.329965942|0.000002111|22.102489|0.34090|0.570903|0.017925|+0.021030|-0.014820|42.58|5.37|+6.80|-3.93|0.6993|0.0294|+0.0328|-0.0259|88.24|8.43564|0.00649|5079|151|160|142|4.588|0.075|0.062|0.088|0.659|0.072|0.107|0.038|0.683|0.086|0.109|0.063|0|0|0.1141|548|255042.2|160.1|2807.5|18.85077|45.39852|0.4392|0.2486|0|0|0.68012|+0.01049|-0.00709|21.34|11.14|-5.64
7121.01|9005854|13.689|131.6784862|0.0003576|1.890227329|0.000000812|4.485352|0.73781|0.505483|0.160305|+0.179626|-0.140985|42.94|8.06|+12.98|-3.14|0.9686|0.1937|+0.2470|-0.1404|77.35|3.84545|0.02392|5340|158|178|138|4.591|0.107|0.027|0.187|0.868|0.087|0.080|0.095|0.778|0.146|0.235|0.057|0|0|0.0285|1231|113506.7|568.4|311.0|19.00209|45.38045|0.4715|0.2203|0|0|0.47777|+0.07859|-0.04025|542.30|505.95|-122.86
7122.01|9007918|10.727|132.8469137|0.0000526|1.387206715|0.000000089|3.570186|0.01556|0.461738|0.013975|+0.011050|-0.016899|95.50|36.94|+52.24|-21.63|0.7946|0.0229|+0.0191|-0.0267|77.35|3.81765|0.00596|7207|239|200|278|4.060|0.230|0.149|0.311|1.499|0.306|0.322|0.291|1.894|0.733|1.036|0.429|0|0|0.0279|2619|151874.3|185.4|1280.4|19.06723|45.35603|0.2429|0.3308|0|0|0.44735|+0.00195|-0.00345|11126.98|18583.12|-5439.01
7123.01|9007953|13.211|132.8470905|0.0099719|1.387197679|0.000019773|3.576146|1.57109|0.006748|0.000607|+0.000386|-0.000829|0.73|0.17|+0.27|-0.06|0.6427|0.3752|+0.3114|-0.4391|79.64|2.35358|0.40496|6122|170|145|194|4.471|0.157|0.046|0.267|1.070|0.153|0.173|0.134|0.996|0.228|0.363|0.093|0|0|0.0249|1708|49.0|8.5|7.8|19.06809|45.34368|0.3369|0.2975|0|0|0.44960|+0.98760|-0.41085|2011.41|2100.91|-557.90
7124.01|9024857|13.669|160.6019132|0.0000451|35.026564035|0.000001920|107.393084|0.42568|0.384581|0.006434|+0.005974|-0.006894|34.14|7.88|+13.19|-2.56|0.7499|0.0126|+0.0120|-0.0132|89.38|2.90023|0.00408|5543|150|165|136|4.568|0.143|0.028|0.258|0.891|0.087|0.090|0.085|0.813|0.188|0.314|0.061|0|0|0.2018|491|122392.6|131.5|1824.8|19.52523|45.34437|0.4264|0.2489|0|0|19.09815|+0.07570|-0.12814|13.71|15.92|-3.09
7125.01|9025739|13.237|134.1962523|0.0132039|7.918399861|0.000116601|19.412338|8.19145|0.009494|0.000772|+0.000202|-0.001343|1.05|0.27|+0.41|-0.12|0.1706|0.2300|+0.2895|-0.1706|89.38|3.10197|0.53567|5966|182|169|195|4.418|0.173|0.079|0.267|0.985|0.128|0.142|0.114|1.016|0.256|0.390|0.121|0|0|0.0774|953|107.3|14.1|8.3|19.54677|45.35469|0.3541|0.2873|0|0|2.20707|+1.86264|-2.20555|195.36|223.00|-62.63
7126.01|9029486|11.891|132.3306658|0.0000338|3.138580482|0.000000130|8.035364|0.01847|0.555492|0.003453|+0.002224|-0.004682|65.69|17.54|+23.12|-11.95|0.6979|0.0058|+0.0042|-0.0074|84.80|4.18505|0.00224|5593|148|159|136|4.311|0.201|0.176|0.225|0.876|0.093|0.126|0.060|1.083|0.289|0.381|0.197|0|0|0.0402|1281|243010.7|160.2|4672.2|19.63153|45.38972|0.4270|0.2483|0|0|0.99634|+0.00229|-0.00320|635.61|663.70|-250.10
7127.01|9049010|11.756|131.8517377|0.0027876|0.687014326|0.000002394|1.020775|0.08429|0.018035|0.016971|+0.028867|-0.005075|5.52|2.29|+1.70|-2.87|0.9968|0.0232|+0.0359|-0.0104|12.61|6.41723|0.43364|6240|208|204|211|3.684|0.340|0.483|0.197|1.385|0.318|0.232|0.404|2.803|1.159|0.862|1.455|0|0|0.0170|3534|116.8|4.0|55.4|19.97485|45.36408|0.3088|0.3010|0|0|0.04263|+0.00352|-0.00051|36888.80|34837.77|-29453.97
7128.01|9083503|13.743|131.6100279|0.0092551|0.918402619|0.000012062|1.600144|0.19033|0.012036|0.000583|+0.000545|-0.000620|1.04|0.18|+0.29|-0.08|0.2620|0.2359|+0.2100|-0.2619|80.79|4.68547|0.36211|5220|188|212|163|4.560|0.100|0.035|0.165|0.830|0.090|0.102|0.078|0.791|0.142|0.219|0.064|0|0|0.0174|1552|178.0|12.1|17.6|19.31554|45.43795|0.5066|0.1972|0|0|0.09189|+0.01093|-0.03529|1373.23|1252.14|-351.47
7129.01|9085039|12.330|147.9837751|0.0052722|64.198372088|0.000453144|500.857674|166.99743|0.014753|0.002132|+0.001610|-0.002655|1.74|0.43|+0.57|-0.29|0.3470|0.3241|+0.3820|-0.2661|89.95|0.93377|0.29725|6088|166|161|172|4.329|0.189|0.148|0.230|0.901|0.110|0.134|0.085|1.077|0.268|0.357|0.179|0|0|0.3034|506|248.2|55.3|6.8|19.35868|45.44542|0.3237|0.2979|0|0|576.70325|+192.28609|-420.87369|15.49|15.00|-5.89
7130.01|9093566|12.023|132.3355582|0.0483607|0.943549012|0.000067442|0.484725|0.23958|0.004465|0.000697|+0.000437|-0.000957|0.97|0.37|+0.59|-0.15|0.3003|0.2580|+0.2158|-0.3001|51.57|5.96212|0.33758|7693|266|224|308|4.083|0.227|0.094|0.360|1.737|0.277|0.323|0.231|1.984|0.765|1.224|0.307|0|0|0.0226|3179|22.7|4.2|25.7|19.57140|45.41364|0.2248|0.3360|0|0|0.00242|+0.04306|-0.00141|24157.79|46686.08|-9500.32
