koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K01297.01 1.136 1.046 1.242 1.200 1.043 1.574 6102.565 5959.354 6189.496 4.333 4.132 4.430 0.049 -0.113 0.189 9.520 9.253 9.660 1455.610 1253.593 1907.141 0.260 0.157 0.305 0.323 nan nan nan nan nan nan
K01298.01 0.632 0.600 0.656 0.602 0.580 0.623 4251.569 4214.123 4296.514 4.679 4.664 4.692 -0.171 -0.292 -0.079 9.472 9.181 9.838 452.935 432.233 473.714 0.049 0.013 0.114 0.288 4123 98.0 4.684 0.019 -0.22 0.16
K01298.02 0.631 0.601 0.656 0.603 0.582 0.623 4252.642 4213.832 4297.260 4.679 4.664 4.691 -0.171 -0.286 -0.082 9.499 9.191 9.856 453.676 432.768 473.704 0.049 0.014 0.116 0.288 4123 98.0 4.684 0.019 -0.22 0.16
K01299.01 1.240 1.087 1.323 3.971 3.725 4.117 5039.577 4976.971 5106.607 3.331 3.324 3.339 -0.054 -0.076 -0.028 9.689 9.611 9.886 844.877 796.909 874.454 0.058 0.018 0.112 0.233 4995 78.0 3.331 0.008 -0.07 0.101
K01300.01 0.761 0.710 0.790 0.706 0.669 0.725 4654.749 4598.243 4703.281 4.625 4.610 4.642 0.045 -0.156 0.208 9.315 9.126 9.819 320.677 303.823 332.324 0.133 0.050 0.192 0.214 nan nan nan nan nan nan
K01301.01 0.907 0.858 0.950 0.874 0.813 0.969 5483.486 5375.038 5585.022 4.521 4.419 4.566 -0.021 -0.188 0.122 9.652 9.229 10.014 1218.960 1125.511 1351.912 0.154 0.057 0.249 0.298 nan nan nan nan nan nan
K01301.02 0.906 0.856 0.953 0.872 0.815 0.967 5484.279 5376.676 5591.007 4.521 4.421 4.565 -0.021 -0.194 0.119 9.645 9.224 10.010 1216.787 1128.959 1351.540 0.156 0.053 0.255 0.298 nan nan nan nan nan nan
K01302.01 0.997 0.946 1.043 0.984 0.907 1.186 5734.218 5648.262 5810.091 4.453 4.295 4.513 0.044 -0.112 0.182 9.640 9.243 9.907 932.184 853.756 1120.704 0.117 0.044 0.165 0.184 nan nan nan nan nan nan
K01303.01 0.842 0.793 0.885 0.802 0.755 0.852 5258.942 5161.290 5346.073 4.563 4.504 4.597 -0.076 -0.245 0.075 9.663 9.244 10.024 676.608 633.896 722.197 0.171 0.063 0.259 0.299 nan nan nan nan nan nan
K01304.01 1.035 0.983 1.096 1.047 0.951 1.344 5794.121 5690.855 5873.706 4.411 4.211 4.489 0.099 -0.030 0.251 9.652 9.264 9.871 1567.134 1412.788 2008.192 0.247 0.161 0.292 0.308 nan nan nan nan nan nan
K01305.01 0.846 0.794 0.892 0.812 0.755 0.875 5304.652 5229.870 5405.423 4.556 4.482 4.598 -0.105 -0.286 0.061 9.686 9.245 10.042 793.440 733.797 858.123 0.104 0.031 0.207 0.276 nan nan nan nan nan nan
K01305.02 0.847 0.792 0.893 0.812 0.757 0.869 5298.310 5225.596 5397.777 4.556 4.485 4.595 -0.100 -0.280 0.062 9.684 9.242 10.042 792.525 735.793 852.487 0.101 0.030 0.199 0.276 nan nan nan nan nan nan
K01306.01 0.960 0.916 0.999 0.911 0.869 0.959 5739.992 5676.823 5815.841 4.505 4.461 4.534 -0.115 -0.233 -0.006 9.440 9.180 9.704 1279.661 1215.066 1351.624 0.074 0.025 0.141 0.218 5576 122.0 4.503 0.056 -0.36 0.16
K01306.02 0.958 0.913 1.000 0.911 0.868 0.958 5737.308 5672.018 5814.519 4.504 4.463 4.534 -0.114 -0.236 -0.007 9.446 9.179 9.710 1281.274 1215.332 1350.669 0.071 0.023 0.139 0.218 5576 122.0 4.503 0.056 -0.36 0.16
K01306.03 0.961 0.916 1.000 0.913 0.869 0.961 5740.083 5673.379 5822.104 4.503 4.461 4.535 -0.113 -0.231 -0.005 9.445 9.177 9.709 1282.621 1217.006 1356.124 0.072 0.023 0.144 0.218 5576 122.0 4.503 0.056 -0.36 0.16
K01306.04 0.960 0.916 0.998 0.912 0.870 0.958 5738.237 5673.916 5814.985 4.503 4.462 4.533 -0.111 -0.228 -0.006 9.445 9.183 9.714 1281.421 1216.975 1351.130 0.073 0.024 0.142 0.218 5576 122.0 4.503 0.056 -0.36 0.16
K01307.01 0.963 0.913 1.006 0.935 0.871 1.068 5645.406 5543.412 5725.712 4.485 4.362 4.535 0.026 -0.137 0.165 9.613 9.219 9.948 855.479 791.388 975.225 0.157 0.069 0.214 0.239 nan nan nan nan nan nan
K01307.02 0.965 0.916 1.009 0.943 0.874 1.089 5648.560 5549.204 5728.601 4.479 4.349 4.532 0.037 -0.126 0.168 9.652 9.233 9.949 861.651 794.599 996.121 0.160 0.067 0.216 0.239 nan nan nan nan nan nan
K01308.01 1.015 0.974 1.069 1.259 1.034 1.532 5744.321 5686.387 5808.318 4.242 4.093 4.403 0.054 -0.004 0.136 9.906 9.757 9.977 859.506 703.619 1044.393 0.056 0.017 0.112 0.162 5655 103.0 4.152 0.149 0.0 0.14
K01309.01 1.451 1.317 1.662 1.742 1.448 2.361 6759.785 6663.863 6880.936 4.119 3.911 4.243 0.024 -0.149 0.141 9.222 9.130 9.315 1506.265 1250.443 2041.000 0.060 0.017 0.130 0.19 nan nan nan nan nan nan
K01310.01 0.950 0.885 1.002 0.924 0.854 1.026 5743.017 5682.840 5815.182 4.492 4.393 4.540 -0.131 -0.319 0.028 9.563 9.210 9.875 831.683 763.789 923.927 0.043 0.012 0.095 0.138 nan nan nan nan nan nan
K01311.01 1.139 1.057 1.249 1.201 1.053 1.532 6118.284 5983.148 6220.598 4.333 4.158 4.425 0.039 -0.116 0.175 9.508 9.242 9.642 717.164 624.100 914.125 0.161 0.059 0.220 0.247 nan nan nan nan nan nan
K01312.01 1.148 1.072 1.300 1.220 1.079 1.686 6159.592 6068.943 6255.657 4.320 4.097 4.412 0.022 -0.143 0.157 9.484 9.240 9.619 1330.780 1166.714 1842.349 0.080 0.028 0.136 0.162 nan nan nan nan nan nan
K01313.01 1.027 0.968 1.084 1.029 0.938 1.240 5857.106 5777.930 5928.237 4.425 4.271 4.493 0.014 -0.163 0.155 9.614 9.263 9.829 538.329 487.486 647.429 0.098 0.040 0.142 0.162 nan nan nan nan nan nan
K01314.01 1.263 1.061 1.306 3.433 3.154 3.518 5025.093 4981.961 5080.290 3.465 3.456 3.474 -0.020 -0.051 0.019 9.678 9.633 9.942 1204.018 1111.111 1235.219 0.076 0.026 0.132 0.16 5048 75.0 3.465 0.01 -0.03 0.101
K01315.01 1.177 1.131 1.243 1.322 1.173 1.535 6153.822 6092.939 6220.531 4.265 4.155 4.361 0.068 -0.008 0.148 9.545 9.364 9.629 702.765 624.409 816.177 0.054 0.017 0.105 0.257 6065 95.0 4.251 0.119 0.07 0.11
K01316.01 1.264 1.181 1.372 1.582 1.301 1.889 5877.992 5813.574 5954.252 4.142 4.023 4.280 0.365 0.311 0.418 9.579 9.498 9.641 451.394 372.085 540.336 0.076 0.026 0.144 0.228 5855 96.0 4.125 0.121 0.4 0.06
K01318.01 1.301 1.179 1.460 1.472 1.232 1.973 6400.007 6199.223 6544.296 4.213 4.013 4.335 0.075 -0.056 0.214 9.363 9.210 9.479 1911.910 1590.577 2543.156 0.562 0.435 0.648 0.682 nan nan nan nan nan nan
K01319.01 0.898 0.837 0.964 0.870 0.798 0.982 5525.769 5377.378 5761.124 4.516 4.416 4.572 -0.114 -0.296 0.047 9.625 9.227 9.983 1024.143 932.193 1163.978 0.209 0.068 0.408 0.665 nan nan nan nan nan nan
K01320.01 0.900 0.856 0.941 0.859 0.810 0.930 5283.314 5196.377 5340.592 4.532 4.448 4.571 0.176 -0.013 0.328 9.649 9.216 10.047 1065.022 1000.982 1154.173 0.414 0.324 0.457 0.472 nan nan nan nan nan nan
K01321.01 0.868 0.817 0.922 0.829 0.780 0.902 5330.748 5188.880 5537.189 4.543 4.471 4.584 -0.052 -0.205 0.092 9.661 9.227 10.009 891.058 831.243 979.420 0.239 0.086 0.435 0.687 nan nan nan nan nan nan
K01322.01 1.264 1.132 1.447 1.413 1.173 1.980 6324.937 6110.201 6500.063 4.236 4.003 4.360 0.067 -0.073 0.214 9.388 9.224 9.536 1671.064 1372.545 2319.440 0.456 0.303 0.566 0.617 nan nan nan nan nan nan
K01323.01 1.026 0.949 1.137 1.041 0.911 1.287 5849.526 5630.424 6105.607 4.415 4.259 4.506 0.024 -0.126 0.154 9.558 9.252 9.819 1410.785 1218.432 1749.406 0.324 0.140 0.512 0.646 nan nan nan nan nan nan
K01324.01 0.901 0.861 0.943 0.860 0.814 0.928 5373.735 5270.763 5451.085 4.531 4.451 4.567 0.069 -0.080 0.215 9.633 9.213 10.014 1008.113 949.865 1090.346 0.261 0.151 0.324 0.349 nan nan nan nan nan nan
K01325.01 0.940 0.878 1.013 0.918 0.840 1.049 5645.329 5530.006 5856.602 4.490 4.384 4.548 -0.075 -0.263 0.077 9.584 9.207 9.909 967.126 878.797 1111.108 0.142 0.042 0.317 0.7 nan nan nan nan nan nan
K01326.01 0.880 0.837 0.923 0.891 0.828 0.976 5436.715 5336.324 5532.214 4.481 4.400 4.551 -0.049 -0.157 0.057 9.914 9.465 10.092 305.078 282.391 334.210 0.236 0.131 0.336 0.543 5465 114.0 4.396 0.106 0.0 0.16
K01327.01 0.751 0.690 0.802 0.714 0.654 0.764 4969.728 4905.517 5073.958 4.611 4.567 4.651 -0.229 -0.458 -0.041 9.667 9.283 10.024 860.133 780.987 925.107 0.095 0.027 0.225 0.426 nan nan nan nan nan nan
K01328.01 1.042 0.963 1.113 1.050 0.938 1.284 5883.464 5720.464 5984.707 4.412 4.261 4.492 0.038 -0.134 0.191 9.598 9.243 9.807 1373.839 1220.279 1685.993 0.541 0.412 0.608 0.636 nan nan nan nan nan nan
K01329.01 0.856 0.806 0.905 0.818 0.768 0.884 5284.400 5171.265 5451.365 4.550 4.483 4.589 -0.057 -0.217 0.090 9.670 9.251 10.029 725.929 677.445 789.982 0.174 0.054 0.347 0.561 nan nan nan nan nan nan
K01330.01 0.767 0.724 0.798 0.717 0.684 0.740 4719.792 4615.114 4784.082 4.618 4.591 4.636 0.048 -0.140 0.209 9.406 9.158 9.921 608.818 577.735 633.860 0.290 0.129 0.376 0.405 nan nan nan nan nan nan
K01330.02 0.768 0.723 0.799 0.717 0.684 0.740 4724.540 4620.364 4783.288 4.618 4.593 4.635 0.045 -0.144 0.201 9.400 9.155 9.923 609.211 577.438 634.231 0.297 0.139 0.375 0.405 nan nan nan nan nan nan
K01331.01 0.730 0.676 0.769 0.703 0.643 0.735 4746.176 4697.834 4830.167 4.615 4.580 4.653 -0.126 -0.365 0.030 9.752 9.381 10.048 543.143 493.509 571.261 0.077 0.021 0.190 0.515 nan nan nan nan nan nan
K01332.01 1.038 0.971 1.109 1.041 0.936 1.282 5837.068 5683.279 5953.059 4.421 4.261 4.494 0.063 -0.090 0.208 9.594 9.233 9.829 1195.445 1067.016 1474.194 0.237 0.110 0.323 0.356 nan nan nan nan nan nan
K01332.02 1.033 0.972 1.095 1.041 0.936 1.284 5838.315 5693.542 5950.256 4.421 4.249 4.493 0.060 -0.103 0.198 9.600 9.235 9.838 1194.917 1066.969 1471.811 0.237 0.119 0.321 0.356 nan nan nan nan nan nan
K01332.03 1.030 0.968 1.094 1.033 0.936 1.243 5831.489 5683.753 5944.762 4.423 4.277 4.495 0.055 -0.099 0.202 9.598 9.234 9.833 1183.903 1065.398 1425.921 0.233 0.110 0.318 0.356 nan nan nan nan nan nan
K01333.01 0.979 0.908 1.066 0.985 0.876 1.160 5746.483 5516.697 5963.629 4.447 4.314 4.526 -0.001 -0.163 0.125 9.617 9.249 9.904 596.962 525.004 705.605 0.379 0.177 0.551 0.66 nan nan nan nan nan nan
K01334.01 0.933 0.887 0.973 0.898 0.843 1.010 5480.273 5367.404 5554.016 4.507 4.392 4.552 0.094 -0.059 0.242 9.651 9.225 10.029 993.114 926.056 1119.894 0.319 0.206 0.379 0.401 nan nan nan nan nan nan
K01334.02 0.933 0.892 0.976 0.901 0.845 1.029 5483.186 5371.115 5558.227 4.506 4.380 4.551 0.100 -0.049 0.255 9.657 9.237 10.025 996.301 928.643 1139.658 0.321 0.214 0.377 0.401 nan nan nan nan nan nan
K01335.01 1.232 1.129 1.415 1.356 1.160 1.955 6257.016 6107.829 6367.138 4.257 4.008 4.371 0.080 -0.055 0.226 9.423 9.224 9.540 984.144 835.728 1411.593 0.359 0.256 0.418 0.44 nan nan nan nan nan nan
K01336.01 1.328 1.199 1.544 1.509 1.253 2.209 6430.074 6235.285 6568.627 4.199 3.938 4.325 0.090 -0.048 0.230 9.328 9.198 9.456 1574.497 1295.452 2280.182 0.580 0.449 0.658 0.692 nan nan nan nan nan nan
K01336.02 1.331 1.196 1.550 1.522 1.261 2.204 6435.035 6235.451 6571.940 4.193 3.940 4.321 0.089 -0.036 0.235 9.326 9.200 9.454 1583.166 1303.997 2275.856 0.580 0.449 0.661 0.692 nan nan nan nan nan nan
K01336.03 1.321 1.197 1.533 1.511 1.255 2.175 6425.921 6230.506 6562.188 4.198 3.950 4.325 0.089 -0.044 0.236 9.334 9.199 9.462 1574.114 1297.909 2246.158 0.573 0.446 0.655 0.692 nan nan nan nan nan nan
K01336.04 1.330 1.199 1.553 1.519 1.261 2.225 6431.530 6231.624 6566.255 4.194 3.931 4.319 0.091 -0.041 0.232 9.329 9.202 9.462 1584.070 1303.097 2286.389 0.576 0.445 0.656 0.692 nan nan nan nan nan nan
K01337.01 0.841 0.794 0.885 0.800 0.756 0.851 5188.730 5083.307 5324.697 4.563 4.505 4.595 -0.023 -0.198 0.135 9.680 9.265 10.024 619.168 581.149 662.501 0.179 0.058 0.324 0.413 nan nan nan nan nan nan
K01338.01 1.059 0.981 1.145 1.074 0.958 1.276 5929.338 5735.460 6068.493 4.402 4.268 4.479 0.047 -0.112 0.197 9.539 9.230 9.761 946.024 836.980 1128.126 0.330 0.172 0.436 0.48 nan nan nan nan nan nan
K01338.02 1.063 0.991 1.147 1.081 0.962 1.304 5933.092 5745.260 6066.343 4.399 4.248 4.478 0.049 -0.096 0.190 9.555 9.225 9.757 950.863 838.124 1149.170 0.334 0.185 0.432 0.48 nan nan nan nan nan nan
K01338.03 1.064 0.992 1.146 1.081 0.958 1.312 5936.518 5749.572 6075.831 4.400 4.250 4.481 0.050 -0.098 0.183 9.533 9.224 9.758 952.096 835.687 1155.755 0.336 0.191 0.433 0.48 nan nan nan nan nan nan
K01339.01 0.972 0.921 1.024 0.943 0.874 1.063 5634.853 5513.530 5770.253 4.482 4.374 4.534 0.056 -0.098 0.203 9.581 9.201 9.895 882.080 812.284 997.145 0.160 0.053 0.271 0.327 nan nan nan nan nan nan
K01340.01 1.219 1.100 1.431 1.338 1.115 1.909 6223.169 6016.294 6495.884 4.267 4.027 4.394 0.081 -0.065 0.225 9.386 9.192 9.573 991.684 813.704 1412.026 0.222 0.080 0.400 0.621 nan nan nan nan nan nan
K01341.01 1.154 1.072 1.312 1.230 1.070 1.753 6031.503 5913.394 6119.844 4.312 4.069 4.420 0.145 -0.006 0.291 9.522 9.259 9.662 1362.140 1173.980 1923.398 0.234 0.151 0.273 0.286 nan nan nan nan nan nan
K01342.01 1.025 0.940 1.141 1.045 0.916 1.293 5976.304 5769.142 6222.189 4.409 4.260 4.501 -0.095 -0.313 0.070 9.525 9.218 9.784 796.141 689.816 992.909 0.251 0.083 0.431 0.594 nan nan nan nan nan nan
K01342.02 1.035 0.942 1.141 1.067 0.932 1.339 5981.409 5777.842 6226.196 4.398 4.227 4.490 -0.082 -0.296 0.072 9.543 9.243 9.813 814.178 701.794 1028.510 0.255 0.098 0.429 0.594 nan nan nan nan nan nan
K01343.01 1.340 1.193 1.556 1.528 1.254 2.199 6472.434 6245.641 6666.451 4.193 3.944 4.322 0.068 -0.068 0.199 9.311 9.175 9.455 1045.072 847.935 1493.808 0.301 0.146 0.423 0.485 nan nan nan nan nan nan
K01344.01 1.052 0.989 1.126 1.164 1.032 1.360 6073.329 5976.770 6162.641 4.323 4.207 4.426 -0.127 -0.249 -0.004 9.663 9.417 9.793 656.535 581.265 765.859 0.209 0.128 0.279 0.345 6060 109.0 4.227 0.147 -0.26 0.16
K01346.01 1.041 0.979 1.107 1.066 0.952 1.313 5890.239 5763.292 6000.350 4.400 4.232 4.484 0.023 -0.148 0.165 9.621 9.264 9.823 529.563 469.314 650.683 0.191 0.087 0.268 0.298 nan nan nan nan nan nan
K01347.01 0.936 0.889 0.973 0.914 0.851 1.070 5543.592 5469.028 5601.502 4.490 4.346 4.545 0.037 -0.129 0.174 9.719 9.260 10.050 751.748 695.601 879.735 0.320 0.256 0.347 0.358 nan nan nan nan nan nan
K01347.02 0.934 0.889 0.974 0.902 0.847 1.017 5544.706 5468.197 5604.754 4.502 4.391 4.549 0.031 -0.144 0.179 9.662 9.234 9.984 742.531 692.901 836.818 0.319 0.255 0.347 0.358 nan nan nan nan nan nan
K01350.01 1.752 1.614 1.885 2.202 1.876 2.604 7026.245 6941.342 7115.496 3.997 3.881 4.102 0.271 0.132 0.360 9.037 9.011 9.093 1022.048 873.434 1208.737 0.016 0.004 0.041 0.944 nan nan nan nan nan nan
K01351.01 0.849 0.793 0.904 0.813 0.759 0.881 5300.304 5176.967 5484.715 4.554 4.485 4.594 -0.099 -0.273 0.063 9.664 9.242 10.027 926.600 858.811 1010.198 0.206 0.073 0.388 0.609 nan nan nan nan nan nan
K01352.01 0.799 0.752 0.838 0.757 0.715 0.796 5017.436 4914.253 5093.606 4.590 4.544 4.617 -0.054 -0.229 0.097 9.666 9.245 10.038 862.529 809.420 911.408 0.255 0.119 0.341 0.379 nan nan nan nan nan nan
K01353.01 1.078 1.029 1.131 1.124 1.033 1.249 5999.786 5906.089 6105.704 4.370 4.286 4.435 0.009 -0.090 0.105 9.581 9.310 9.737 800.406 734.165 889.231 0.169 0.090 0.253 1.081 5933 110.0 4.342 0.098 -0.06 0.14
K01353.02 1.080 1.030 1.133 1.129 1.036 1.264 6003.215 5908.394 6104.131 4.365 4.276 4.435 0.013 -0.087 0.109 9.582 9.312 9.743 804.532 734.154 901.342 0.172 0.092 0.253 1.081 5933 110.0 4.342 0.098 -0.06 0.14
K01354.01 0.941 0.882 1.011 0.921 0.845 1.068 5595.224 5459.922 5819.443 4.487 4.363 4.549 -0.017 -0.193 0.118 9.604 9.220 9.957 710.035 645.586 828.607 0.185 0.059 0.368 0.899 nan nan nan nan nan nan
K01355.01 0.929 0.872 0.987 0.901 0.832 1.020 5585.964 5454.355 5769.279 4.501 4.399 4.554 -0.049 -0.225 0.095 9.607 9.217 9.951 1343.463 1232.092 1525.813 0.174 0.057 0.331 0.443 nan nan nan nan nan nan
K01357.01 0.849 0.799 0.902 0.806 0.755 0.871 5173.225 4988.280 5380.453 4.559 4.497 4.597 0.031 -0.138 0.183 9.655 9.246 10.028 845.940 783.366 923.765 0.400 0.173 0.622 0.766 nan nan nan nan nan nan
K01358.01 0.787 0.741 0.827 0.743 0.703 0.781 4923.132 4770.577 5052.513 4.599 4.558 4.624 -0.033 -0.192 0.129 9.593 9.232 9.999 630.181 591.194 669.128 0.403 0.189 0.567 0.65 nan nan nan nan nan nan
K01358.02 0.789 0.742 0.829 0.744 0.702 0.785 4921.075 4760.581 5047.013 4.597 4.554 4.623 -0.019 -0.183 0.141 9.612 9.229 10.013 631.291 590.251 672.131 0.400 0.174 0.563 0.65 nan nan nan nan nan nan
K01358.03 0.790 0.743 0.831 0.746 0.705 0.784 4929.706 4769.835 5057.540 4.596 4.555 4.622 -0.017 -0.186 0.147 9.632 9.244 10.022 633.732 594.114 672.526 0.412 0.191 0.577 0.65 nan nan nan nan nan nan
K01358.04 0.789 0.743 0.831 0.745 0.704 0.783 4928.914 4768.894 5048.734 4.597 4.556 4.623 -0.014 -0.185 0.141 9.620 9.233 10.009 632.950 593.551 670.625 0.407 0.185 0.568 0.65 nan nan nan nan nan nan
K01359.01 0.921 0.856 0.977 0.898 0.819 1.003 5633.804 5515.659 5745.623 4.503 4.400 4.557 -0.106 -0.318 0.063 9.642 9.237 9.947 998.768 905.726 1119.824 0.170 0.062 0.260 0.3 nan nan nan nan nan nan
K01359.02 0.919 0.852 0.974 0.896 0.819 1.017 5626.034 5509.933 5739.048 4.503 4.388 4.558 -0.108 -0.314 0.060 9.648 9.231 9.966 997.019 905.813 1133.393 0.162 0.060 0.253 0.3 nan nan nan nan nan nan
K01360.01 0.788 0.738 0.826 0.745 0.703 0.775 4958.945 4909.860 5009.153 4.598 4.560 4.623 -0.069 -0.253 0.095 9.636 9.241 10.003 737.760 692.956 771.065 0.099 0.036 0.147 0.168 nan nan nan nan nan nan
K01360.02 0.786 0.742 0.825 0.748 0.705 0.779 4960.801 4908.509 5009.000 4.596 4.553 4.622 -0.060 -0.242 0.095 9.663 9.258 10.044 741.089 695.618 776.043 0.100 0.038 0.147 0.168 nan nan nan nan nan nan
K01360.03 0.789 0.741 0.826 0.748 0.706 0.778 4957.941 4907.481 5006.966 4.596 4.554 4.620 -0.059 -0.246 0.104 9.665 9.265 10.024 740.581 696.520 774.110 0.100 0.036 0.147 0.168 nan nan nan nan nan nan
K01361.01 0.649 0.621 0.672 0.621 0.598 0.641 4216.186 4184.716 4250.458 4.666 4.647 4.683 -0.050 -0.153 0.053 9.566 9.219 9.951 314.091 298.700 328.019 0.023 0.006 0.061 0.479 4014 76.0 4.663 0.04 0.02 0.16
K01362.01 0.842 0.796 0.881 0.804 0.754 0.854 5224.578 5144.683 5285.680 4.561 4.497 4.597 -0.042 -0.209 0.114 9.688 9.257 10.040 811.885 757.682 864.511 0.177 0.084 0.230 0.249 nan nan nan nan nan nan
K01363.01 0.904 0.842 0.953 0.874 0.805 0.968 5539.723 5429.431 5652.210 4.520 4.420 4.567 -0.092 -0.292 0.073 9.657 9.227 9.978 1301.970 1189.220 1445.844 0.162 0.058 0.257 0.305 nan nan nan nan nan nan
K01363.02 0.899 0.835 0.951 0.870 0.795 0.969 5535.942 5425.054 5648.372 4.522 4.420 4.572 -0.104 -0.312 0.059 9.643 9.237 9.989 1295.781 1179.219 1449.593 0.157 0.056 0.256 0.305 nan nan nan nan nan nan
K01364.01 0.853 0.809 0.894 0.811 0.780 0.844 5280.030 5182.662 5376.212 4.553 4.518 4.580 -0.070 -0.179 0.044 9.699 9.339 9.951 1048.849 1003.585 1096.732 0.283 0.169 0.390 0.572 5296 112.0 4.538 0.037 -0.1 0.17
K01364.02 0.854 0.809 0.894 0.812 0.781 0.845 5279.930 5183.062 5377.765 4.552 4.517 4.580 -0.065 -0.175 0.044 9.710 9.333 9.957 1050.089 1005.556 1097.487 0.283 0.171 0.388 0.572 5296 112.0 4.538 0.037 -0.1 0.17
K01364.03 0.853 0.806 0.893 0.811 0.779 0.845 5281.676 5185.903 5376.072 4.552 4.517 4.580 -0.070 -0.185 0.038 9.705 9.328 9.959 1049.132 1003.432 1095.723 0.281 0.174 0.391 0.572 5296 112.0 4.538 0.037 -0.1 0.17
K01364.04 0.852 0.806 0.892 0.812 0.780 0.843 5280.723 5183.542 5384.088 4.552 4.517 4.579 -0.072 -0.184 0.036 9.711 9.346 9.957 1050.016 1003.884 1094.787 0.284 0.172 0.391 0.572 5296 112.0 4.538 0.037 -0.1 0.17
K01364.05 0.854 0.809 0.894 0.812 0.781 0.846 5281.746 5187.813 5377.731 4.551 4.516 4.579 -0.065 -0.176 0.044 9.714 9.352 9.957 1050.226 1005.554 1098.886 0.287 0.175 0.393 0.572 5296 112.0 4.538 0.037 -0.1 0.17
K01365.01 0.933 0.883 0.975 0.898 0.842 1.014 5544.610 5451.749 5634.430 4.507 4.394 4.552 0.012 -0.158 0.147 9.632 9.227 9.984 1136.393 1056.959 1285.512 0.121 0.042 0.203 0.243 nan nan nan nan nan nan
K01366.01 0.940 0.897 0.979 0.919 0.859 1.063 5547.705 5470.760 5613.644 4.489 4.352 4.543 0.049 -0.113 0.192 9.695 9.251 10.032 1072.868 998.290 1238.865 0.133 0.065 0.178 0.195 nan nan nan nan nan nan
K01366.02 0.942 0.896 0.981 0.908 0.855 1.005 5545.880 5469.217 5616.581 4.502 4.401 4.545 0.043 -0.115 0.186 9.616 9.233 9.964 1060.545 992.353 1173.453 0.135 0.063 0.179 0.195 nan nan nan nan nan nan
K01367.01 0.811 0.766 0.848 0.768 0.728 0.806 5037.724 4982.219 5087.378 4.585 4.536 4.609 -0.021 -0.200 0.139 9.662 9.255 10.034 625.166 590.676 657.213 0.110 0.043 0.157 0.178 nan nan nan nan nan nan
K01368.01 0.956 0.921 0.987 0.997 0.910 1.133 5649.189 5588.365 5702.172 4.414 4.309 4.506 0.017 -0.087 0.109 9.869 9.487 10.003 850.909 776.740 969.018 0.247 0.193 0.279 0.292 5714 106.0 4.34 0.113 0.0 0.14
K01369.01 1.042 0.973 1.118 1.049 0.945 1.259 5898.646 5733.512 6029.514 4.415 4.274 4.490 0.023 -0.132 0.165 9.574 9.234 9.785 1073.510 959.068 1288.280 0.248 0.115 0.339 0.382 nan nan nan nan nan nan
K01370.01 0.978 0.928 1.028 0.967 0.889 1.124 5706.131 5585.044 5792.029 4.462 4.324 4.523 0.027 -0.131 0.165 9.652 9.259 9.922 955.167 870.345 1109.274 0.214 0.113 0.278 0.302 nan nan nan nan nan nan
K01371.01 1.054 0.980 1.129 1.084 0.949 1.356 5914.759 5740.546 6025.708 4.392 4.215 4.484 0.038 -0.124 0.188 9.606 9.256 9.803 927.023 802.640 1157.928 0.459 0.319 0.533 0.564 nan nan nan nan nan nan
K01373.01 1.001 0.938 1.065 1.002 0.906 1.181 5829.269 5709.878 5952.539 4.439 4.299 4.509 -0.036 -0.219 0.111 9.613 9.245 9.862 916.969 823.873 1082.884 0.151 0.055 0.243 0.29 nan nan nan nan nan nan
K01374.01 0.967 0.902 1.047 0.961 0.864 1.137 5667.057 5470.566 5886.568 4.462 4.326 4.534 0.028 -0.150 0.164 9.649 9.248 9.946 791.203 705.435 945.170 0.304 0.128 0.482 0.614 nan nan nan nan nan nan
K01375.01 1.106 1.070 1.155 1.219 1.083 1.402 5996.095 5934.397 6051.235 4.307 4.202 4.407 0.076 0.001 0.155 9.649 9.417 9.748 748.577 665.308 861.864 0.194 0.149 0.218 0.227 6018 104.0 4.257 0.123 0.06 0.1
K01376.01 1.605 1.443 1.768 1.988 1.609 2.460 7010.830 6884.965 7176.203 4.047 3.903 4.183 0.044 -0.111 0.186 9.130 9.063 9.201 2008.151 1624.742 2491.725 0.087 0.026 0.175 0.261 nan nan nan nan nan nan
K01377.01 1.074 0.979 1.180 1.121 0.965 1.404 6027.197 5833.936 6190.250 4.373 4.201 4.473 -0.020 -0.206 0.114 9.545 9.244 9.748 1131.677 964.642 1426.164 0.278 0.126 0.390 0.448 nan nan nan nan nan nan
K01378.01 0.913 0.869 0.954 0.924 0.859 1.019 5645.925 5581.720 5701.102 4.468 4.377 4.534 -0.133 -0.252 -0.018 9.798 9.373 9.993 426.036 394.984 469.558 0.513 0.458 0.544 0.557 5687 115.0 4.408 0.104 -0.3 0.16
K01378.02 0.913 0.868 0.956 0.920 0.857 1.021 5646.508 5580.834 5705.995 4.472 4.375 4.536 -0.136 -0.254 -0.021 9.788 9.356 9.989 423.970 393.970 471.090 0.512 0.457 0.544 0.557 5687 115.0 4.408 0.104 -0.3 0.16
