koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00024.01 1.098 1.020 1.190 1.140 1.012 1.404 6080.249 5964.018 6205.586 4.367 4.206 4.449 -0.012 -0.205 0.124 9.509 9.235 9.690 535.683 472.435 659.484 0.122 0.041 0.204 0.247 nan nan nan nan nan nan
K00025.01 1.217 1.135 1.407 1.345 1.149 1.952 6178.264 6078.814 6258.104 4.259 4.004 4.381 0.112 -0.012 0.257 9.457 9.242 9.562 824.125 701.220 1187.780 0.144 0.082 0.174 0.186 nan nan nan nan nan nan
K00026.01 1.472 1.299 1.697 1.780 1.427 2.456 6752.732 6494.207 6957.967 4.103 3.885 4.250 0.044 -0.109 0.177 9.211 9.116 9.336 599.913 477.876 823.589 0.336 0.173 0.458 0.517 nan nan nan nan nan nan
K00027.01 1.209 1.104 1.392 1.323 1.126 1.908 6249.666 6079.037 6385.175 4.275 4.021 4.385 0.046 -0.103 0.176 9.430 9.229 9.570 772.148 650.012 1105.288 0.268 0.146 0.350 0.386 nan nan nan nan nan nan
K00028.01 2.272 2.181 2.335 116.482 105.646 123.808 3648.920 3587.419 3749.119 0.663 0.618 0.732 -0.108 -0.236 -0.027 9.071 9.028 9.116 2381.971 2154.267 2567.562 0.138 0.037 0.338 0.628 nan nan nan nan nan nan
K00031.01 2.200 2.136 2.249 40.936 37.890 43.726 3944.356 3920.523 3970.029 1.553 1.504 1.615 0.331 0.315 0.351 9.033 9.012 9.077 2678.691 2492.714 2848.815 0.312 0.250 0.343 0.353 4094 71.0 1.627 0.111 -0.04 0.14
K00041.01 1.099 1.072 1.140 1.505 1.478 1.539 5887.841 5831.590 5944.472 4.125 4.116 4.134 0.068 0.015 0.145 9.838 9.759 9.887 297.916 291.207 305.913 0.061 0.021 0.117 0.269 5825 75.0 4.125 0.009 0.02 0.101
K00041.02 1.098 1.071 1.141 1.505 1.478 1.538 5885.786 5831.579 5947.024 4.125 4.116 4.134 0.068 0.014 0.144 9.840 9.759 9.886 297.902 291.269 305.858 0.060 0.020 0.117 0.269 5825 75.0 4.125 0.009 0.02 0.101
K00041.03 1.096 1.070 1.138 1.503 1.477 1.537 5883.656 5831.626 5942.921 4.125 4.116 4.134 0.066 0.014 0.143 9.842 9.767 9.888 297.419 291.288 305.624 0.059 0.019 0.115 0.269 5825 75.0 4.125 0.009 0.02 0.101
K00042.01 1.220 1.176 1.252 1.349 1.323 1.370 6342.281 6280.432 6400.049 4.264 4.258 4.270 0.013 -0.072 0.098 9.445 9.381 9.516 133.275 130.040 136.190 0.076 0.031 0.115 0.138 6325 75.0 4.264 0.006 0.01 0.101
