koi rprs secthresh maxrad lhood_heb pr_heb lhood_heb_Px2 pr_heb_Px2 lhood_eb pr_eb lhood_eb_Px2 pr_eb_Px2 lhood_beb pr_beb lhood_beb_Px2 pr_beb_Px2 lhood_boxy pr_boxy lhood_long pr_long lhood_pl pr_pl lhood_tot fp FPP
K00020.01 0.117 38 0.50 0.000e+00 0.000e+00 9.500e-86 7.130e-88 8.980e-21 1.840e-20 3.600e-05 2.840e-06 7.450e-43 3.430e-44 7.910e-41 3.350e-42 0.000e+00 0.000e+00 8.470e-03 2.290e-04 2.410e-01 1.000e+00 2.495e-01 0.074 2.320e-04
K00021.01 0.350 265 0.50 3.840e-37 2.200e-37 2.720e-04 1.050e-05 1.390e-01 7.150e-01 6.060e-01 1.640e-01 7.980e-01 1.180e-01 2.410e-02 2.750e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.650e-05 2.020e-06 1.567e+00 0.001 1.000e+00
K00022.01 0.093 25 0.50 0.000e+00 0.000e+00 1.010e-53 1.080e-57 1.430e-08 1.160e-09 3.260e-04 6.320e-07 2.760e-08 2.310e-11 2.150e-36 1.540e-39 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.230e+01 1.000e+00 1.230e+01 0.072 6.340e-07
K00023.01 0.111 268 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.180e-02 1.400e-01 4.920e-05 1.190e-06 8.360e-49 3.490e-50 1.260e-49 3.260e-51 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.530e-01 8.600e-01 5.148e-01 0.057 1.400e-01
K00024.01 0.067 201 0.50 5.220e-48 6.040e-48 3.640e-10 5.810e-12 1.260e-02 9.370e-02 1.010e-01 2.320e-02 1.580e-01 5.360e-02 9.850e-15 1.530e-15 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.420e-01 8.300e-01 4.136e-01 0.052 1.700e-01
K00025.01 0.378 42 0.50 1.020e-289 4.270e-288 7.600e-25 1.740e-24 7.830e-30 2.810e-27 7.290e-03 2.440e-01 3.920e-02 5.950e-01 1.250e-02 1.610e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.160e-07 8.600e-06 5.899e-02 0.001 1.000e+00
K00026.01 0.079 5155 0.50 2.330e-06 1.910e-06 5.580e-04 2.400e-06 5.090e-02 4.600e-01 5.260e-03 2.550e-04 1.190e-02 2.120e-03 1.450e-14 1.400e-15 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.690e-01 5.370e-01 3.376e-01 0.072 4.630e-01
K00027.01 0.593 126996 0.50 0.000e+00 0.000e+00 8.080e-55 1.920e-54 2.380e-192 1.430e-188 9.560e-23 3.300e-21 5.210e-22 1.870e-20 7.560e-11 1.260e-09 0.000e+00 0.000e+00 8.280e-03 2.320e-02 4.790e-02 9.770e-01 5.618e-02 0.001 2.320e-02
K00028.01 0.500 720 0.50 6.970e-44 4.670e-43 7.270e-03 8.500e-04 1.010e-16 2.810e-15 1.030e+00 3.680e-01 5.560e-15 4.520e-15 4.580e-14 2.040e-14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.920e-01 6.320e-01 2.029e+00 0.001 3.680e-01
K00031.01 0.019 22 0.50 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
