koi rprs secthresh maxrad lhood_heb pr_heb lhood_heb_Px2 pr_heb_Px2 lhood_eb pr_eb lhood_eb_Px2 pr_eb_Px2 lhood_beb pr_beb lhood_beb_Px2 pr_beb_Px2 lhood_boxy pr_boxy lhood_long pr_long lhood_pl pr_pl lhood_tot fp FPP
K00926.01 0.035 98 0.50 0.000e+00 0.000e+00 1.810e-312 8.170e-314 5.360e-78 2.350e-77 2.460e-15 1.160e-15 3.720e-07 5.410e-08 6.380e-11 8.880e-12 0.000e+00 0.000e+00 8.140e-03 6.980e-04 3.250e-02 9.990e-01 4.064e-02 0.207 6.980e-04
K00927.01 0.437 228 0.50 1.260e-11 1.450e-11 4.690e-04 1.260e-05 1.110e-01 5.730e-01 2.000e-02 4.250e-03 3.720e-01 1.150e-01 1.140e-03 3.250e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.780e+00 3.080e-01 4.285e+00 0.001 6.920e-01
K00928.01 0.027 52 0.50 7.780e-65 9.970e-68 1.140e-09 9.700e-14 3.560e+00 3.030e-02 2.300e-01 2.670e-04 4.800e-05 1.030e-08 1.150e-05 2.480e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.740e+01 9.690e-01 2.119e+01 0.215 3.060e-02
K00929.01 0.080 67 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.150e-28 1.670e-27 5.090e-06 1.280e-06 9.960e-05 1.540e-05 1.200e-11 1.360e-12 0.000e+00 0.000e+00 8.420e-03 8.490e-04 1.690e-01 9.990e-01 1.775e-01 0.051 8.660e-04
K00929.02 0.010 49 4.50 0.000e+00 0.000e+00 3.590e-58 5.690e-59 1.090e-27 1.710e-26 1.260e-11 2.640e-11 9.900e-04 2.800e-02 7.020e-04 2.400e-02 1.770e-03 4.520e-04 6.140e-03 1.570e-03 4.830e-02 9.460e-01 5.790e-02 0.042 5.390e-02
K00930.01 0.298 249 1.41 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.910e-28 9.930e-25 0.000e+00 0.000e+00 8.180e-03 1.000e+00 0.000e+00 0.000e+00 8.180e-03 0.015 1.000e+00
K00931.01 0.119 56 0.54 0.000e+00 0.000e+00 5.360e-112 1.410e-113 4.370e-14 1.070e-13 5.790e-05 1.580e-05 5.950e-04 1.160e-04 9.010e-19 1.990e-19 0.000e+00 0.000e+00 8.270e-03 3.610e-04 1.730e-01 1.000e+00 1.819e-01 0.070 4.930e-04
K00932.01 0.034 65 0.50 0.000e+00 0.000e+00 1.440e-99 1.200e-101 2.250e-23 2.000e-23 9.290e-06 8.310e-07 1.230e-02 8.810e-04 1.370e-08 9.650e-10 0.000e+00 0.000e+00 8.100e-03 1.300e-04 1.860e-01 9.990e-01 2.064e-01 0.192 1.010e-03
K00933.01 0.270 313 0.50 0.000e+00 0.000e+00 1.050e-72 8.020e-73 4.230e-73 1.610e-71 1.110e-07 7.750e-07 6.710e-03 1.920e-02 3.920e-01 9.790e-01 0.000e+00 0.000e+00 5.600e-03 2.350e-03 5.170e-49 6.100e-48 4.043e-01 0.012 1.000e+00
K00934.01 0.035 98 0.50 0.000e+00 0.000e+00 3.130e-128 3.950e-132 1.800e-10 3.370e-12 1.990e-02 1.250e-05 8.420e-03 3.750e-06 1.630e-10 7.150e-14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.400e+01 1.000e+00 1.403e+01 0.196 1.620e-05
K00934.02 0.022 175 1.05 0.000e+00 0.000e+00 6.230e-40 3.810e-43 1.490e-11 2.350e-12 2.700e-03 1.160e-05 1.240e-03 2.230e-05 3.770e-05 4.350e-07 3.080e-04 7.090e-07 0.000e+00 0.000e+00 3.020e+00 1.000e+00 3.024e+00 0.183 3.500e-05
K00934.03 0.026 187 0.72 4.320e-82 2.090e-83 6.690e-32 9.840e-35 6.080e-06 1.630e-06 2.450e-02 3.270e-04 1.720e-02 3.400e-04 1.870e-03 2.090e-05 1.810e-05 1.010e-07 0.000e+00 0.000e+00 1.370e+00 9.990e-01 1.414e+00 0.219 6.900e-04
K00935.01 0.040 106 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.470e-10 4.350e-09 2.510e-05 6.500e-06 4.110e-27 3.410e-27 5.980e-27 3.370e-27 9.930e-07 2.790e-07 0.000e+00 0.000e+00 4.560e-02 1.000e+00 4.563e-02 0.124 6.780e-06
K00935.02 0.038 140 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.880e-12 8.830e-09 3.020e-05 1.320e-03 8.040e-37 1.600e-34 1.970e-21 2.030e-19 3.370e-03 2.380e-01 0.000e+00 0.000e+00 1.920e-04 7.610e-01 3.592e-03 0.141 2.390e-01
K00935.03 0.029 176 0.50 2.680e-235 5.360e-236 2.240e-63 4.560e-66 4.280e-07 4.300e-07 8.180e-03 1.350e-04 4.890e-04 4.770e-05 1.150e-05 4.020e-07 1.950e-03 9.100e-05 0.000e+00 0.000e+00 4.400e-01 1.000e+00 4.506e-01 0.201 2.750e-04
K00935.04 0.014 85 3.30 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.440e-90 2.160e-86 4.030e-40 1.830e-37 0.000e+00 0.000e+00 7.620e-258 1.150e-253 5.910e-03 1.000e+00 0.000e+00 0.000e+00 3.430e-97 7.730e-93 5.910e-03 0.128 1.000e+00
K00936.01 0.043 121 0.50 8.310e-23 6.820e-25 3.510e-08 4.350e-12 1.570e-32 3.630e-34 4.620e-14 2.490e-17 6.920e-03 5.000e-06 2.110e-08 8.320e-12 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.100e+01 1.000e+00 2.101e+01 0.219 5.000e-06
K00936.02 0.025 47 0.50 7.810e-26 5.020e-29 9.850e-06 3.380e-10 2.290e-78 4.220e-81 1.020e-10 1.900e-14 2.680e-01 2.230e-05 5.970e-07 4.510e-11 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.220e+02 1.000e+00 1.223e+02 0.120 2.230e-05
K00937.01 0.028 134 0.50 1.920e-116 3.560e-118 1.390e-21 4.870e-25 6.170e-07 4.920e-08 6.680e-03 1.730e-05 6.350e-03 3.460e-05 4.490e-05 1.820e-07 6.020e-05 1.120e-07 0.000e+00 0.000e+00 4.440e+00 1.000e+00 4.453e+00 0.219 5.220e-05
K00938.01 0.028 103 0.54 3.290e-165 5.740e-167 5.250e-27 1.590e-30 1.240e-05 8.640e-07 1.160e-02 3.650e-05 1.040e-02 5.600e-05 3.150e-05 9.060e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.830e+00 1.000e+00 5.852e+00 0.208 9.350e-05
K00938.02 0.013 42 0.72 0.000e+00 0.000e+00 1.040e-109 2.550e-112 1.200e-25 3.200e-26 1.760e-09 6.620e-11 3.530e-04 1.250e-05 2.020e-03 7.680e-05 0.000e+00 0.000e+00 1.420e-03 3.250e-06 9.610e-01 1.000e+00 9.648e-01 0.111 9.250e-05
K00938.03 0.016 111 2.88 6.810e-71 8.430e-73 1.510e-18 1.250e-21 3.640e-08 3.140e-09 2.540e-02 9.590e-05 6.580e-02 1.040e-02 1.220e-01 1.990e-02 2.000e-04 2.210e-07 0.000e+00 0.000e+00 4.620e+00 9.700e-01 4.833e+00 0.139 3.040e-02
K00939.01 0.015 63 1.47 0.000e+00 0.000e+00 9.610e-46 2.910e-48 2.350e-24 6.120e-25 7.600e-06 2.490e-07 2.810e-03 3.250e-04 1.930e-03 2.640e-04 1.780e-05 7.240e-08 4.100e-03 1.660e-05 8.920e-01 9.990e-01 9.009e-01 0.142 6.070e-04
K00939.02 0.015 65 1.17 0.000e+00 0.000e+00 1.030e-48 6.220e-52 9.390e-19 1.020e-19 2.610e-03 7.650e-06 2.370e-03 5.770e-05 2.730e-05 6.130e-07 2.080e-04 3.090e-07 0.000e+00 0.000e+00 3.490e+00 1.000e+00 3.495e+00 0.138 6.620e-05
K00939.03 0.011 39 1.41 0.000e+00 0.000e+00 2.100e-138 4.240e-141 2.490e-19 4.140e-20 4.610e-09 1.590e-10 4.330e-05 3.820e-06 2.580e-03 2.580e-04 1.580e-04 4.410e-07 5.270e-03 1.470e-05 1.120e+00 1.000e+00 1.128e+00 0.102 2.770e-04
K00939.04 0.017 95 1.26 0.000e+00 0.000e+00 1.710e-94 3.230e-95 4.680e-12 3.270e-10 2.570e-09 5.800e-09 3.380e-07 7.180e-06 9.130e-09 9.610e-08 4.730e-03 3.720e-03 0.000e+00 0.000e+00 8.440e-03 9.960e-01 1.317e-02 0.156 3.720e-03
K00940.01 0.041 29 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.430e-59 4.480e-58 5.370e-09 2.350e-09 4.940e-07 3.440e-07 4.690e-14 3.160e-14 0.000e+00 0.000e+00 8.410e-03 1.850e-03 2.280e-02 9.980e-01 3.121e-02 0.156 1.850e-03
K00941.01 0.043 97 0.50 3.800e-138 4.710e-140 2.550e-26 1.330e-29 9.400e-09 6.740e-10 1.120e-02 3.460e-05 2.320e-02 9.650e-05 2.640e-07 7.590e-10 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.810e+00 1.000e+00 6.844e+00 0.132 1.310e-04
K00941.02 0.026 82 0.50 1.070e-127 8.840e-131 1.070e-24 5.840e-29 3.720e-09 1.870e-11 1.820e-04 1.010e-07 1.370e-01 4.140e-05 1.000e-05 2.660e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.820e+01 1.000e+00 3.834e+01 0.218 4.150e-05
K00941.03 0.050 232 0.50 2.160e-24 8.520e-26 9.380e-10 6.310e-13 8.470e-01 1.280e-01 2.210e-02 9.090e-05 1.760e-02 1.740e-04 3.550e-06 3.010e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 6.890e+00 8.720e-01 7.777e+00 0.096 1.280e-01
K00942.01 0.033 143 0.50 1.180e-44 1.520e-46 9.270e-08 2.060e-11 3.250e-01 1.840e-02 7.680e-02 1.400e-04 5.190e-02 5.770e-05 1.560e-04 9.850e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.720e+00 9.810e-01 1.017e+01 0.210 1.860e-02
K00943.01 0.025 84 0.50 0.000e+00 0.000e+00 1.610e-43 3.160e-46 1.250e-14 2.320e-15 6.450e-05 1.300e-06 6.090e-02 2.990e-04 4.440e-04 2.310e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.550e-01 1.000e+00 9.164e-01 0.204 3.030e-04
K00944.01 0.048 75 0.50 6.270e-106 9.050e-105 2.860e-15 4.230e-15 4.680e-21 4.470e-19 8.500e-05 8.900e-04 1.720e-01 9.940e-01 9.580e-07 5.980e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.190e-05 4.870e-03 1.721e-01 0.123 9.950e-01
K00945.01 0.021 131 1.11 8.600e-265 5.260e-265 2.010e-35 1.550e-37 5.740e-11 1.620e-10 4.830e-04 3.370e-05 4.240e-04 3.640e-04 3.940e-05 2.940e-05 3.540e-03 1.760e-04 0.000e+00 0.000e+00 1.620e-01 9.990e-01 1.665e-01 0.213 6.030e-04
K00945.02 0.024 197 0.60 0.000e+00 0.000e+00 1.460e-54 4.240e-54 6.460e-12 8.140e-09 1.790e-05 5.170e-04 1.390e-06 2.330e-04 5.030e-09 4.500e-07 4.920e-03 1.370e-01 0.000e+00 0.000e+00 3.450e-04 8.620e-01 5.284e-03 0.213 1.380e-01
K00945.03 0.018 287 1.47 2.770e-41 6.090e-42 4.980e-14 2.280e-16 3.390e-02 3.080e-02 1.360e-01 4.460e-03 3.520e-02 2.410e-02 1.070e-01 2.800e-02 1.870e-03 5.270e-05 0.000e+00 0.000e+00 5.950e-01 9.130e-01 9.090e-01 0.181 8.740e-02
K00946.01 0.042 163 0.50 8.210e-43 6.700e-43 4.760e-10 1.290e-11 1.290e-01 4.970e-01 6.970e-01 1.230e-01 1.650e-01 5.820e-02 4.990e-02 1.430e-02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.450e-02 3.080e-01 1.085e+00 0.142 6.920e-01
K00947.01 0.036 198 0.50 9.450e-39 6.430e-40 7.310e-13 5.390e-16 1.280e-39 2.630e-40 3.780e-14 9.130e-17 1.530e-03 1.210e-05 2.540e-07 1.350e-09 9.810e-07 4.110e-09 0.000e+00 0.000e+00 3.640e+00 1.000e+00 3.642e+00 0.185 1.210e-05
K00948.01 0.029 164 0.54 8.690e-84 1.210e-84 2.900e-17 5.390e-20 8.290e-07 5.170e-07 1.440e-02 1.990e-04 1.950e-02 4.570e-04 6.110e-04 1.200e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.550e-01 9.990e-01 8.895e-01 0.208 6.680e-04
K00949.01 0.033 97 0.50 0.000e+00 0.000e+00 2.350e-46 9.210e-50 3.620e-14 4.780e-15 1.390e-03 4.580e-06 7.500e-03 2.200e-05 2.560e-06 5.320e-09 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.550e+00 1.000e+00 3.559e+00 0.210 2.660e-05
K00950.01 0.170 352 0.50 2.000e-06 1.110e-07 1.040e-14 1.540e-17 1.450e-01 2.770e-02 3.720e-02 1.270e-04 8.210e-03 8.920e-05 5.570e-11 3.430e-13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.020e+01 9.720e-01 1.039e+01 0.060 2.790e-02
K00951.01 0.043 114 0.50 3.090e-64 1.210e-64 4.840e-12 2.800e-14 1.300e-04 2.260e-04 2.990e-02 1.080e-03 3.460e-02 1.870e-03 7.550e-05 2.900e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.590e-01 9.970e-01 5.237e-01 0.143 3.180e-03
K00951.02 0.032 171 0.50 4.160e-37 4.560e-38 1.440e-09 2.980e-12 4.090e-04 1.550e-04 1.150e-02 5.100e-05 2.330e-02 4.760e-04 6.680e-04 8.480e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.480e+00 9.990e-01 1.516e+00 0.206 6.900e-04
K00952.01 0.036 175 0.60 5.690e-118 1.710e-120 1.120e-31 2.690e-35 1.620e-21 2.610e-23 8.160e-08 6.710e-11 5.150e-04 9.030e-07 2.670e-07 4.100e-10 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.740e+01 1.000e+00 1.740e+01 0.212 9.030e-07
K00952.02 0.034 194 0.51 7.060e-116 5.850e-117 1.030e-20 1.970e-23 6.520e-24 2.120e-24 1.050e-12 1.040e-14 7.660e-05 1.550e-06 1.550e-06 1.910e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.790e+00 1.000e+00 1.790e+00 0.200 1.570e-06
K00952.03 0.040 284 0.50 2.570e-60 2.910e-61 4.450e-19 1.080e-21 5.510e-18 2.230e-18 9.980e-08 1.070e-09 1.020e-05 3.070e-07 5.420e-08 1.500e-09 3.370e-05 2.710e-07 0.000e+00 0.000e+00 1.330e+00 1.000e+00 1.330e+00 0.214 5.810e-07
K00952.04 0.023 116 2.07 1.250e-107 4.720e-107 2.530e-34 9.910e-35 4.360e-14 9.740e-13 2.670e-09 9.530e-09 1.430e-10 5.510e-09 1.440e-10 5.220e-09 8.730e-04 3.850e-04 0.000e+00 0.000e+00 1.110e-02 1.000e+00 1.197e-02 0.128 3.850e-04
K00952.05 0.027 94 1.80 1.630e-03 1.260e-05 1.530e+00 9.970e-04 1.450e-01 3.070e-03 5.190e+00 3.650e-02 2.510e+00 7.250e-02 1.040e+00 2.990e-02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.120e+00 8.570e-01 1.754e+01 0.156 1.430e-01
K00953.01 0.046 76 0.50 0.000e+00 0.000e+00 3.560e-182 1.480e-184 4.540e-36 1.240e-36 1.240e-08 4.710e-10 5.760e-03 4.750e-05 1.790e-15 1.760e-17 0.000e+00 0.000e+00 8.170e-03 4.600e-05 6.470e-01 1.000e+00 6.609e-01 0.176 9.360e-05
K00954.01 0.032 76 0.50 3.120e-217 6.530e-217 1.540e-19 7.650e-21 2.780e-16 3.230e-15 3.270e-03 1.190e-03 5.080e-02 1.000e-02 5.470e-04 1.140e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.520e-02 9.890e-01 8.982e-02 0.213 1.130e-02
K00954.02 0.031 147 0.51 5.060e-106 1.560e-107 8.410e-26 5.280e-29 1.810e-07 2.660e-08 2.440e-03 8.080e-06 2.780e-03 1.440e-05 2.270e-05 6.960e-08 1.450e-06 5.790e-09 0.000e+00 0.000e+00 3.070e+00 1.000e+00 3.075e+00 0.215 2.250e-05
K00955.01 0.021 53 0.50 0.000e+00 0.000e+00 3.670e-314 2.530e-315 5.190e-30 1.050e-28 2.030e-06 1.330e-06 6.740e-07 3.320e-07 8.190e-24 3.230e-24 2.600e-03 7.280e-04 0.000e+00 0.000e+00 1.730e-02 9.990e-01 1.990e-02 0.179 7.300e-04
K00956.01 0.042 105 0.50 1.770e-83 8.620e-86 9.360e-13 9.400e-17 2.330e-13 5.220e-15 1.550e-13 9.810e-17 1.380e-02 3.550e-06 1.820e-09 4.400e-13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.310e+01 1.000e+00 2.311e+01 0.187 3.550e-06
K00957.01 0.292 322 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.850e-202 1.670e-199 0.000e+00 0.000e+00 1.150e-06 2.360e-04 0.000e+00 0.000e+00 8.180e-03 1.000e+00 0.000e+00 0.000e+00 8.181e-03 0.014 1.000e+00
K00958.01 0.032 79 0.50 2.710e-02 1.980e-03 5.240e-02 4.210e-05 8.850e-01 1.990e-01 2.870e-01 8.790e-04 4.850e-02 1.190e-03 7.780e-06 1.660e-07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.710e+00 7.970e-01 3.010e+00 0.206 2.030e-01
K00959.01 0.182 59 0.50 3.020e-36 1.030e-37 1.410e-16 2.510e-20 5.800e-11 5.510e-12 6.340e-10 1.560e-13 3.190e-05 1.130e-07 5.840e-26 1.330e-28 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.530e+01 1.000e+00 1.530e+01 0.060 1.130e-07
K00960.01 0.181 683 0.50 1.980e-218 4.500e-218 6.370e-42 2.760e-43 2.310e-16 2.390e-15 5.290e-04 7.990e-05 7.650e-03 6.000e-03 1.060e-15 4.320e-16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.420e-01 9.940e-01 1.502e-01 0.063 6.080e-03
K00961.01 0.048 75 0.50 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
K00961.03 0.041 118 0.99 1.890e-09 5.020e-12 1.120e-04 3.870e-08 8.810e-09 7.880e-11 3.660e-04 5.260e-07 4.550e+00 1.310e-02 6.370e-01 1.590e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 9.360e+01 9.850e-01 9.879e+01 0.055 1.470e-02
K00964.01 0.082 6853 0.50 0.000e+00 0.000e+00 8.720e-156 8.290e-159 1.380e-04 4.560e-04 1.100e-06 1.700e-08 5.460e-08 8.080e-10 7.010e-24 5.260e-26 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.960e+00 1.000e+00 1.960e+00 0.065 4.560e-04
K00965.01 0.459 5405 2.55 1.050e-169 1.660e-170 2.170e-03 1.470e-05 2.730e-02 1.630e-01 2.900e-13 2.000e-14 1.650e-02 4.240e-02 1.010e-06 1.850e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.080e+01 7.950e-01 4.085e+01 0.001 2.050e-01
K00966.01 0.306 849 0.50 3.150e-05 3.040e-06 5.210e+00 8.330e-02 2.860e-22 1.330e-22 2.960e+00 4.590e-01 1.660e+00 4.010e-01 3.830e-01 5.660e-02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.630e-30 9.120e-31 1.021e+01 0.009 1.000e+00
K00967.01 0.236 1889 0.50 5.830e-12 2.700e-13 3.680e-05 6.020e-08 1.620e+00 6.840e-01 6.210e-02 6.930e-04 7.210e-01 3.670e-03 1.660e-02 4.080e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.560e+00 3.120e-01 5.980e+00 0.040 6.880e-01
K00968.01 0.013 124 2.76 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.100e-243 1.730e-241 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.910e-03 1.000e+00 0.000e+00 0.000e+00 8.910e-03 0.208 1.000e+00
K00969.01 0.110 55 0.50 2.970e+00 1.800e-01 6.980e-01 7.420e-04 2.440e+00 6.500e-01 1.930e-01 1.460e-03 3.470e-01 2.630e-03 1.880e-03 1.080e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.100e+00 1.660e-01 7.750e+00 0.053 8.340e-01
K00970.01 0.023 291 10.80 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
K00971.01 0.302 557 6.00 1.350e-16 1.100e-14 2.510e-02 5.240e-02 1.380e-24 3.320e-22 6.460e-02 7.430e-01 8.020e-05 2.020e-01 1.760e-06 2.970e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.440e-28 8.130e-27 8.978e-02 0.001 1.000e+00
K00972.01 0.018 16 4.50 4.390e-06 2.420e-07 4.260e-06 9.140e-10 1.290e-01 4.630e-02 4.960e-09 1.220e-11 3.280e-47 6.150e-48 5.430e-18 6.890e-19 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.470e+00 9.540e-01 3.599e+00 0.095 4.630e-02
K00972.02 0.006 29 5.10 2.170e-21 9.250e-22 4.160e-07 1.300e-09 2.150e-03 8.920e-03 1.350e-12 4.240e-14 5.170e-117 1.590e-116 9.260e-66 2.150e-65 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.630e-01 9.910e-01 1.652e-01 0.141 8.920e-03
K00975.01 0.009 5 4.20 6.050e-11 2.720e-13 1.250e-04 4.700e-09 3.840e-21 6.320e-23 1.990e-08 3.060e-12 4.790e-99 4.000e-100 2.340e-41 1.210e-42 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.510e+00 1.000e+00 7.510e+00 0.180 4.710e-09
K00976.01 0.419 349 1.86 1.960e-01 2.400e-02 1.490e-01 7.000e-05 1.500e+00 9.600e-01 3.660e-02 1.240e-04 1.700e-03 6.540e-04 8.480e-14 1.240e-14 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.770e+00 1.480e-02 4.653e+00 0.001 9.850e-01
K00977.01 0.250 107 1.56 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
K00978.01 0.258 266 1.71 0.000e+00 0.000e+00 9.810e-180 8.080e-179 8.460e-74 1.150e-69 8.390e-47 9.950e-45 1.250e-23 2.360e-20 3.690e-21 3.610e-18 0.000e+00 0.000e+00 1.080e-02 1.000e+00 1.050e-42 1.360e-40 1.080e-02 0.001 1.000e+00
K00979.01 0.220 157 1.56 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
K00980.01 0.321 80 1.92 3.240e-01 8.060e-02 8.660e-01 1.110e-03 7.340e-01 8.390e-01 9.060e-02 1.280e-03 1.170e-01 7.220e-02 7.850e-06 2.160e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.870e-01 5.470e-03 2.619e+00 0.001 9.950e-01
K00982.01 0.022 116 4.00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.350e-266 3.460e-263 0.000e+00 0.000e+00 9.890e-252 5.810e-247 0.000e+00 0.000e+00 8.070e-03 1.000e+00 0.000e+00 0.000e+00 8.070e-03 0.176 1.000e+00
K00983.02 0.376 578 0.50 1.190e-31 7.630e-33 2.730e-03 6.560e-06 7.920e-01 9.690e-01 8.540e-01 1.300e-02 1.440e+00 1.750e-02 2.810e-02 3.000e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.660e-02 3.090e-04 3.143e+00 0.001 1.000e+00
K00984.01 0.026 50 2.10 0.000e+00 0.000e+00 5.690e-131 3.850e-107 2.350e-72 3.230e-46 2.190e-25 1.000e+00 0.000e+00 0.000e+00 3.880e-195 1.120e-168 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.190e-25 0.214 1.000e+00
K00985.01 0.015 51 0.50 1.530e-173 4.880e-171 5.630e-51 6.530e-50 3.380e-34 5.670e-31 2.780e-14 2.780e-12 3.820e-03 3.420e-01 1.040e-02 6.540e-01 0.000e+00 0.000e+00 3.930e-04 3.980e-03 1.430e-09 5.330e-06 1.461e-02 0.129 1.000e+00
K00986.01 0.021 77 0.50 3.420e-288 4.900e-288 3.960e-18 8.330e-20 2.030e-10 1.720e-09 2.240e-06 4.850e-07 8.320e-05 3.810e-05 5.060e-08 2.030e-08 3.600e-04 2.930e-05 0.000e+00 0.000e+00 5.150e-02 1.000e+00 5.195e-02 0.201 6.780e-05
K00986.02 0.019 227 1.71 3.040e-155 2.660e-154 8.170e-41 6.820e-42 2.100e-09 9.110e-08 1.390e-06 1.210e-06 3.440e-06 1.780e-04 1.950e-07 4.240e-06 5.480e-03 7.600e-03 0.000e+00 0.000e+00 1.390e-02 9.920e-01 1.939e-02 0.180 7.780e-03
K00987.01 0.013 20 0.54 2.020e-04 5.670e-07 2.120e-01 3.680e-05 2.540e-02 3.880e-04 5.030e-01 6.330e-04 8.180e-04 2.480e-06 4.910e-04 1.270e-06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.340e+01 9.990e-01 1.414e+01 0.114 1.060e-03
K00988.01 0.026 58 0.50 2.570e-15 2.710e-17 2.100e-08 1.810e-12 1.180e-03 4.620e-05 1.530e-02 9.090e-06 4.450e-03 1.170e-05 2.110e-10 3.070e-13 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.590e+01 1.000e+00 1.592e+01 0.217 6.700e-05
K00988.02 0.033 138 0.50 2.390e-07 1.410e-06 1.430e-05 7.270e-07 1.990e-03 4.340e-02 6.910e-02 1.990e-02 7.580e-02 1.190e-01 1.510e-04 2.070e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.750e-02 8.170e-01 1.746e-01 0.197 1.830e-01
K00989.02 0.031 279 0.50 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.190e-52 5.290e-52 6.160e-19 2.190e-19 1.640e-14 3.250e-15 1.510e-63 1.530e-64 0.000e+00 0.000e+00 7.170e-03 1.400e-04 5.210e-02 1.000e+00 5.927e-02 0.209 1.400e-04
K00991.01 0.016 56 0.54 4.250e-29 7.720e-31 1.780e-04 2.960e-08 7.230e-02 7.320e-03 3.650e-02 7.850e-05 1.110e-02 5.090e-05 1.490e-05 4.860e-08 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.100e+00 9.930e-01 8.220e+00 0.157 7.450e-03
K00992.01 0.018 76 1.62 0.000e+00 0.000e+00 3.760e-114 7.190e-116 2.440e-28 1.420e-27 3.650e-10 8.850e-11 1.430e-05 7.010e-05 8.880e-08 2.230e-07 3.400e-03 2.230e-04 0.000e+00 0.000e+00 8.090e-02 1.000e+00 8.431e-02 0.178 2.940e-04
K00992.02 0.011 55 2.19 0.000e+00 0.000e+00 8.560e-99 5.520e-99 5.030e-40 4.460e-38 1.430e-09 8.850e-09 3.340e-06 4.270e-04 7.430e-06 1.070e-03 4.030e-03 5.600e-03 4.340e-03 6.040e-03 4.320e-03 9.870e-01 1.270e-02 0.100 1.310e-02
K00993.01 0.018 101 1.47 2.510e-42 1.010e-43 1.170e-08 6.890e-12 6.240e-03 1.360e-03 2.220e-02 1.470e-04 7.320e-03 1.090e-03 9.770e-04 1.350e-04 7.100e-04 2.400e-06 0.000e+00 0.000e+00 2.320e+00 9.970e-01 2.357e+00 0.186 2.730e-03
