,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K02104.01,0.002744,6.018e-05,1.833e-05,0.0,7.735e-05,8.335e-05,1.2967e-07,8.663e-06,0.0,0.09003,0.195,0.10653,0.4103,0.1533,0.0,0.010211,0.1159,5.758e-05,0.06255,0.0,2.742,0.000668,0.0002031,0.0,0.0008505,0.0009247,1.4372e-06,9.593e-05,0.0,0.9972
K02105.01,0.0005643,1.4714e-07,6.217e-10,8.44e-09,1.06e-05,6.951e-10,8.55426e-09,2.2015e-07,0.0,0.01947,0.205,0.023033,0.0008295,4.906e-06,0.000169,0.0016182,3.47e-06,5.153305e-06,0.004395,0.0,0.8709,7.53e-06,3.2153e-08,4.335e-07,0.0005449,3.578e-08,4.373415e-07,1.1306e-05,0.0,0.9995
K02106.01,0.02266,9.49e-05,0.0001839,0.0,0.0004996,6.89e-05,8.808e-06,2.249e-06,0.0,0.03703,0.209,0.9669,0.07753,0.2616,0.0,0.03914,0.1615,0.003863,0.03409,0.0,2.181,0.002506,0.004857,0.0,0.013177,0.001821,0.00023328,5.942e-05,0.0,0.9773
K02107.01,0.0002043,3.519e-08,1.848e-09,1.59e-07,9.0439e-08,8.90000031302e-10,3.62072e-11,4.8220944e-18,0.0,0.001403,0.205,0.008321,0.0001786,2.817e-05,0.00317,2.7954e-05,1.56000005583e-05,4.43237e-08,4.1180841e-13,0.0,0.3349,2.514e-05,1.3145e-06,0.0001132,6.4176e-05,6.37200022435e-07,2.57154e-08,3.4389668e-15,0.0,1.0
K02108.01,0.00014419,5.539e-08,1.356e-10,2.61e-08,1.16483e-20,2.0487e-15,5.6561072e-28,1.3632e-17,0.0,0.0005636,0.202,0.005799,0.0006567,4.127e-06,0.000523,2.6608e-18,3.486e-11,6.74792964e-25,1.33796e-12,0.0,0.10131,9.746e-05,2.418e-07,4.654e-05,2.077e-17,3.632e-12,9.94028899e-25,2.4052e-14,0.0,1.0
K02109.01,0.0011311,8.385e-07,3.69e-08,2.4e-08,1.3437e-05,2.827e-09,9.257e-08,3.5385e-10,0.0,0.01276,0.208,0.04695,0.006078,0.0004207,0.000479,0.0021086,1.9215e-05,7.999e-05,2.0559e-05,0.0,1.21,6.563e-05,2.879e-06,1.876e-06,0.0010534,2.2098e-07,7.223e-06,2.7701e-08,0.0,0.999
K02110.01,0.0042778,5.727e-08,3.3723e-11,0.0,7.2493e-06,6.559e-10,3.9533e-07,5.991e-07,0.0,0.00194,0.123,0.10522,7.486e-05,4.1648e-08,0.0,0.00112136,4.4453e-06,0.00029725,0.019945,0.0,0.1365,2.938e-05,1.7638e-08,0.0,0.0037367,3.3737e-07,0.00020279,0.00031042,0.0,0.9959
K02111.01,1.2386e-06,9.2691157e-13,1.4725e-18,3.19e-09,1.79e-17,8.815e-14,1.5892e-19,8.7037e-10,0.0,0.003274,0.148,3.643e-05,1.11186383e-08,1.6823e-14,6.37e-05,5.838e-15,3.4061e-10,2.5573e-16,1.56457e-05,0.0,0.2035,2.80227579e-10,4.4728e-16,9.73e-07,5.475e-15,2.6988e-11,4.8574e-17,2.65024e-07,0.0,1.0
K02111.02,0.01908,8.19e-05,6.055e-05,0.0,0.0007253,0.0001354,1.4651e-05,1.674e-05,0.0,0.05321,0.201,0.7773,0.4433,0.3802,0.0,0.10457,0.4386,0.010675,0.2726,0.0,3.443,0.001509,0.001118,0.0,0.013388,0.002491,0.0002708,0.0003086,0.0,0.9808
K02113.01,1.984e-05,3.646e-07,3.9356e-09,8.3e-09,1.2554e-10,7.50000000003e-08,1.529638e-08,5.121e-13,0.0,0.02352,0.204,0.0008039,0.0009753,1.4397e-05,0.000166,2.659e-08,0.000769000000003,1.15073e-05,1.89527e-08,0.0,2.419,1.5522e-05,1.6634e-07,3.524e-07,5.342e-09,3.16000000001e-06,6.54134e-07,2.19279e-11,0.0,1.0
K02113.02,8.337e-06,3.804e-08,1.7492e-09,2.06e-08,2.54427e-10,2.7979e-20,2.81242e-14,1.2735949e-12,0.0,0.00728,0.21,0.0003483,0.0002013,1.2459e-05,0.000413,4.1782e-08,1.9023e-16,1.92105e-11,4.49934e-08,0.0,0.6271,5.223e-06,2.4e-07,2.836e-06,3.49805e-08,3.8352e-18,3.8491e-12,1.752833e-10,0.0,1.0
K02114.01,4.551e-05,7.908e-06,1.96e-07,2.64e-11,2.727e-13,4.361e-08,8.57e-16,1.421e-07,0.0,0.1822,0.2,0.001812,0.09679,0.002056,5.27e-07,1.0559e-10,0.0002173,1.1431e-12,0.001867,0.0,12.85,4.341e-05,1.0791e-06,1.447e-10,1.499e-12,2.395e-07,4.717e-15,7.794e-07,0.0,1.0
K02115.01,0.0002073,3.335e-08,1.9933e-10,1.7e-07,3.929e-13,2.3683e-18,1.064847e-16,3.152e-15,0.0,0.0009835,0.198,0.008175,0.00014203,1.3127e-06,0.00341,1.1107e-10,2.9469e-14,8.84545e-14,1.1919e-10,0.0,0.1487,3.386e-05,2.0305e-07,0.0001731,4.0065e-10,2.4072e-15,1.08267e-13,3.2057e-12,0.0,1.0
