,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00043.01,MATCH,,,,,,,,0.0,1.0,,,,0.84,,,,,dr25,0.0,,,,,,,,
K00044.01,PROB,KIC 8845026,1.0,2.2e-07,1.709e-06,300.1519,5675.0,KIC 8845046,0.0055,1.0,8.18e-09,5.4e-08,0.0055,0.71,160.475,45.0902,66.47,KIC,dr25,1.0,KIC,1.572e-05,45.0896,2853792.0,12804.0,300.158,13.48,16.68
K00045.01,FAILED,,,,,,,,,0.0,,,,0.82,,,,,dr25,,,,,,,,,
K00046.01,PROB,KIC 10905239,1.0,8.2e-102,3.385e-07,283.2555,10282.0,KIC 10905236,0.0054,1.0,1.585e-09,3.8e-104,0.0054,0.94,132.5683,48.3575,3.49,KIC,dr25,1.0,KIC,4.123e-06,48.3552,2139788.0,1292.0,283.254,13.77,18.73
K00046.02,PROB,UKIRT 44117905793835,0.55,0.44,0.0001441,283.2531,2739820.0,KIC 10905239,0.023,0.05,7.215e-06,0.023,0.034,0.94,132.4809,48.3552,6.03,UKIRT,dr25,0.44,KIC,4.123e-06,48.358,651.0,48.0,283.2555,20.1,13.77
K00048.01,PROB,KIC 7837302,1.0,,7.631e-07,296.5539,223468.0,,0.00093,1.0,6.162e-10,,0.00093,0.76,149.94,,23.84,KIC,dr25,1.0,,1.291e-05,43.5432,,29544.0,,13.72,
K00049.01,PROB,KIC 9527334,1.0,,2.344e-06,292.249,4039.0,,0.013,1.0,2.549e-08,,0.013,0.86,134.4234,,8.31,KIC,dr25,1.0,,7.348e-06,46.1648,,817.0,,13.7,
K00051.01,PROB,KIC 6056992,1.0,0.00011,0.002099,295.9188,288414.0,hiresKIC 22000313,0.17,0.43,0.0003023,1.9e-05,0.17,0.74,133.9365,41.3315,10.43,KIC,dr25,1.0,hiresKIC,1.445e-05,41.3324,2632839.0,29003.0,295.9193,13.76,16.39
K00052.01,PROB,KIC 3558981,1.0,,9.225e-07,294.9774,321238.0,,0.0027,1.0,2.144e-09,,0.0027,0.72,132.1566,,2.99,KIC,dr25,1.0,,1.45e-05,38.6784,,43179.0,,13.11,
K00053.01,PROB,UKIRT 44117920888923,0.75,0.25,7.698e-05,292.0306,679234.0,KIC 2445975,0.01,0.76,2.026e-06,0.01,0.023,0.77,131.5932,37.7735,3.39,UKIRT,dr25,0.25,KIC,1.177e-05,37.7737,113190.0,11142.0,292.0309,15.46,13.51
