,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K03709.01,1.17027782286e-16,1.64049450539e-06,4.70947331332e-08,0.0,0.000221382022757,1.67214599309e-06,7.48405712907e-05,1.21510127607e-06,0.0,1.07289846263e-06,2.28569887277e-19,2.86784859356,0.0195678307433,0.000558023107845,0.0,0.0808290376865,0.0157274141408,0.16944681237,0.0795781237387,0.0,0.0609644705272,0.000156066225259,5.59196099573e-06,0.0,0.0101456066025,0.000189925014443,0.0103408574757,0.000148188918464,0.0,0.000150406855636
K03711.01,0.145871328384,2.52105445532e-08,7.5675362907e-17,0.0,1.17867104661e-56,3.71069469099e-15,1.15886624823e-101,6.80423765854e-28,1.11606390272e-22,2.20779746375e-07,1.46284727857e-17,14407.5358615,0.00017737582625,1.05831628128e-12,0.0,4.07657478186e-54,6.54030943884e-11,1.73364693812e-98,6.16435422381e-23,1.82855909822e-18,0.000155152574805,0.0251162384171,9.5878844011e-11,0.0,9.49878188002e-51,4.86233475631e-09,1.40650301457e-95,7.27685711414e-22,0.14325408662,0.145732983073
K03712.01,0.0,2.90761452435e-06,1.70928724704e-05,0.0,0.0,1.51357253106e-26,0.0,1.83244536709e-43,1.11606390272e-22,0.0,1.82855909822e-18,,4.11847544608e-05,0.000435230567329,0.0,0.0,1.86610205677e-23,0.0,4.9206712917e-40,0.0,0.0,0.309806040397,0.33172103407,0.0,0.0,1.13733772285e-21,0.0,4.25499910904e-39,0.0280394809153,0.0
K03714.01,0.00128668393771,8.80542761912e-07,1.22069015088e-05,0.0,0.000106718789348,0.000745904372781,6.64985379956e-06,2.15086545888e-05,0.0,6.57680266796e-06,2.28569887277e-19,13.5694141362,0.00172350708344,0.0377619679337,0.0,0.0171950283512,0.483041291081,0.00292425280105,0.0633329824552,0.0,0.0181296595543,0.000179880083512,0.00218031190429,0.0,0.0177888510653,0.018697593428,0.00102059895269,0.00512407173165,0.0,0.00114552462508
K03715.01,0.0254691534562,6.09973952085e-06,1.76886529856e-06,0.0,0.000142007198566,8.05457082104e-06,2.89652312898e-25,3.53024705297e-12,0.0,7.35684866109e-06,4.57139774554e-19,0.506580036454,0.0116531838759,0.0060913417606,0.0,0.0107029383297,0.00738136542623,1.67850591828e-22,2.54819614572e-08,0.0,0.0562573451994,0.00758806848502,0.00205676769066,0.0,0.035189013437,0.0113883224791,4.93440328015e-22,4.83592987709e-09,0.0,0.0254025917313
K03716.01,0.0,7.00024674168e-19,3.14343875278e-12,0.0,1.25298221031e-30,4.66245113886e-22,1.17834703099e-64,1.92682189686e-15,1.11606390272e-22,8.30979546913e-28,2.28569887277e-19,1.48052328673e+26,1.15073426317e-15,8.08824632974e-09,0.0,4.8765324156e-29,1.54794031252e-19,1.95085452502e-62,3.94970603688e-12,1.82855909822e-18,4.77295336194e-24,1.17787002207e-12,5.31921869826e-06,0.0,2.10942825198e-24,7.84598412849e-16,1.98470902499e-58,3.24668917857e-09,0.0,1.39955704584e-21
K03716.02,0.0,0.0,0.0,0.0,1.44094635651e-97,1.04398813626e-84,8.34923028094e-141,3.74190221976e-36,0.0,4.29458942249e-114,1.46284727857e-17,2.15252147054e+116,0.0,0.0,9.14279549109e-19,5.598138053e-96,7.74019987202e-81,1.67395147907e-138,1.21253252076e-31,0.0,5.76800216939e-112,0.0,0.0,0.0,5.8183904988e-91,4.21366422829e-78,3.37630487352e-134,1.51144453057e-29,0.0,1.73980847546e-107
K03717.01,0.00048304589154,3.55216678788e-07,1.90534015627e-08,0.0,0.000257097041774,3.1321432137e-06,3.64746487303e-05,1.0216680261e-06,0.0,8.09938269253e-07,2.28569887277e-19,2.07621450401,0.015748015748,0.000830017402763,0.0,0.127610518549,0.029019765295,0.107991769234,0.0556636725742,0.0,0.0546198986939,9.15544768005e-05,3.11601597486e-06,0.0,0.0047853944456,0.000471974575586,0.0049988887654,0.000166310152025,0.0,0.000124904407893
K03719.01,0.0,0.0337837896697,0.00080546811786,0.0,1.9283462125e-09,0.00107764043168,2.27268733735e-15,0.000345412619598,0.0,2.75923640814e-10,9.14279549109e-19,77763802242.1,0.533259369871,0.026132219364,0.0,8.37903676119e-08,0.381895331792,4.87913958262e-13,0.358826807496,0.0,1.97018147681e-07,0.00282055944017,0.00141025962937,0.0,4.41972297585e-09,0.0025934138805,4.82424919317e-15,0.00079297515724,0.0,6.06239460618e-10
K03720.01,0.0,2.43814592581e-07,5.97954699139e-10,0.0,9.91127304302e-05,4.13440846232e-07,5.08155706671e-05,4.97961399664e-07,0.0,3.88873015549e-07,2.28569887277e-19,4.58984386082,0.00933333333333,2.30811033821e-05,0.0,0.0246981780705,0.00648424586551,0.0694822119523,0.0375472502322,0.0,0.0205666936791,4.72511022799e-05,9.72393158941e-08,0.0,0.00698013053046,6.74523700267e-05,0.00698013053046,8.26061606527e-05,0.0,6.73382836464e-05
